module,authoritative_current_name,registry_category,production_dispatcher,actual_runner,canonical_runner,source_intake,qualification_dependency,ledger_writer,legacy_fallback_reachable,activation,voting,simulation_version,status
A6.1,Quality Compliance Index,Delivery Quality Performance,registry.run_module,app.simulation.models_cat89.run_A6_1,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,requirement_conformance,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
A6.2,Safety Performance Index,Delivery Quality Performance,registry.run_module,app.simulation.models_cat89.run_A6_2,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,safety_measurement,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
A6.3,Environmental Compliance Rate,Delivery Quality Performance,registry.run_module,app.simulation.models_cat89.run_A6_3,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,environmental_conformance,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
A6.4,Contractor Performance Assessment Signal,Delivery Quality Performance,registry.run_module,app.simulation.models_cat89.run_A6_4,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,official_assessment_ingestion,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
B3.1,Agent-Based Governance Model,Regulatory & Authority Thresholds,registry.run_module,app.simulation.models_cat89.run_B3_1,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,governance_authorization,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
B3.2,FAR/Agency EVMS Applicability Monitor,Regulatory & Authority Thresholds,registry.run_module,app.simulation.models_cat89.run_B3_2,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,regulatory_applicability,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
B3.3,Versioned A-11 Capital Programming Conformance Check,Regulatory & Authority Thresholds,registry.run_module,app.simulation.models_cat89.run_B3_3,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,regulatory_conformance,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
B3.4,EVMS Reporting Compliance Monitor,Regulatory & Authority Thresholds,registry.run_module,app.simulation.models_cat89.run_B3_4,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,regulatory_conformance,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
B3.5,Contract Modification Governance Check,Regulatory & Authority Thresholds,registry.run_module,app.simulation.models_cat89.run_B3_5,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,governance_authority_check,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
C1.1,Missing Data Index,Data Integrity,registry.run_module,app.simulation.models_cat89.run_C1_1,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,quality_assessment,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
C1.2,Data Timeliness Score,Data Integrity,registry.run_module,app.simulation.models_cat89.run_C1_2,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,quality_assessment,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
C1.3,Source Reliability Weighting,Data Integrity,registry.run_module,app.simulation.models_cat89.run_C1_3,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,quality_assessment,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
C1.4,Audit Trail Completeness,Data Integrity,registry.run_module,app.simulation.models_cat89.run_C1_4,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,quality_assessment,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
C1.5,Information Completeness Ratio,Data Integrity,registry.run_module,app.simulation.models_cat89.run_C1_5,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,quality_assessment,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
C1.6,Cross-document Consistency Score,Data Integrity,registry.run_module,app.simulation.models_cat89.run_C1_6,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,quality_assessment,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
C1.7,Reporting Frequency Index,Data Integrity,registry.run_module,app.simulation.models_cat89.run_C1_7,models_cat89.CAT89_CANONICAL,canonical_v6 structure via governed intake / corpus assembly,quality_assessment,registry.record -> ledger,NO,ACTIVE,NO,sim-2026.08-v18,PASS
