fault,target,mutation,applied,confirmed_applied,guard,intended_red,crash_accepted_as_red,restored_green,result
1,"PH.1 frozen threshold, schema binding","the frozen Run-15 threshold is applied under ANY feature schema, so a laboratory threshold fitted on one representation of a project flags projects under another",YES,YES,no exploratory flag is derived from the frozen synthetic threshold under a schema that is not the one it was fitted on,YES,NO,YES,PASS
2,"PH.1 cohort-size policy, n < 3","the minimum cohort for a cross-project anomaly model is lowered back to v21's two, so a two-project cohort is scored although each project is the other's entire reference population",YES,YES,a cohort of two eligible projects is NOT_ESTIMABLE and produces no score,YES,NO,YES,PASS
3,PH.1 small-cohort authoritative flag,"a small cohort is declared to permit an authoritative anomaly flag, although no calibration protocol establishes one at that cohort size",YES,YES,"a cohort below the canonical size does not permit an authoritative flag, and its limitation record says so",YES,NO,YES,PASS
4,the protocol ordering (tree-count selection vs holdout inspection),"the recorded ordering is inverted: the artefact now says the tree count was selected AFTER the holdout was inspected, which is exactly the post-hoc selection the protocol prohibits",YES,YES,"the campaign records that selection completed BEFORE the holdout was read, and the selected tree count is the published default rather than a value fitted to the holdout",YES,NO,YES,PASS
5,PH.1 cross-cohort comparability,"the feature-schema check is disabled, so members written under two different schemas -- and therefore scored by two different models -- enter one cohort and are ranked as one scale",YES,YES,"a member on a different feature schema is refused, so scores from different cohort/model identities are never compared as one scale",YES,NO,YES,PASS
6,PH.2 orientation declaration,"an orientation that is not one of the declared vocabulary is silently coerced to higher-is-worse, so a feature nobody validly oriented is ranked anyway -- and a lower-is-worse feature would read exactly backwards",YES,YES,a feature whose declared orientation is not in the governed vocabulary is refused; no orientation is defaulted or inferred,YES,NO,YES,PASS
7,PH.2 weight policy,"equal weights appear as a DEFAULT when no governed weight set was supplied, so a composite nobody authorised the weighting of is emitted anyway",YES,YES,"absent governed weights, PH.2 emits NO composite and returns the per-feature percentile profile under PARAMETER_PROVENANCE_BLOCKED",YES,NO,YES,PASS
8,PH.2 status bands,"the removed percentile-to-status colour mapping is restored, with no governed calibration dataset and no predeclared decision objective behind it",YES,YES,PH.2 declares no status bands and emits no status colour,YES,NO,YES,PASS
9,PH.3 minimum observations,"two observations are accepted as a trajectory, although two points determine a line exactly and carry no evidence that the line is a trend",YES,YES,a history of two observations is refused: at least three are required before a trend is fitted,YES,NO,YES,PASS
10,PH.3 time basis,unequally spaced reporting dates are treated as equally spaced: the slope is fitted against the position index instead of the actual reporting time,YES,YES,"an unequally spaced history is fitted against its ACTUAL reporting times, so its slope per day differs from the slope over positions 0, 1, 2",YES,NO,YES,PASS
11,PH.3 numerical tolerance,the floating-point zero tolerance is inflated into an operational magnitude band: a real adverse slope of 0.01 per day would now be reported STABLE,YES,YES,the tolerance is numerical only -- a genuine non-zero slope is classified by its sign and no magnitude of slope is graded,YES,NO,YES,PASS
12,PH.4 match radius,the retired unvalidated 0.15 radius reappears as an operational threshold,YES,YES,PH.4 applies NO match threshold and reports the continuous relationship only,YES,NO,YES,PASS
13,PH.4 schema comparability,"a member on a different feature schema, and therefore a different normalization version, is accepted into the cohort and compared by distance",YES,YES,"a schema mismatch is refused, so no distance is computed across incompatible feature representations",YES,NO,YES,PASS
14,PH.4 ordering invariance,"the declared tie rule and the stable member ordering are both dropped, so the nearest neighbour a project is given depends on the order its record happened to arrive in",YES,YES,every nearest-neighbour set and distance is identical whichever order the records arrive in,YES,NO,YES,PASS
15,PH.5 weight provenance,equal constituent weights appear with no governed weight record behind them,YES,YES,PH.5 reports no weights and does not claim governed weights were supplied when none were,YES,NO,YES,PASS
16,PH.5 missingness policy,"a missingness policy is asserted that would renormalise the composite over whichever constituents happen to be present, silently reweighting the remainder",YES,YES,"no governed missingness policy exists, and PH.5 says so rather than adopting one",YES,NO,YES,PASS
17,PH.5 duplicate lineage,"the evidence-body count is replaced by a count of CONSTITUENTS and corroboration is derived from it, so the same result offered twice reads as two supporting observations",YES,YES,offering the same constituent twice does not raise the evidence-body count and does not establish corroboration,YES,NO,YES,PASS
18,PH.5 blocked scalar,a numeric composite is emitted while the disposition still says the parameter provenance is blocked,YES,YES,PH.5 emits no scalar while its disposition is PARAMETER_PROVENANCE_BLOCKED,YES,NO,YES,PASS
19,the synthetic/empirical boundary,"the calibration fixture relabels itself as empirical field validation, which would make a generated separation statistic read as evidence about real projects",YES,YES,"every calibration fixture declares data_origin SYNTHETIC_RESEARCH_CALIBRATION, not_for_empirical_validation true, and ground truth defined before the detector",YES,NO,YES,PASS
20,the holdout independence,"the holdout generator seed is set equal to the calibration seed, so the 'holdout' is the same draw as the calibration set and parameter selection would be evaluated on the data it was chosen from",YES,YES,the calibration and holdout datasets are independent draws: different generator seeds and different feature values for the same project index,YES,NO,YES,PASS
TOTALS,-,-,20,-,-,20,0,20,PASS
