module_id,module_name,bucket,oracle,expectations,disagreements,verdict
A1.1,Monte Carlo EAC,3,analytic PERT mean|quantile ordering,12,0,pass
A2.2,Line of Balance,3,line intersection|production rate from work packages,162,0,pass
A2.3,CCPM Buffer Health,3,1.645 root sum of PERT variances,18,0,pass
A4.4,NCR Rate,3,cutoff replay from raw events,360,0,pass
A5.6,Queueing Theory Bottleneck,3,busy time over horizon|count over horizon|event count|linear interpolated p90|mean of the wait column,36,0,pass
A5.7,Agent-Based Supply Chain,3,rule replay over every state row,12,0,pass
A6.3,Environmental Compliance Rate,3,cutoff replay from raw assessments,288,0,pass
A5.4,Scenario Modeling,4,probability weighted expectation|scenario probabilities sum to one,372,0,pass
B2.19,CRITIC-TOPSIS,4,CRITIC definition|TOPSIS closeness ranking,72,0,pass
A3.1,Reference Class Forecasting,5,class coverage|class key from attributes|documented cost generator,3,0,pass
A5.1,DSM Rework Propagation,5,edge endpoints join declared nodes|seed impact identity|strengths are proper fractions,3,0,pass
A5.1,DSM Rework Propagation,5,unresolved disagreement,18,6,stored vector is about one per cent below the seed times edge strength in 6 of 18 first-order cases
A5.1,DSM Rework Propagation,5,unresolved disagreement,36,11,stored impacted node count differs from the positively impacted node count in 11 of 36 rows
