capability,who_holds_it,governed_control,classification,evidence,launch_blocking,notes
write a participant response through the application,"the participant, for their own current period only",route guards: preliminary resubmission refused; final resubmission refused; reveal refused before lock,PREVENTED (after lock),server/app/research_decision.py:548,no,The sole application writer is research_decision.py and it refuses post-lock writes.
edit a participant response through an administrative route,nobody,no such route exists,PREVENTED,census of 31 a_admin* actions; zero write any response column,no,Routine study administration therefore does NOT require direct database mutation.
monitor participant progress,ResearchAdmin,adminassignmentlist / adminparticipantlist return status only,"PERMITTED (read-only, no substantive answers)","server/app/research_assignment.py, research_identity.py",no,An administrator cannot see a preliminary or final judgment without taking an export.
export research data,ResearchAdmin,"adminexportcreate: role-gated, research-account filtered, checksummed in research_exports",PERMITTED and AUDITED,server/app/research_export.py,no,"Export is an auditable act, not a silent read."
direct SQL write to participant responses,"whoever holds DATABASE_URL, which in this deployment is the researcher/operator",NONE that is technical. render.yaml provisions ONE connection string with no separate read-only or restricted role.,OPERATIONALLY_PROHIBITED ONLY,render.yaml declares a single DATABASE_URL (single_url=True) and no read-only role (no_ro_role=True); app/db.py builds one engine from it,"no, under the stated blocker list","The runbook prohibits it. That prohibition is operational, not technical. This is recorded rather than described as immutability."
post-final-lock change to pre_action,holder of DATABASE_URL,database trigger trg_decisions_pre_lock_guard refuses the UPDATE,PREVENTED,raw SQL result: REFUSED_BY_TRIGGER,no,
post-final-lock change to pre_confidence,holder of DATABASE_URL,database trigger trg_decisions_pre_lock_guard refuses the UPDATE,PREVENTED,raw SQL result: REFUSED_BY_TRIGGER,no,
post-final-lock change to disposition,holder of DATABASE_URL,"the final_decision_submitted audit event records the ORIGINAL disposition, so a changed row disagrees with the audit trail",DETECTABLE,raw SQL result: ALLOWED,no,
post-final-lock change to final_action,holder of DATABASE_URL,"no trigger, no updated_at, no row version, no audit metadata carrying the original value, and the tamper writes no audit row: WHOLLY UNDETECTABLE from every governed record",OPERATIONALLY_PROHIBITED,raw SQL result: ALLOWED,no,
post-final-lock change to final_confidence,holder of DATABASE_URL,"no trigger, no updated_at, no row version, no audit metadata carrying the original value, and the tamper writes no audit row: WHOLLY UNDETECTABLE from every governed record",OPERATIONALLY_PROHIBITED,raw SQL result: ALLOWED,no,
post-final-lock change to rationale,holder of DATABASE_URL,"no trigger, no updated_at, no row version, no audit metadata carrying the original value, and the tamper writes no audit row: WHOLLY UNDETECTABLE from every governed record",OPERATIONALLY_PROHIBITED,raw SQL result: ALLOWED,no,
