module_id,canonical_name,category,canonical_method_exists,method_implemented,route_reaches_canonical,legacy_route_reachable,governed_structure_declared,governed_structure_accepted_by_intake,governed_structure_supplied_on_corpus,required_inputs_actually_consumed,unsupported_synthetic_fallback_reachable,parameter_provenance_classes,unsupported_parameter_determines_output,qualification_gate_applied,lineage,output_type,real_corpus_result,correct_abstention,voting,empirical_validation_class,operational_disposition,scientific_qualification,blocking_defect,freeze_status,evidence
A1.1,Monte Carlo EAC Forecast,Cost & EVM Performance,YES,YES,DISABLED,NO,costDriverDistributions,YES,NO - the controlled corpus carries no governed structure,"NOT SATISFIED - the canonical input contract needs the declared structure AND an authoritative driver-to-EAC mapping; the specification requires the mapping and does not define it, so none was invented",NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_DEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,CALIBRATION_GAP_BLOCKS_VALIDATION,DISABLED_INSUFFICIENT_INPUT,DISABLED,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models.run_monte_carlo_module; corpus state=ABSTAINS; structure=costDriverDistributions; params=UNSUPPORTED
A1.10,CPI Shrinkage Forecast,Cost & EVM Performance,YES,YES,CANONICAL_ABSTENTION,NO,cpiReferenceClass,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_cpi_shrinkage; corpus state=ABSTAINS; structure=cpiReferenceClass; params=UNSUPPORTED
A1.11,Independent EAC Reconciliation Index,Cost & EVM Performance,YES,YES,CANONICAL_ABSTENTION,NO,independentEacPair,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_INDEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_independent_eac_reconciliation; corpus state=ABSTAINS; structure=independentEacPair; params=UNSUPPORTED
A1.2,CUSUM Anomaly Monitor,Cost & EVM Performance,YES,YES - scalar,CANONICAL_ABSTENTION,"NO - calibration disclosure, not a substituted method: hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and A",none,n/a,n/a,n/a,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_DEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models.run_cusum_module; corpus state=ABSTAINS; structure=none; params=UNSUPPORTED
A1.3,Bayesian EAC,Cost & EVM Performance,YES,YES,CANONICAL_ABSTENTION,NO,bayesianEacModel,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_INDEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_bayesian_eac; corpus state=ABSTAINS; structure=bayesianEacModel; params=UNSUPPORTED
A1.4,Kalman Filter SPI Smoother,Cost & EVM Performance,YES,YES,CANONICAL_ABSTENTION,NO,kalmanStateSpaceModel,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_INDEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_kalman_filter; corpus state=ABSTAINS; structure=kalmanStateSpaceModel; params=UNSUPPORTED
A1.5,ARIMA CPI Forecast,Cost & EVM Performance,YES,YES - scalar,CANONICAL_ABSTENTION,NO,none,n/a,n/a,n/a,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_DEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_arima_forecast; corpus state=ABSTAINS; structure=none; params=UNSUPPORTED
A1.6,Earned Schedule,Cost & EVM Performance,YES,YES,CANONICAL_ABSTENTION,NO,timePhasedBaseline,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_earned_schedule; corpus state=ABSTAINS; structure=timePhasedBaseline; params=UNSUPPORTED
A1.7,TCPI,Cost & EVM Performance,YES,YES - scalar,CANONICAL_REACHED,NO,none,n/a,n/a,n/a,NO,PUBLISHED_METHOD_PARAMETER,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_DEPENDENT,banded reading,Amber,n/a - evidence present,YES,PARTIAL_REFERENCE_STANDARD,KEEP_OPERATIONAL,QUALIFIED_FOR_BOUNDED_STUDY_USE,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_tcpi; corpus state=COMPUTES; structure=none; params=PUBLISHED_METHOD_PARAMETER
A1.8,Variance at Completion,Cost & EVM Performance,YES,YES - scalar,CANONICAL_REACHED,NO,none,n/a,n/a,n/a,NO,PUBLISHED_METHOD_PARAMETER,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_DEPENDENT,banded reading,Amber,n/a - evidence present,YES,PARTIAL_REFERENCE_STANDARD,KEEP_OPERATIONAL,QUALIFIED_FOR_BOUNDED_STUDY_USE,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_vac; corpus state=COMPUTES; structure=none; params=PUBLISHED_METHOD_PARAMETER
A1.9,Budget Execution Rate,Cost & EVM Performance,YES,YES,CANONICAL_ABSTENTION,NO,expenditureBaseline,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_evm.run_budget_execution; corpus state=ABSTAINS; structure=expenditureBaseline; params=UNSUPPORTED
A2.1,PERT Network Criticality,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,scheduleNetwork,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models.run_pert; corpus state=ABSTAINS; structure=scheduleNetwork; params=UNSUPPORTED
A2.10,Schedule Risk Analysis P80,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,scheduleNetwork,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_schedule_risk; corpus state=ABSTAINS; structure=scheduleNetwork; params=UNSUPPORTED
A2.11,Critical Path Index,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,scheduleNetwork,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_critical_path_index; corpus state=ABSTAINS; structure=scheduleNetwork; params=UNSUPPORTED
A2.2,Line of Balance,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,lobStructure,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models.run_lob; corpus state=ABSTAINS; structure=lobStructure; params=UNSUPPORTED
A2.3,CCPM Buffer Health,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,ccpmStructure,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models.run_ccpm; corpus state=ABSTAINS; structure=ccpmStructure; params=UNSUPPORTED
A2.4,Schedule Compression Index,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,scheduleNetwork,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_schedule_compression; corpus state=ABSTAINS; structure=scheduleNetwork; params=UNSUPPORTED
A2.5,Float Consumption Rate,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,scheduleNetwork,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_float_consumption; corpus state=ABSTAINS; structure=scheduleNetwork; params=UNSUPPORTED
A2.6,S-Curve Deviation,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,timePhasedBaseline,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_scurve_deviation; corpus state=ABSTAINS; structure=timePhasedBaseline; params=UNSUPPORTED
A2.7,Milestone Trend Analysis,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,milestoneForecastHistory,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_milestone_trend; corpus state=ABSTAINS; structure=milestoneForecastHistory; params=UNSUPPORTED
A2.8,Look-Ahead Schedule Health,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,lookAheadSchedule,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_lookahead_health; corpus state=ABSTAINS; structure=lookAheadSchedule; params=UNSUPPORTED
A2.9,Resource Loading Index,Schedule Performance,YES,YES,CANONICAL_ABSTENTION,NO,resourceProfile,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_resource_loading; corpus state=ABSTAINS; structure=resourceProfile; params=UNSUPPORTED
A3.1,Reference Class Forecasting,Cost Risk,YES,YES,CANONICAL_ABSTENTION,NO,referenceClassPopulation,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models.run_rcf; corpus state=ABSTAINS; structure=referenceClassPopulation; params=UNSUPPORTED
A3.2,Contingency Burn Rate,Cost Risk,YES,YES - scalar,CANONICAL_ABSTENTION,NO,none,n/a,n/a,n/a,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_contingency_burn; corpus state=ABSTAINS; structure=none; params=UNSUPPORTED
