module_id,claim,measured,reproduces_run35,evidence
A1.1,declares governed structure costDriverDistributions,costDriverDistributions,REPRODUCES the Run-35 statement,"canonical_v3.V3_STRUCTURE_KEYS['A1.1'], one declaration site"
A1.1,the governed intake accepts that key,True,REPRODUCES the Run-35 statement,"project_data.governed_structure_keys(), 85 keys, union of all seven maps"
A1.1,consumers found,0,REPRODUCES the Run-35 statement,the structure was supplied THROUGH THE REAL INTAKE (add_revision -> apply_to_signal_inputs added ['costDriverDistributions']) and the emitted row is byte-identical: True
A1.1,current production route and what it reads,app.simulation.models.run_monte_carlo_module,REPRODUCES the Run-35 statement,"reads bac, cpi, spi and docRiskScore; canonical_v3.declared_cost_driver_model has no caller anywhere in production"
A1.1,reachable unresolved parameter,UNSUPPORTED,REPRODUCED AND NOW CLOSED,"the ten and five per cent ladder over the P80 overrun percentage. Derived, not transcribed: of 100 scientific targets executed on the controlled corpus, exactly one carried both a status colour and an UNSUPPORTED class. Run 36 withdrew the band."
A1.1,status colour emitted on the controlled corpus after the closure,None,CLOSED - outcome D applied,"status_color None, band_asserted False, calibration_pending True; the FIGURE is unmoved, proved by executing the v23 line from git object dafc35d3"
A1.1,served defensibility statement,CONDITIONAL_ON_GOVERNED_STRUCTURE -> COMPUTES_FROM_AVAILABLE_EVIDENCE,CONTRADICTS the previously served record; NOT reported by Run 35,the served object claimed canonicalStructureRequired true and 'returns Not Estimable' without the structure. Execution disproves both. The generator inferred conditionality from the presence of a declaration. Corrected; participant package v12.
A1.1,SECTION 2 OUTCOME B (declaration is stale),REFUTED,evidentially determined,"the supervisory specification s1.1 REQUIRES explicit uncertain variables and distributions, parameter provenance, dependencies, an iteration count, a seed and convergence evidence. Canonical theory does require the structure, so the declaration is not stale. Absence of a consumer is not evidence that theory does not require it."
A1.1,SECTION 2 OUTCOME A (wire the genuine structure),NOT AVAILABLE WITHOUT INVENTION,OWNER DECISION REQUIRED,"the specification requires a 'deterministic mapping from sampled variables to EAC' and does NOT state what that mapping is. canonical_v3.declared_cost_driver_model reads and validates the structure and explicitly does no sampling. Nothing in this repository says whether declared drivers sum to the EAC, scale it, or cover part of it. Supplying one would be inventing the canonical method."
A1.1,SECTION 2 OUTCOME C (abstain or disable),CONTRADICTED BY COMMITTED AUTHORITY,evidentially determined,"the same specification s1.1 says the production model 'may retain the dedicated BAC/CPI/SPI/document-risk Beta-PERT adaptation', with pass ceiling METHOD_PASS_CALIBRATION_PENDING. Unconditional abstention would contradict it."
A1.1,SECTION 2 OUTCOME D (unresolved parameter blocks output),APPLIED,CLOSED IN RUN 36,"the band is withdrawn, sim-2026.08-v24 minted, predecessor divergence proved by executing both pinned lines. Reachable unsupported parameters producing authoritative output = 0."
A1.1,RESIDUAL,DECLARED_STRUCTURE_REMAINS_UNCONSUMED,OWNER DECISION REQUIRED,"the committed authority is internally in tension: s1.1's Required list demands the structure, and s1.1's own next paragraph permits the scalar adaptation instead. Only the owner can say which clause governs. Until then an owner who supplies costDriverDistributions changes nothing, and the served record now says so."
