row_type,module,parameter,unique_parameter_identity,current_value,parameter_class,parameter_source,calibration_dataset,holdout_dataset,operationally_authorized,field_validated,classification_valid,duplicate,result
PARAMETER,D1.1,n_trees,D1.1::n_trees,100,PUBLISHED_DEFAULT,"Liu, Ting and Zhou, Isolation Forest, ICDM 2008: t = 100 is the default of the algorithm as published, not of any library and not of any fixture.","RUN34-CAL (OG-SYNTH-0.6, labelled, ground truth before detector)","RUN34-HOLDOUT (OG-SYNTH-0.6, independent draw, scored once after selection)",yes,no,yes,no,PASS
PARAMETER,D1.1,subsample_psi,D1.1::subsample_psi,256,PUBLISHED_DEFAULT,"Liu, Ting and Zhou: psi = 256 is the published default.",none,none,yes,no,yes,no,PASS
PARAMETER,D1.1,seed,D1.1::seed,20250815,THEORETICAL_CONSTANT,"A fixed constant that makes a randomized ensemble reproducible. It is a reproducibility device, not a tuned value: no objective was optimised over it.",none,none,yes,no,yes,no,PASS
PARAMETER,D1.1,height_limit,D1.1::height_limit,ceil(log2(psi)),THEORETICAL_CONSTANT,"The published height limit, derived from psi rather than chosen.",none,none,yes,no,yes,no,PASS
PARAMETER,D1.1,c(n) harmonic form,D1.1::c(n) harmonic form,PAPER_ESTIMATE_LN_PLUS_EULER_GAMMA,THEORETICAL_CONSTANT,"The paper's own stated estimate of the harmonic number. The deviation from the exact sum is measured and recorded, not assumed.",none,none,yes,no,yes,no,PASS
PARAMETER,D1.1,frozen_synthetic_threshold,D1.1::frozen_synthetic_threshold,0.576,SYNTHETIC_LAB_CALIBRATION,"Run 15, selected on a seeded SYNTHETIC calibration split under a predeclared objective and evaluated once on a synthetic holdout. NOT retuned by Run 34.","RUN34-CAL (OG-SYNTH-0.6, labelled, ground truth before detector)","RUN34-HOLDOUT (OG-SYNTH-0.6, independent draw, scored once after selection)",no,no,yes,no,PASS
PARAMETER,D1.1,min_cohort_for_a_model,D1.1::min_cohort_for_a_model,3,OWNER_POLICY,Run-34 contract section 6B: below three eligible projects there is no defensible cross-project anomaly model.,none,none,yes,no,yes,no,PASS
PARAMETER,D1.1,canonical_cohort_size,D1.1::canonical_cohort_size,10,OWNER_POLICY,Run-34 contract section 6B: below ten a reading carries an explicit small-cohort limitation and no authoritative flag.,none,none,yes,no,yes,no,PASS
PARAMETER,D1.1,operational_anomaly_threshold,D1.1::operational_anomaly_threshold,none,UNSUPPORTED,No operational anomaly threshold exists for any schema. None was created by Run 34.,none,none,no,no,yes,no,PASS
PARAMETER,D1.2,feature_weights,D1.2::feature_weights,none,UNSUPPORTED,"No governed feature weights exist. Equal weighting is an owner-policy choice, not a canonical fact, and Run 34 did not adopt it as a default.",none,none,no,no,yes,no,PASS
PARAMETER,D1.2,percentile_bands,D1.2::percentile_bands,none,UNSUPPORTED,No percentile-to-status mapping is calibrated or authorised.,none,none,no,no,yes,no,PASS
PARAMETER,D1.3,min_observations,D1.3::min_observations,3,OWNER_POLICY,"Run-34 contract section 8A, predeclared before any fixture was scored: fewer than three observations is NOT_ESTIMABLE for a trajectory.",none,none,yes,no,yes,no,PASS
