row_type,module_id,canonical_name,profile_kind,primitive_sources,overlap_type,closest_overlapping_targets,distinct_analytical_function,current_operational_necessity
TARGET,A1.1,Monte Carlo EAC Forecast,STRUCTURE,costDriverDistributions,NONE,,YES,NO - disabled or archived
TARGET,A1.10,CPI Shrinkage Forecast,STRUCTURE,cpiReferenceClass,NONE,,YES,NO - abstains on the current corpus
TARGET,A1.11,Independent EAC Reconciliation Index,STRUCTURE,independentEacPair,NONE,,YES,NO - abstains on the current corpus
TARGET,A1.2,CUSUM Anomaly Monitor,SCALARS,spi,NONE,,YES,NO - abstains on the current corpus
TARGET,A1.3,Bayesian EAC,STRUCTURE,bayesianEacModel,NONE,,YES,NO - abstains on the current corpus
TARGET,A1.4,Kalman Filter SPI Smoother,STRUCTURE,kalmanStateSpaceModel,NONE,,YES,NO - abstains on the current corpus
TARGET,A1.5,ARIMA CPI Forecast,SCALARS,cpi,PRIMITIVE_SOURCE_SUBSET,A1.8,YES,NO - abstains on the current corpus
TARGET,A1.6,Earned Schedule,STRUCTURE,timePhasedBaseline,SHARED_GOVERNED_STRUCTURE (same primitive source object),A2.6,YES,NO - abstains on the current corpus
TARGET,A1.7,TCPI,SCALARS,"ac, bac, ev",NONE,,YES,YES - voting
TARGET,A1.8,Variance at Completion,SCALARS,"bac, cpi",NONE,,YES,YES - voting
TARGET,A1.9,Budget Execution Rate,STRUCTURE,expenditureBaseline,NONE,,YES,NO - abstains on the current corpus
TARGET,A2.1,PERT Network Criticality,STRUCTURE,scheduleNetwork,SHARED_GOVERNED_STRUCTURE (same primitive source object),"A2.10, A2.11, A2.4, A2.5",YES,NO - abstains on the current corpus
TARGET,A2.10,Schedule Risk Analysis P80,STRUCTURE,scheduleNetwork,SHARED_GOVERNED_STRUCTURE (same primitive source object),"A2.1, A2.11, A2.4, A2.5",NO,NO - abstains on the current corpus
TARGET,A2.11,Critical Path Index,STRUCTURE,scheduleNetwork,SHARED_GOVERNED_STRUCTURE (same primitive source object),"A2.1, A2.10, A2.4, A2.5",NO,NO - abstains on the current corpus
TARGET,A2.2,Line of Balance,STRUCTURE,lobStructure,NONE,,YES,NO - abstains on the current corpus
TARGET,A2.3,CCPM Buffer Health,STRUCTURE,ccpmStructure,NONE,,YES,NO - abstains on the current corpus
TARGET,A2.4,Schedule Compression Index,STRUCTURE,scheduleNetwork,SHARED_GOVERNED_STRUCTURE (same primitive source object),"A2.1, A2.10, A2.11, A2.5",NO,NO - abstains on the current corpus
TARGET,A2.5,Float Consumption Rate,STRUCTURE,scheduleNetwork,SHARED_GOVERNED_STRUCTURE (same primitive source object),"A2.1, A2.10, A2.11, A2.4",NO,NO - abstains on the current corpus
TARGET,A2.6,S-Curve Deviation,STRUCTURE,timePhasedBaseline,SHARED_GOVERNED_STRUCTURE (same primitive source object),A1.6,NO,NO - abstains on the current corpus
TARGET,A2.7,Milestone Trend Analysis,STRUCTURE,milestoneForecastHistory,NONE,,YES,NO - abstains on the current corpus
TARGET,A2.8,Look-Ahead Schedule Health,STRUCTURE,lookAheadSchedule,NONE,,YES,NO - abstains on the current corpus
TARGET,A2.9,Resource Loading Index,STRUCTURE,resourceProfile,NONE,,YES,NO - abstains on the current corpus
TARGET,A3.1,Reference Class Forecasting,STRUCTURE,referenceClassPopulation,NONE,,YES,NO - abstains on the current corpus
TARGET,A3.2,Contingency Burn Rate,SCALARS,none measured on this corpus,IDENTICAL_PRIMITIVE_SOURCE_SET,"B1.1, B1.3, B1.4, B2.9",YES,NO - abstains on the current corpus
TARGET,A3.3,Labor Productivity Index,STRUCTURE,productionOutputRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,A3.5,Overhead Absorption Rate,STRUCTURE,overheadAllocationBase,NONE,,YES,NO - abstains on the current corpus
TARGET,A3.6,Cost Risk Analysis P80,STRUCTURE,costRiskModel,NONE,,YES,NO - abstains on the current corpus
TARGET,A3.7,Analogous Estimating Ratio,STRUCTURE,analogEstimate,NONE,,YES,NO - abstains on the current corpus
TARGET,A3.8,Parametric Cost Index,STRUCTURE,parametricCostModel,NONE,,YES,NO - disabled or archived
TARGET,A3.9,Inflation Adjustment Index,STRUCTURE,externalCostIndex,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.1,Document Risk Score,STRUCTURE,documentRiskEvidence,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.10,Specification Conflict Density,STRUCTURE,specificationConflictRegister,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.2,RFI Velocity,STRUCTURE,rfiEventLog,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.3,Submittal Rejection Rate,STRUCTURE,submittalDecisionRegister,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.4,NCR Rate,STRUCTURE,auditedNonconformanceCohort,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.5,Weather Day Impact,STRUCTURE,weatherImpactEvents,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.6,Change Order Frequency,STRUCTURE,changeEventRegister,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.7,Dispute Escalation Index,STRUCTURE,claimDisputeRegister,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.8,Subcontractor Performance,STRUCTURE,subcontractorAssessments,NONE,,YES,NO - abstains on the current corpus
TARGET,A4.9,Procurement Lead Time Monitor,STRUCTURE,procurementItems,NONE,,YES,NO - abstains on the current corpus
TARGET,A5.1,DSM Rework Propagation,STRUCTURE,dsmDependencyModel,NONE,,YES,NO - abstains on the current corpus
TARGET,A5.2,Sensitivity Analysis,STRUCTURE,sensitivityModel,SHARED_GOVERNED_STRUCTURE (same primitive source object),A5.3,YES,NO - abstains on the current corpus
TARGET,A5.3,Tornado Risk Ranking,STRUCTURE,sensitivityModel,SHARED_GOVERNED_STRUCTURE (same primitive source object),A5.2,NO,NO - abstains on the current corpus
TARGET,A5.4,Scenario Modeling,STRUCTURE,scenarioSet,NONE,,YES,NO - abstains on the current corpus
TARGET,A5.5,Rework Feedback Loop,STRUCTURE,systemDynamicsModel,NONE,,YES,NO - abstains on the current corpus
TARGET,A5.6,Queueing Theory Bottleneck,STRUCTURE,queueStructure,NONE,,YES,NO - abstains on the current corpus
TARGET,A5.7,Agent-Based Supply Chain,STRUCTURE,abmStructure,NONE,,YES,NO - abstains on the current corpus
TARGET,A5.8,Discrete Event Simulation,STRUCTURE,desProcessModel,NONE,,YES,NO - abstains on the current corpus
TARGET,A6.1,Quality Compliance Index,STRUCTURE,qualityRequirementRegister,NONE,,YES,BOUNDED ADVISORY
TARGET,A6.2,Safety Performance Index,STRUCTURE,safetyPerformanceRecord,NONE,,YES,BOUNDED ADVISORY
TARGET,A6.3,Environmental Compliance Rate,STRUCTURE,auditedPermitCompliance,NONE,,YES,BOUNDED ADVISORY
TARGET,A6.4,Contractor Performance Assessment Signal,STRUCTURE,contractorAssessmentRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,B1.1,Conservative Dominance,SCALARS,none measured on this corpus,IDENTICAL_PRIMITIVE_SOURCE_SET,"A3.2, B1.3, B1.4, B2.9",NO,NO - abstains on the current corpus
TARGET,B1.2,Weighted Voting,STRUCTURE,signalWeightPolicy,NONE,,YES,NO - abstains on the current corpus
TARGET,B1.3,Majority Rules,SCALARS,none measured on this corpus,IDENTICAL_PRIMITIVE_SOURCE_SET,"A3.2, B1.1, B1.4, B2.9",NO,NO - abstains on the current corpus
TARGET,B1.4,Worst-N-of-M,SCALARS,none measured on this corpus,IDENTICAL_PRIMITIVE_SOURCE_SET,"A3.2, B1.1, B1.3, B2.9",NO,NO - abstains on the current corpus
TARGET,B2.1,Dempster-Shafer,STRUCTURE,evidenceMassFunctions,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.10,Pythagorean Fuzzy Sets,STRUCTURE,pythagoreanFuzzyAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.11,Picture Fuzzy Sets,STRUCTURE,pictureFuzzyAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.12,Hesitant Fuzzy Sets,STRUCTURE,hesitantFuzzyAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.13,Type-2 Fuzzy Sets,STRUCTURE,type2FuzzyAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.14,Maximum Entropy,STRUCTURE,maximumEntropyProblem,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.15,Possibility Theory,STRUCTURE,possibilityAssessment,NONE,,YES,NO - abstains on the current corpus
