module,module_name,missing_canonical_structure,runtime_abstention_reason,supply_path_type,concrete_repository_object,implemented,reachable_by_production_ingestion_or_api,real_corpus_currently_supplies_values,why_not_if_no,later_calibration_only,verdict
A1.3,Bayesian EAC,bayesianEacModel,canonical_structure_absent,NEW_STRUCTURED_FORM,"signal-inputs key `bayesianEacModel` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"No reporting-period document states a prior or an observation variance; both are elicited quantities, so they arrive through the structured intake rather than through extraction.",no,PASS
A1.4,Kalman Filter SPI Smoother,kalmanStateSpaceModel,canonical_structure_absent,NEW_STRUCTURED_FORM,"signal-inputs key `kalmanStateSpaceModel` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"The readings exist in the corpus; Q and R do not. Run 27 proved R is estimable from repeated readings of one period, and that extraction is NOT implemented by this closure, so R is stated as absent rather than derived quietly.",no,PASS
A1.5,ARIMA CPI Forecast,cost performance history,insufficient_history,DERIVED_QUALIFIED_HISTORY,server/app/documents.py::_period_history (cpiHistory/spiHistory assembled from the project's own stored periods); minimum-history guard in server/app/simulation/canonical_v3.py::identify_arima,yes,yes,partial: three to four readings of the eight required,"The history is assembled and served today by documents.py::_period_history from the project's own stored periods. It is short, not absent: the corpus has not yet run for eight reporting periods.",no,PASS
A1.6,Earned Schedule,timePhasedBaseline,canonical_structure_absent,CONTRACT_BASELINE_DATA,"signal-inputs key `timePhasedBaseline` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,No document type extracted today carries a period-by-period cumulative planned value curve; it is a contract baseline artefact supplied against the project.,no,PASS
A1.9,Budget Execution Rate,expenditureBaseline,canonical_structure_absent,CONTRACT_BASELINE_DATA,"signal-inputs key `expenditureBaseline` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"As above: the approved spend profile is a baseline artefact, not a figure any reporting-period document states.",no,PASS
A1.10,CPI Shrinkage Forecast,cpiReferenceClass,canonical_structure_absent,REFERENCE_CLASS_DATASET_INTERFACE,"signal-inputs key `cpiReferenceClass` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,An outside-view population cannot come from this project's own documents by construction. No governed comparable-project dataset has been curated for this platform.,no,PASS
A1.11,Independent EAC Reconciliation Index,independentEacPair,canonical_structure_absent,NEW_STRUCTURED_FORM,"signal-inputs key `independentEacPair` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"The platform collects one estimate per project. An independent estimate is prepared by a different party and must be entered as such; independence is CHECKED, not asserted.",no,PASS
A2.1,PERT Network Criticality,scheduleNetwork,canonical_structure_absent,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"Schedule extraction yields an activity TABLE with dates, not the logic between activities. The network is supplied as a project data object; a scheduling-tool export maps onto it directly.",no,PASS
A2.4,Schedule Compression Index,scheduleNetwork,canonical_structure_absent,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,As A2.1: one network serves five Category-2 methods.,no,PASS
A2.5,Float Consumption Rate,scheduleNetwork,canonical_structure_absent,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,As A2.1.,no,PASS
