code_module_id,literature_module_id,module,run8_bucket,package,required_structure,v02_assets,complete,remaining_gap
A1.1,not mapped,Monte Carlo EAC,3,A,cost risk quantification: three-point or distributional cost ranges per risk or work package,cost_risk_events.csv:present cost_elements.csv:present cost_correlations.csv:present cost_risk_ground_truth.csv:present,yes,"no alias row: the module carries no entry in module_id_aliases.csv or module_asset_map.csv, so a repository join has to be made by hand"
A2.2,2.2,Line of Balance,3,A,"locations or units, crews, quantities and production rates",lob_work_packages.csv:present lob_ground_truth.csv:present,yes,none
A2.3,2.3,CCPM Buffer Health,3,A,a critical chain with a project buffer and feeding buffers sized from activity estimates,ccpm_chains.csv:present ccpm_chain_activities.csv:present ccpm_buffer_sizing_inputs.csv:present ccpm_buffers.csv:present ccpm_ground_truth.csv:present,yes,none: every activity and buffer traces to a declared chain and every buffer recomputes from the RSS PERT variance at z = 1.645
A3.1,3.1,Reference Class Forecasting,5,B1,a population of comparable completed projects with realised overruns,reference_projects.csv:present reference_class_membership.csv:present reference_outcomes.csv:present split_manifest.csv:present,yes,none; the module stays disabled and abstaining regardless
A4.4,4.4,NCR Rate,3,A,an audited nonconformance cohort carrying a findings total,quality_audits.csv:present ncr_events.csv:present ncr_ground_truth.csv:present,yes,none: the corpus that was absent in the prior version now exists and recomputes at every cutoff
A5.1,5.1,DSM Rework Propagation,5,A,a project-specific dependency matrix,dsm_nodes.csv:present dsm_edges.csv:present dsm_ground_truth.csv:present,yes,none; Package A is now stated consistently as the boundary; the module stays disabled and abstaining
A5.4,not mapped,Scenario Modeling,4,B3,an actions-by-scenarios payoff structure with defined scenarios and probabilities,decision_problems.csv:present actions.csv:present scenarios.csv:present action_scenario_outcomes.csv:present payoff_matrices.csv:present ground_truth_decisions.csv:present,yes,"no alias row: the module carries no entry in module_id_aliases.csv or module_asset_map.csv, so a repository join has to be made by hand"
A5.6,5.6,Queueing Theory Bottleneck,3,A,"arrival and service processes, capacity and a queue discipline",queue_events.csv:present queue_ground_truth.csv:present,yes,none
A5.7,5.7,Agent-Based Supply Chain,3,A,"agents, states, rules and interactions",agent_decision_rules.csv:present agents.csv:present agent_state_history.csv:present abm_ground_truth.csv:present abm_rule_ground_truth.csv:present,yes,"one declared branch, the low inventory restock branch, is never exercised by the state history, so replay covers two of the three branches"
A6.3,8.8,Environmental Compliance Rate,3,A,audited permit condition compliance,environmental_requirements.csv:present environmental_assessments.csv:present environmental_violations.csv:present environmental_ground_truth.csv:present,yes,none: the corpus that was absent in the prior version now exists and recomputes at every period
B2.19,7.19,CRITIC-TOPSIS,4,B3,"an alternatives-by-criteria decision matrix, weights computed across alternatives",alternative_criteria_matrix.csv:present criteria.csv:present ground_truth_decisions.csv:present,yes,none structurally; the degenerate single-alternative weighting remains a separate production decision
