module_id,canonical_name,layer,test_case,exact_input,actual_output,independently_expected_output,difference,production_code_path,oracle_source,defect_class,likely_technical_cause,voting,can_affect_cost_recovery_status,neighbor_modules_at_risk,reproducer_command_or_test,verification_limitations
A1.3,Bayesian EAC,PROJECT,malformed input of a type the ingestion contract refuses,bac='not-a-number':TypeError,bac='not-a-number':TypeError; bac=nan:ValueError; bac=inf:ZeroDivisionError; bac=[]:TypeError; bac={}:TypeError; cpi='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_evm.py::run_bayesian_eac,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A1.8,Variance at Completion,PROJECT,malformed input of a type the ingestion contract refuses,bac='not-a-number':TypeError,bac='not-a-number':TypeError; bac=[]:TypeError; bac={}:TypeError; cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_evm.py::run_vac,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,YES,NO,"A1.11, A1.3, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A1.11,ICE Ratio,PROJECT,malformed input of a type the ingestion contract refuses,ac='not-a-number':TypeError,ac='not-a-number':TypeError; ac=[]:TypeError; ac={}:TypeError; bac='not-a-number':TypeError; bac=inf:OverflowError; bac=[]:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_evm.py::run_ice_ratio,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A2.4,Schedule Compression Index,PROJECT,malformed input of a type the ingestion contract refuses,actualPctComplete='not-a-number':TypeError,actualPctComplete='not-a-number':TypeError; actualPctComplete=nan:ValueError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_schedule_compression,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A2.5,Float Consumption Rate,PROJECT,malformed input of a type the ingestion contract refuses,totalFloat='not-a-number':TypeError,totalFloat='not-a-number':TypeError; totalFloat=inf:OverflowError; totalFloat=[]:TypeError; totalFloat={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_float_consumption,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A2.8,Look-Ahead Schedule Health,PROJECT,malformed input of a type the ingestion contract refuses,activitiesConstrained='not-a-number':TypeError,activitiesConstrained='not-a-number':TypeError; activitiesConstrained=nan:ValueError; activitiesConstrained=[]:TypeError; activitiesConstrained={}:TypeError; activitiesPlanned='not-a-number':TypeError; activitiesPlanned=inf:non-finite output,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_lookahead_health,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A2.10,Schedule Risk Analysis P80,PROJECT,malformed input of a type the ingestion contract refuses,spi='not-a-number':TypeError,spi='not-a-number':TypeError; spi=[]:TypeError; spi={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_schedule_risk,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A2.11,Critical Path Index,PROJECT,malformed input of a type the ingestion contract refuses,actualPctComplete='not-a-number':TypeError,actualPctComplete='not-a-number':TypeError; actualPctComplete=nan:non-finite output; actualPctComplete=inf:non-finite output; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError; spi='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_critical_path_index,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A2.11,Critical Path Index,PROJECT,out-of-domain favourable banding,actualPctComplete=impossible-large,Green,abstention or no improvement,an impossible figure read as healthy,server/app/simulation/models_ext.py::run_critical_path_index,contract: an impossible input is not evidence of health,out-of-domain favourable banding,banding applied before any domain guard,NO,NO,"A3.2, A3.3, A3.5, A5.8",tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
A3.2,Contingency Burn Rate,PROJECT,malformed input of a type the ingestion contract refuses,actualPctComplete='not-a-number':TypeError,actualPctComplete='not-a-number':TypeError; actualPctComplete=inf:OverflowError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError; originalContingency='not-a-number':TypeError; originalContingency=inf:ValueError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_contingency_burn,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
