page/route,module,consumer,current method class,qualifier key requested,qualifier key resolved,rendered qualifier,expected qualifier,lookup empty?,historical content shown?,PASS/FAIL,note
index.html -> LIN_CATEGORIES (authenticated runtime),B3.1,taxonomy.js generated artifact,ABM_Governance,n/a,n/a,Agent-Based Governance Model / disabled=False,Agent-Based Governance Model / disabled=False,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B3.2,taxonomy.js generated artifact,EVMS_Applicability,n/a,n/a,FAR/Agency EVMS Applicability Monitor / disabled=False,FAR/Agency EVMS Applicability Monitor / disabled=False,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B3.3,taxonomy.js generated artifact,A11_Conformance,n/a,n/a,Versioned A-11 Capital Programming Conformance Check / disabled=False,Versioned A-11 Capital Programming Conformance Check / disabled=False,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B3.4,taxonomy.js generated artifact,EVMS_Reporting_Compliance,n/a,n/a,EVMS Reporting Compliance Monitor / disabled=False,EVMS Reporting Compliance Monitor / disabled=False,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B3.5,taxonomy.js generated artifact,Modification_Governance,n/a,n/a,Contract Modification Governance Check / disabled=False,Contract Modification Governance Check / disabled=False,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B4.1,taxonomy.js generated artifact,Multi_Objective_Optimization,n/a,n/a,Multi-Objective Optimization / disabled=True,Multi-Objective Optimization / disabled=True,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B4.2,taxonomy.js generated artifact,Linear_Programming,n/a,n/a,Linear Programming / disabled=True,Linear Programming / disabled=True,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B4.3,taxonomy.js generated artifact,Constraint_Satisfaction,n/a,n/a,Constraint Satisfaction Analysis / disabled=False,Constraint Satisfaction Analysis / disabled=False,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B4.4,taxonomy.js generated artifact,WhatIf_Scenario_Matrix,n/a,n/a,What-If Scenario Matrix / disabled=False,What-If Scenario Matrix / disabled=False,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B4.5,taxonomy.js generated artifact,Decision_Sensitivity_Matrix,n/a,n/a,Decision Sensitivity Matrix / disabled=True,Decision Sensitivity Matrix / disabled=True,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B4.6,taxonomy.js generated artifact,Pareto_Frontier,n/a,n/a,Pareto Frontier Analysis / disabled=True,Pareto Frontier Analysis / disabled=True,NO,NO,PASS,
index.html -> LIN_CATEGORIES (authenticated runtime),B4.7,taxonomy.js generated artifact,Minimax_Regret_Decision_Rule,n/a,n/a,Minimax Regret Decision Rule / disabled=False,Minimax Regret Decision Rule / disabled=False,NO,NO,PASS,
handbook -> Methods and Framework,-,MODREF topic navigation,n/a,n/a,n/a,12 module-reference topics,the per-module handbook surface is reachable,NO,NO,PASS,
handbook -> module reference,-,modDoc() rendered sections,n/a,n/a,n/a,101 module sections rendered,every documented module renders,NO,NO,PASS,
handbook -> module reference,A1.2,modDoc() RUN1_PROXY_QUALIFIER,CUSUM,CUSUM,CUSUM,"hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and Amber band uncalibrat","hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and Amber band uncalibrat",NO,NO,PASS,
handbook -> module reference,D1.2,modDoc() RUN1_PROXY_QUALIFIER,Portfolio_Outlier,Portfolio_Outlier,Portfolio_Outlier,an empirical CPI and SPI percentile rank; small-n behaviour and bands unvalidated,an empirical CPI and SPI percentile rank; small-n behaviour and bands unvalidated,NO,NO,PASS,
index.html (page errors),-,console,n/a,n/a,n/a,none,none,NO,NO,PASS,
