module_id,code_module_id,module_name,category_number,category_name,synthetic_package,primary_files,proposed_owner_action,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
10.1,B4.1,Multi-Objective Optimization,10,Decision Optimization,B3/C,actions.csv|criteria.csv|action_scenario_outcomes.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d1891d4785a01be219fd7a2a59c08c53b79a72675933acba6a60142d33f20037
10.2,B4.2,Linear Programming,10,Decision Optimization,B3/C,lp_models.json|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d971243c8763261fd514ee4c1845038d479c2e32d423a1322a32524506ff3015
10.3,B4.3,Constraint Satisfaction Analysis,10,Decision Optimization,B3,constraints.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,78d519a77de9e8e1d176a721eb924f51b12ca4f05e82c696fe86f0cf8daef853
10.4,B4.4,What-If Scenario Matrix,10,Decision Optimization,B3,actions.csv|scenarios.csv|action_scenario_outcomes.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,65ecd726531d78584e00a9106f8f54dc36ed38c626ba4dd51da496211653bd5c
10.5,B4.5,Decision Sensitivity Matrix,10,Decision Optimization,B3/C,sensitivity_cases.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d7b290ee0db2a548de4b8e67832af0cf733ff32213c05df83e98457e24296f7b
10.6,B4.6,Pareto Frontier Analysis,10,Decision Optimization,B3/C,alternative_criteria_matrix.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4e1229d84ec82169875c9cfbbfbc0badad500b68f06840ae7fe833ada98035a1
10.7,B4.7,Regret Minimization Index,10,Decision Optimization,B3,payoff_matrices.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5890ce5137904dd653e7f1e86a1e6ea500e0f780c8d4b466dbc0bc5b61206711
2.1,A2.1,PERT Network Criticality,2,Schedule Analytics,A,schedule_activities.csv|schedule_dependencies.csv|schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5e979610013063b394e663c71a0feebf4dacc1457df222aa882d81450585b85c
2.10,A2.10,Schedule Risk Analysis P80,2,Schedule Analytics,A,schedule_activities.csv|schedule_dependencies.csv|schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec28644c7f8c34fbdd1ef49236361b5bd57ad139589d58340a9567f323acdd05
2.11,A2.11,Critical Path Index,2,Schedule Analytics,A,schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b65efac7c1206d0d041dae1ebfd731292c4b4bf897a311a041ac099ecddb7af7
