run,cycle,instrument,defect_class,what_the_instrument_did,how_it_was_caught,resolution,status
20,8,server/tools/run20_cycle8_probe.py::reading,VACUOUS_COMPARISON,"Compared status_color, value, insufficient_data and finding. No module in any ARCH.3 cluster emits value or finding at all, so the probe compared the BAND ALONE and scored every dependence that moves a number without crossing a band boundary as absent.","Four verdicts changed the moment the whole result was compared: A1.3 and A3.6 gained the budget, B2.11 and B2.14 gained the document risk score, and A3.9 went from resting on nothing at all to resting on three facts.","Rewritten to compare the module's ENTIRE result dict rather than a hand-written key list, because a hand-written key list is what went wrong. Pinned by a named non-vacuity check that asserts the band alone does not distinguish two runs the whole result does.",CLOSED
20,8,server/tools/test_run20_cycle8_arch3_clusters.py::M1,MUTATION_CHANGED_BYTES_NOT_BEHAVIOUR,"Stripped only the cost-index ancestry from B2.12 and compared it against B2.13. Both also read the schedule index, so the pair still intersected on the planned value and the verdict did not move.","The mutation reported the pair still dependent, so it proved nothing about the guard.","RE-AIMED, not counted: aimed at the pair the mutation can actually separate, B2.12 against the cost-index-only reader B3.2. Precedent followed rather than an explanation accepted.",CLOSED
20,8,server/tools/test_run20_primitive_lineage.py::declaration sweep,GUARD_WORKED,The cycle-6 sweep asserts the shipped table declares no module the sweep has not read against its computation.,"It named all fifteen new cycle-8 declarations by name and failed, exactly as designed, before any of them had been transcribed.",Extended with the fifteen hand-transcribed direct-fact sets and a new parallel transcription of the derived-index reads. No expectation was relaxed.,CLOSED
20,8,server/tools/test_run20_lineage_declaration_truth.py::fact vocabulary,GUARD_WORKED,The cycle-5 suite requires every declared fact name to be in its own vocabulary and requires the module's reading to move for it.,It failed on the two material cost fact names the Inflation Adjustment Index declaration introduced.,"Vocabulary EXTENDED with two names that resolve to real signal input fields. The movement requirement was not touched, and it independently validated all sixteen new declarations.",CLOSED
20,3,fault injection rows M13 to M21,EVIDENCE_ONLY_IN_PROSE,The cycle-3 fault-injection results M13 to M21 exist only as narrative in the handoff and in no executable or tabulated artifact.,Recorded as an open evidence gap at the end of cycle 3 and carried unclosed through cycles 4 to 8. Carried unclosed through cycles 4 to 11 and closed in cycle 12.,"CLOSED IN CYCLE 12 BY RERUN, NOT BY TRANSCRIPTION. server/tools/run20_cycle12_cycle3_fault_battery.py reruns all nine against production, confirms the bytes changed, runs the named cycle-3 suite in its own process and emits code_audit/run20_cycle12_cycle3_fault_injection.csv. All nine landed, all nine were detected, all nine restored green.",CLOSED
20,1,server/tools/test_run20_declared_production_changes.py::manifest,VACUOUS_COMPARISON,"Compared a value against the expression that produced it, so the manifest guard could not disagree with the manifest.","Injection M11 renamed a module inside an already-declared file and the guard stayed green, because the file set was unchanged.",Module-level checks added beside the file-hash comparison. M11 then qualified and the guard failed by name.,CLOSED
20,2,server/tools/test_run19_category_8.py::regulatory sentences,GUARD_WORKED,"Requires that no regulation's name, part number or reporting obligation is attached to a level no cited provision states.","Injections M7, M8, M9 and M10 each restored a withdrawn regulatory claim and each was reported as an unrecorded scientific defect.",No expectation relaxed. The four regulatory claims stay withdrawn.,CLOSED
20,3,server/tools/test_run20_lineage_model.py::own lineage test,CRASHES_RATHER_THAN_FAILS,"The cycle-3 lineage test crashed on its own error path instead of failing, so a red arrived as a traceback the strict runner rejects for the wrong reason.",Injection M20 at first failed only by an incidental AttributeError from the converter rather than by the named bypass check.,Error path made to fail by name and print the canonical result line. M20 re-run and it then failed on all four bypass checks.,CLOSED
20,4,server/tools/test_run20_advisory_lineage_disclosure.py::partition defences,GUARD_WORKED,"Two independent partition defences, the declared body and the shared facts, each sufficient alone.",Injection M26 withdrew one defence and the partition still held; M27 withdrew both and the defect returned in full.,Neither defence is dead code and the pair is proved rather than assumed. No expectation relaxed.,CLOSED
20,5,server/tools/test_run20_lineage_declaration_truth.py::fact vocabulary,GUARD_WORKED,Requires every declared fact name to be in the vocabulary and requires the module's reading to move for it.,Injection M24 renamed the source facts and every renamed name failed the check that it names a governed input field the fixture carries.,Movement requirement untouched; the vocabulary is extended only by names that resolve to real signal input fields.,CLOSED
20,6,server/tools/test_run20_primitive_lineage.py::pinned baseline,ENUMERATION_BLIND_TO_UNTRACKED_FILES,"Enumerated production files through git, so a new production file not yet tracked was invisible to the baseline comparison.","Found in cycle 10 when a new production file was added; the cycle-10 declaration guard caught it separately, so the invariant was never actually unprotected.","Recorded and the file scoped. A guard that only sees tracked files means less than it appears to, and that is now written down rather than assumed away.",CLOSED
