fault,failure_mode,injection,named_guard,guard_state,red_for_intended_reason,guard_output,restored_green,counted
1,synthetic calibration labelled empirical validation,APPLIED,run35.fault01.synthetic_not_called_empirical,RED,YES,FAIL  run35.fault01.synthetic_not_called_empirical: D1.1 declares a synthetic-as-empirical claim,YES,COUNTED
2,method output used as its own reference standard,APPLIED,run35.fault02.output_not_its_own_reference,RED,YES,FAIL  run35.fault02.output_not_its_own_reference: references derived from the method they score: ['A1.7'],YES,COUNTED
3,direct method input used as an independent reference outcome,APPLIED,run35.fault03.direct_input_not_a_field_outcome,RED,YES,FAIL  run35.fault03.direct_input_not_a_field_outcome: A1.8 claims class-A support from an input-derived reference,YES,COUNTED
4,future-period leakage into an earlier-period prediction,APPLIED,run35.fault04.no_future_period_leakage,RED,YES,FAIL  run35.fault04.no_future_period_leakage: A6.2 does not answer the leakage test NO,YES,COUNTED
5,reference-standard independence field omitted,APPLIED,run35.fault05.independence_fields_complete,RED,YES,FAIL  run35.fault05.independence_fields_complete: A1.7.lineage is empty,YES,COUNTED
6,partial reference standard promoted to whole-module validation,APPLIED,run35.fault06.partial_not_promoted,RED,YES,FAIL  run35.fault06.partial_not_promoted: A1.7 names nothing as unscored,YES,COUNTED
7,a module with no qualified reference marked empirical PASS,APPLIED,run35.fault07.no_reference_no_pass,RED,YES,FAIL  run35.fault07.no_reference_no_pass: scored without an admitted reference standard: ['B2.18'],YES,COUNTED
8,an unsupported parameter applied and validation read as calibrated,APPLIED,run35.fault08.applied_unsupported_not_calibrated,RED,YES,FAIL  run35.fault08.applied_unsupported_not_calibrated: A1.1/a four band ladder over the quantity the module reports applied yet called interpretable,YES,COUNTED
9,a validation threshold selected after the results were seen,APPLIED,run35.fault09.no_threshold_after_results,RED,YES,FAIL  run35.fault09.no_threshold_after_results: score() compares against a numeric literal: an acceptance threshold living in the scorer rather than in the contract,YES,COUNTED
10,the validation metric changed after the results were observed,APPLIED,run35.fault10.metric_not_changed_after_results,RED,YES,FAIL  run35.fault10.metric_not_changed_after_results: A6.2 scored under a metric the contract does not declare,YES,COUNTED
11,a disabled module activated to obtain a score,APPLIED,run35.fault11.disabled_not_activated,RED,YES,FAIL  run35.fault11.disabled_not_activated: disabled set moved: ['B4.1'],YES,COUNTED
12,archived Quantum Probability becomes operational,APPLIED,run35.fault12.quantum_stays_archived,RED,YES,FAIL  run35.fault12.quantum_stays_archived: B2.9 disposition is KEEP_ABSTENTION_CAPABLE,YES,COUNTED
13,Plithogenic Sets becomes operational,APPLIED,run35.fault13.plithogenic_stays_disabled,RED,YES,FAIL  run35.fault13.plithogenic_stays_disabled: B2.7 disposition is KEEP_ABSTENTION_CAPABLE,YES,COUNTED
14,Hypersoft Sets becomes operational,APPLIED,run35.fault14.hypersoft_stays_disabled,RED,YES,FAIL  run35.fault14.hypersoft_stays_disabled: B2.20 disposition is KEEP_ABSTENTION_CAPABLE,YES,COUNTED
15,Material Cost Variance becomes active without the required structures,APPLIED,run35.fault15.mcv_not_active,RED,YES,FAIL  run35.fault15.mcv_not_active: the evidence-under-review set moved; A3.4 activation is ADVISORY_ONLY,YES,COUNTED
16,the voting count becomes 3,APPLIED,run35.fault16.voting_is_exactly_two,RED,YES,"FAIL  run35.fault16.voting_is_exactly_two: the voting set is ['A1.7', 'A1.8', 'A1.9']",YES,COUNTED
17,a Category-9 qualification-gate bypass appears,APPLIED,run35.fault17.category9_no_bypass,RED,YES,FAIL  run35.fault17.category9_no_bypass: gated 40; raw bypass 0; missing-assessment bypass 3,YES,COUNTED
18,Category-9 quality becomes a risk vote,APPLIED,run35.fault18.category9_not_a_risk_vote,RED,YES,FAIL  run35.fault18.category9_not_a_risk_vote: C1.1 is in the voting set,YES,COUNTED
19,a Category-10 recommendation becomes project-condition evidence,APPLIED,run35.fault19.category10_creates_no_evidence,RED,YES,FAIL  run35.fault19.category10_creates_no_evidence: B4.3 does not deny creating project evidence; B4.4 does not deny creating project evidence; B4.7 does not deny creating project evidence,YES,COUNTED
20,a Category-10 method exercises approval authority,APPLIED,run35.fault20.category10_no_approval_authority,RED,YES,FAIL  run35.fault20.category10_no_approval_authority: B4.3 does not require human authorization; B4.4 does not require human authorization; B4.7 does not require human authorization,YES,COUNTED
21,duplicate lineage counted as independent confirmation,APPLIED,run35.fault21.duplicate_lineage_not_independent,RED,YES,FAIL  run35.fault21.duplicate_lineage_not_independent: A1.6 shares a primitive source yet claims uniqueness,YES,COUNTED
22,unknown lineage treated as independent lineage,APPLIED,run35.fault22.unknown_lineage_not_independent,RED,YES,FAIL  run35.fault22.unknown_lineage_not_independent: A1.6 evidence does not carry the live independence answer; A1.6 establishes independence from a non-independent state; A1.9 evidence does not carry the live independence answer; A1.9 establishes independence from a non-independent state,YES,COUNTED
23,a synthetic Portfolio Health holdout called field validation,APPLIED,run35.fault23.ph_holdout_not_field_validation,RED,YES,FAIL  run35.fault23.ph_holdout_not_field_validation: D1.3 Run-34 layer 5 is no longer PENDING,YES,COUNTED
24,PH.5 receives invented equal weights,APPLIED,run35.fault24.ph5_no_invented_weights,RED,YES,FAIL  run35.fault24.ph5_no_invented_weights: D1.5 applies UNSUPPORTED parameter constituent_weights,YES,COUNTED
25,PH.2 receives invented equal weights,APPLIED,run35.fault25.ph2_no_invented_weights,RED,YES,FAIL  run35.fault25.ph2_no_invented_weights: D1.2 applies UNSUPPORTED parameter feature_weights,YES,COUNTED
26,a non-validatable target omitted from the 100-row result artifact,APPLIED,run35.fault26.every_target_present,RED,YES,FAIL  run35.fault26.every_target_present: run35_empirical_validation_results.csv has 99 rows; run35_empirical_validation_results.csv misses ['C1.7'],YES,COUNTED
27,NOT_APPLICABLE rewritten as PASS,APPLIED,run35.fault27.not_applicable_is_not_a_pass,RED,YES,FAIL  run35.fault27.not_applicable_is_not_a_pass: B3.4 has no applicable metric yet verdict PASS,YES,COUNTED
28,an operational disposition with no evidence or rationale,APPLIED,run35.fault28.every_disposition_has_evidence,RED,YES,FAIL  run35.fault28.every_disposition_has_evidence: A2.5 has no substantive rationale,YES,COUNTED
29,an archived or disabled target deleted from the registry,APPLIED,run35.fault29.nothing_deleted_from_history,RED,YES,"FAIL  run35.fault29.nothing_deleted_from_history: B2.9 is gone from the registry; the registry holds 100 modules, not 101",YES,COUNTED
