row_type,module,parameter,classification,applied,calibration_state,empirical_validation_state,allowed_under_policy,provenance
PARAMETER,A1.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A1.10,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A1.11,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A1.2,"the reference shift, the decision interval and the floor under the standard deviation of a two-sided cumulative sum",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The cumulative sum chart is a real method and the arithmetic here performs it. Its reference shift and decision interval are chosen to meet a target run length under an assumed shift size, and neither the target nor the "
PARAMETER,A1.3,the prior and observation variances of a normal-normal update,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,The updating rule is correct and the variances are constants written into the file. A Bayesian model's variances encode how much the prior and the observation are each to be believed; fixed ones assert a belief that was 
PARAMETER,A1.4,"the process and observation noise of a scalar Kalman recursion, and a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The recursion is correct. Its two noise terms determine the gain and therefore the entire filtering behaviour, and both are fixed constants rather than estimated from the series. No filtering performance is claimed and n"
PARAMETER,A1.5,"the clamp on the autoregressive coefficient, and a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The coefficient is estimated from the series, which is the one estimated quantity in the module, but the clamp that bounds it and the ladder that bands the projection are chosen. No order was identified and no interval i"
PARAMETER,A1.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A1.7,two band boundaries on the to-complete cost efficiency index,PUBLISHED_METHOD_PARAMETER,YES,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"One boundary is definitional and one is applied by stated inference. Project Management Institute, A Guide to the Project Management Body of Knowledge, 6th edition, 2017, section 7.4.2.2, and PMI Practice Standard for Ea"
PARAMETER,A1.8,"two band boundaries on the variance at completion, as a percentage",PUBLISHED_METHOD_PARAMETER,YES,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"Zero is definitional under Project Management Institute, A Guide to the Project Management Body of Knowledge, 6th edition, 2017, section 7.4.2.2. Minus 11.11 per cent is the exact restatement of a cost performance index "
PARAMETER,A1.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.10,"an uplift multiplier, a floor under the index shortfall, and a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The multiplier 1.28 is close to the standard normal deviate at the NINETIETH percentile, 1.2816, and not at the eightieth, which is 0.8416. Under the name this module used to carry the number was therefore wrong as well "
PARAMETER,A2.11,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.8,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A2.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.6,"an uplift multiplier, a floor under the index shortfall, and a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The multiplier 1.28 is close to the standard normal deviate at the NINETIETH percentile, 1.2816, and not at the eightieth, which is 0.8416. Under the name this module used to carry the number was therefore wrong as well "
PARAMETER,A3.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.8,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A3.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A4.10,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A4.2,"a per week request rate, an overdue share ladder and two count caps",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A4.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A4.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A4.5,a lost days over available float ladder,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A4.6,a joint ladder over a raw count and a contract growth percentage,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A4.7,"three weights on a capped request count, a capped change order count and the document risk score, plus two caps and a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The weights are an ad hoc split with no source. No publication, specification or owner policy in this repository fixes them, and no data exists from which they could be estimated."
PARAMETER,A4.8,"a weight on a precomputed score, with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The weights are an ad hoc split with no source. No publication, specification or owner policy in this repository fixes them, and no data exists from which they could be estimated."
PARAMETER,A4.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
