module,parameter,current_classification,currently_applied,output_affected,empirical_validation_interpretable,operational_consequence,disposition
A1.1,a four band ladder over the quantity the module reports,UNSUPPORTED,YES,YES,NO - a measured error would be attributable to the uncalibrated value,band/status colour emitted on the governed corpus,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.2,"the reference shift, the decision interval and the floor under the standard deviation of a two-sided cumulative sum",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.3,the prior and observation variances of a normal-normal update,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.4,"the process and observation noise of a scalar Kalman recursion, and a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.5,"the clamp on the autoregressive coefficient, and a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.10,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A1.11,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.8,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.10,"an uplift multiplier, a floor under the index shortfall, and a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A2.11,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.6,"an uplift multiplier, a floor under the index shortfall, and a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.8,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A3.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.2,"a per week request rate, an overdue share ladder and two count caps",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
