fault,target,mutation,applied,confirmed_applied,guard,intended_red,crash_accepted_as_red,restored_green,result
1,PH.1 production route (documents.run_and_store),production's only portfolio call site is repointed at the retired v20 distance-proxy implementation,YES,YES,"portfolio_health.assert_not_reachable, read from the LIVE call-site source",YES,NO,YES,PASS
2,PH.1 canonical_v8.isolation_forest,"the ENSEMBLE is removed: a single tree replaces the hundred the published default grows, so E[h(x)] is one draw rather than an expectation",YES,YES,"PH.1 reports the published ensemble size, and E[h(x)] is an expectation over it",YES,NO,YES,PASS
3,PH.1 isolation_forest.c_factor,c(n) drops the -2(n-1)/n term of the published closed form,YES,YES,"the reported normaliser is c(psi) = 2H(psi-1) - 2(psi-1)/psi, recomputed here from the published closed form and not read back from the module",YES,NO,YES,PASS
4,PH.1 isolation_forest._path_length,"the external-node adjustment c(size) is dropped, so a node holding several points is treated as if it had isolated one",YES,YES,"at least one project's mean path length exceeds the tree height limit, which is only possible when the external-node adjustment is being added",YES,NO,YES,PASS
5,PH.1 canonical_v8.isolation_forest,every project is scored by its OWN forest fitted on the other projects -- the v20 behaviour section 6 forbids -- so the scores displayed together are on different scales,YES,YES,"every score reported together IS the score ONE forest fitted on the whole cohort produces, recomputed independently in the probe from the reported model metadata",YES,NO,YES,PASS
6,PH.1 isolation_forest.IsolationForest,"the ensemble stops being seeded: the declared seed is recorded on the model but the trees are drawn from an unseeded generator, so the same cohort returns different scores",YES,YES,two independent computations of the same cohort return IDENTICAL scores,YES,NO,YES,PASS
7,PH.1 degenerate cohort,the governed cohort is reduced to a single project,YES,YES,a cohort with fewer than two eligible members abstains under an explicit INSUFFICIENT_COHORT disposition and emits no anomaly score or flag for any project,YES,NO,YES,PASS
8,PH.1 canonical_v8.isolation_forest,"the anomaly score is contaminated by the RAW FEATURE MAGNITUDE, so the reading depends on the units the features happen to be recorded in",YES,YES,the most anomalous project is UNCHANGED under the declared affine rescaling x -> 1000x + 7,YES,NO,YES,PASS
9,PH.2 canonical_v8.portfolio_outlier,"PH.2 declares itself a learned machine-learning model, which it is not: nothing is trained and no parameter is estimated from data",YES,YES,"PH.2 declares is_learned_model false and is_probability_of_failure false, and its method note says nothing is trained or fitted",YES,NO,YES,PASS
10,PH.2 canonical_v8._midrank,"the midrank is replaced by a POSITIONAL rank, so a tied project's percentile depends on where in the cohort its record happened to arrive",YES,YES,"the two tied projects receive the SAME midrank, and every project's midrank is identical whichever order the records arrive in",YES,NO,YES,PASS
11,PH.2 missing required feature,a required governed feature is removed from one project,YES,YES,PH.2 ABSTAINS on a missing required feature: the feature is not silently dropped and the remaining features are not renormalised over a smaller set,YES,NO,YES,PASS
12,PH.3 canonical_v8.ols_slope,"the OLS fit is replaced by the endpoint change divided by the NUMBER OF OBSERVATIONS -- three observations contain two intervals, and this divides the same rise by three",YES,YES,"the slope on t=[0,1,2], x=[1.0,0.9,0.8] is exactly -1/10, computed here from the supplied oracle and not read back from the module",YES,NO,YES,PASS
13,PH.3 reporting time,the actual reporting dates are replaced by list position,YES,YES,"the fitted slope is the slope over the ACTUAL reporting interval: 2026-01-01, 01-08 and 03-01 are 0, 7 and 59 days apart, and the slope per day differs from the slope over positions 0, 1, 2",YES,NO,YES,PASS
14,PH.3 signal identity,one observation is given a different stable signal identity,YES,YES,two different signals are never fitted as one trajectory: the history is refused rather than blended,YES,NO,YES,PASS
15,PH.4 canonical_v8.cross_project_pattern,"the project itself is left in its own peer set, so every project's nearest neighbour is itself at distance 0 and similarity 1",YES,YES,no project appears in its own neighbour set or its own distance table,YES,NO,YES,PASS
16,PH.4 canonical_v8.cross_project_pattern,the unvalidated 0.15 match radius from v20 is reinstated as an operational threshold,YES,YES,PH.4 applies NO match threshold and reports the continuous relationship instead,YES,NO,YES,PASS
17,PH.4 canonical_v8.cross_project_pattern,matching a peer is turned into an adverse status: a status colour is emitted from the existence of a nearest neighbour,YES,YES,PH.4 emits no status colour and declares that similarity is not failure,YES,NO,YES,PASS
18,PH.4 canonical_v8.cross_project_pattern,"the declared tie rule is dropped: instead of all tied neighbours in ascending project-id order, the FIRST tied neighbour in arrival order is returned",YES,YES,every pairwise distance and every nearest-neighbour set is identical whichever order the records arrive in,YES,NO,YES,PASS
19,PH.5 canonical_v8.anomaly_profile,a constant 0.5 placeholder is reinstated as the composite score and the confidence -- the v20 defect that pulled every project's composite toward the middle,YES,YES,"every project profile carries score None and confidence None, and the only number on a profile is its evidence-body count",YES,NO,YES,PASS
20,PH.5 canonical_v8.compute_portfolio_health,"PH.1's own ensemble size is made to depend on whether a PH.3 history exists, so a missing constituent silently changes the value of a constituent that is present",YES,YES,"a missing PH.3 constituent leaves PH.1, PH.2 and PH.4 BYTE-IDENTICAL, names D1.3 as a missing constituent, and renormalises nothing because there are no weights to renormalise",YES,NO,YES,PASS
21,PH.5 canonical_v8.anomaly_profile,"the evidence-body count is replaced by a count of CONSTITUENTS, so the same result offered twice under two module ids reads as two supporting observations",YES,YES,"duplicate lineage does not raise confidence: the distinct-evidence-body count is unchanged, confidence stays null and corroboration stays false",YES,NO,YES,PASS
22,PH.5 canonical_v8.anomaly_profile,"a scalar composite and a weight set are emitted although no governed normalisation, transformation, weight set, missingness policy or calibration objective exists",YES,YES,"PH.5 emits no scalar and no weights, and its disposition is PARAMETER_PROVENANCE_BLOCKED",YES,NO,YES,PASS
23,the governance boundary (documents.run_and_store),"the portfolio readings are merged into `module_results`, the field Project Status, the category rollups, fusion and the vote all read",YES,YES,"the portfolio snapshot is stored ONLY on its own column, `module_results` comes from the project run alone, and no D1 identity is in the two-module voting set",YES,NO,YES,PASS
24,the cohort comparability guard,"the mixed-reporting-period check is disabled, so records from two different periods enter one comparison as though the portfolio had been observed at one moment",YES,YES,a cohort whose members do not share ONE period and ONE feature schema is refused: both halves of the comparability boundary are exercised in the same probe,YES,NO,YES,PASS
25,the Category-9 qualification boundary,"the Category-9 eligibility gate is removed, so UNASSESSED evidence enters the cohort and is analysed as though it had been assessed",YES,YES,"an UNASSESSED record is excluded from the cohort, is named in the excluded set with its reason, and never becomes an analysed member",YES,NO,YES,PASS
TOTALS,-,-,25,-,-,25,0,25,PASS
