canonical_id,current_registered_name,name_run27_recorded,approved_v3_name,run27_scientific_disposition,run27_primary_remediation,run27_secondary_remediation,data_requirement,method_requirement,cal_requirement,validate_requirement,lineage_requirement,v3_structure_key,existing_evidence,run28_objective,post_run28_disposition,declared_lineage_bodies,voting,operationally_disabled,remaining_work_and_run
A1.1,Monte Carlo EAC,Monte Carlo EAC,,METHOD_PASS_CALIBRATION_PENDING,DATA,LINEAGE CAL VALIDATE,cost-driver input distributions with a declared family and parameters (the module samples designed distributions rather than elicited or fitted ones); the elicitation or fitting record behind each distribution; the dependence structure between drivers; and a convergence criterion tied to the reported percentile,"Cost Driver Distribution Set (driver id, distribution family, parameters, source of the parameters, correlation matrix between drivers)","a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,costDriverDistributions,the PCEIF stochastic model is retained; a declared cost-driver distribution set is now readable and its Beta-PERT moments are hand-checked against the contract's own lambda-4 oracle,CANONICAL_RETAINED_CALIBRATION_PENDING,CANONICAL_RETAINED_CALIBRATION_PENDING,DOCUMENT_EVIDENCE; EARNED_VALUE_MEASUREMENT,no,no,Run 33: band calibration and the elicitation record behind each distribution
A1.2,CUSUM Anomaly Monitor,CUSUM Anomaly Monitor,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE,"an in-control reference period declared as such; an estimate of the process standard deviation from that period rather than a floored constant; the shift size the chart is designed to detect; and the average-run-length target the pair (k, H) is chosen to meet","Control Chart Design Record (series id, in-control window, sigma estimate and its n, target shift, k, H, resulting in-control and out-of-control ARL)","the reference shift, the decision interval and the floor under the standard deviation of a two-sided cumulative sum [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,,"the two-sided tabular CUSUM is unchanged; the contract freezes k = 0.5 sigma and h = 5 sigma and forbids retuning them in this run, and a control chart design record is now readable for provenance",CANONICAL_FROZEN_DESIGN,CANONICAL_FROZEN_DESIGN,EARNED_VALUE_MEASUREMENT; REPORTING_HISTORY,no,no,"Run 33: the in-control window, the sigma estimate and the average-run-length target behind the frozen design"
A1.3,Bayesian EAC,Bayesian EAC,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE,a prior distribution with its source (currently a designed constant variance); a likelihood whose variance is estimated from observed reporting error rather than designed; and the observation series the update runs over,"Bayesian Model Record (prior family and parameters with source, likelihood variance and the residual series it was estimated from, posterior summary and credible interval)","the prior and observation variances of a normal-normal update [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as SAME_SOURCE_TRANSFORM; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,bayesianEacModel,"a governed Bayesian model record: a prior with its source, an observation model with the basis its variance was estimated from",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,BAYESIAN_MODEL_RECORD,no,no,Run 33: field calibration of the prior and observation variances. Run 31: the Category-9 qualification of the record's own provenance
A1.4,Kalman Filter SPI Smoother,Kalman Filter SPI Smoother,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE,an estimate of measurement noise R from repeated readings of the same period (the disagreement between documents reporting one period); an estimate of process noise Q from the period-to-period movement of the index; and a history long enough for both,"Filter Noise Estimation Record (series id, R estimate with the repeated-reading pairs it came from, Q estimate with the differenced series, filtered state and variance)","the process and observation noise of a scalar Kalman recursion, and a band ladder [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,kalmanStateSpaceModel,"a governed state-space record: the readings, the starting estimate and its uncertainty, and the process and measurement variances with the source of each",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,STATE_SPACE_MODEL_RECORD,no,no,Run 33: Q and R calibration. Run 27 established the measurement variance IS estimable from repeated readings of one period; assembling that estimate into the record from the corpus is corpus work this run did not do
A1.5,ARIMA CPI Forecast,ARIMA CPI Forecast,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,a reported cost-index series long enough to identify an order (the platform currently fits one autoregressive coefficient at a fixed lag with no order search); the stationarity test result; residual autocorrelation diagnostics; and the residual variance the prediction interval is built from,"Reporting History Series (per period: period id, data date, cpi, spi, ev, ac, pv, bac, percent complete, source document version)","the clamp on the autoregressive coefficient, and a band ladder [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,,"the cost performance history already assembled by documents.py, now identified as an ARIMA(p,d,q) by AICc with residual diagnostics and a prediction interval",CANONICAL_IMPLEMENTED_HISTORY_REQUIRED,CANONICAL_IMPLEMENTED_HISTORY_REQUIRED,EARNED_VALUE_MEASUREMENT; REPORTING_HISTORY,no,no,Run 33: nothing calibratable remains in the identification itself; the minimum history of eight readings is a stated design choice a later run may revisit
A1.6,Earned Schedule,Earned Schedule,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,a time-phased planned value curve: period start and end; the planned value planned to be earned in that period; the cumulative planned value at each period end; the budget at completion the curve integrates to; the baseline id and baseline approval date the curve belongs to; the units and currency,Time-Phased Baseline Curve,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,timePhasedBaseline,"a governed time-phased baseline: the cumulative planned value at the end of each period, with its baseline version and approval source",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,corpus: the cumulative PV curve is not extracted from any document type today
A1.7,TCPI,TCPI,,SCIENTIFIC_PASS,,,,,,,,,"untouched: arithmetic, bands, citations and vote are byte-identical",SCIENTIFIC_PASS_PROTECTED,SCIENTIFIC_PASS_PROTECTED,EARNED_VALUE_MEASUREMENT,yes,no,nothing
A1.8,Variance at Completion,Variance at Completion,,SCIENTIFIC_PASS,,,,,,,,,"untouched: arithmetic, bands, citations and vote are byte-identical",SCIENTIFIC_PASS_PROTECTED,SCIENTIFIC_PASS_PROTECTED,EARNED_VALUE_MEASUREMENT,yes,no,nothing
A1.9,Budget Execution Rate,Budget Execution Rate,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,"the reference distribution the ratio would be tested against, which requires a population of expenditure-versus-progress observations across projects and periods",Portfolio Reporting History (the Reporting History Series pooled across projects),"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,expenditureBaseline,"an approved time-phased expenditure baseline, read at the governed status period",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,corpus: no document type carries an approved expenditure profile today. The contract supplies no status bands for this indicator at all
A1.10,CPI Shrinkage Forecast,Regression to Mean CPI,CPI Shrinkage Forecast,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,a governed reference population of projects with their cost indices; the within-project and between-project variance components estimated from it; and the resulting shrinkage weight (the platform uses a fixed one half toward the project's own history),"Portfolio Reference Cohort (project id, cohort membership criteria, per-period cost index, cohort mean and variance components, vintage)","a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,cpiReferenceClass,"a governed reference population with its membership basis, the weight estimation method and the data vintage; a weight declared fixed is refused",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,Run 33: final empirical weight calibration
