module,operational_state,source_known,source,lineage_status,evidence_body,independence_established,qualification_status,current_result_or_disposition,run31_action_required,pass_fail
B2.1,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified,NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.2,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified,NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.3,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified,NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.4,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified,NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.5,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified,NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.6,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified,NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.7,DISABLED_UNSAFE,no,(none: produces no reading),LINEAGE_NOT_APPLICABLE,(none established),no,unqualified,DISABLED,E. disabled or archived: no evidence and no qualification question. Run 31 excludes it rather than qualifying it,PASS
B2.8,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified,NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.9,DISABLED_UNSAFE,no,(none: produces no reading),LINEAGE_NOT_APPLICABLE,(none established),no,unqualified,ARCHIVED,E. disabled or archived: no evidence and no qualification question. Run 31 excludes it rather than qualifying it,PASS
B2.10,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.11,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.12,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.13,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.14,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.15,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.16,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.17,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.18,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.19,"ADVISORY_ONLY, non-voting",no,(none: no structure was supplied),LINEAGE_UNRESOLVED,(none established),no,unqualified (Category-9 gate is Run 31's),NOT_ESTIMABLE_STRUCTURE_ABSENT,"D. no evidence this period: the module abstained for want of its defining structure, so there is nothing to qualify until one is supplied. AND C. lineage unresolved: lineage is unresolved independently of that, so supplying the structure alone would not establish independence",PASS
B2.20,DISABLED_UNSAFE,no,(none: produces no reading),LINEAGE_NOT_APPLICABLE,(none established),no,unqualified (Category-9 gate is Run 31's),DISABLED,E. disabled or archived: no evidence and no qualification question. Run 31 excludes it rather than qualifying it,PASS
