module_id,fault,file_mutated,bytes_changed,test_turned_red,red_test_name,restored,notes
7.10,"Pythagorean document-risk adjustment direction reversed, so worse document evidence raises membership and lowers non-membership",app/simulation/models_fuzzy.py,5,YES,- [7.10] admissibility: the constraint holds across the input range,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 225/227 checks passed; production tree hash unchanged across the campaign
7.16,fuzzy admissibility violation: the spherical hesitancy inflated so the triple leaves the unit ball,app/simulation/models_fuzzy.py,9705,YES,"- [7.16] admissibility: the reported triple satisfies the spherical constraint -- (0.56, 0.37, 0.99)",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 224/227 checks passed; production tree hash unchanged across the campaign
7.17,Fermatean hesitancy exponent changed from a cube root to a square root,app/simulation/models_fuzzy.py,1,YES,"- [7.17] known-answer: the reported hesitancy is the cube root of one less the two cubes, as the formalism defines it",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign
7.1,"Dempster ignorance treated as conflict: the reliability discount stops returning the freed mass to the frame, so discounting destroys mass instead of moving it to ignorance",tools/run17/oracle/oracles_cat_7.py,24132,YES,"- [ORACLE] oracles_cat_7 reproduces the specification's worked answers before it is allowed to judge anything -- Category 7 oracle does not reproduce the specification: 7.1 discounted mass on the frame: got 0.2, specification says 0.7; 7.1 a discounted mass still sums to one: got 0.5, specification ",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign
7.2,rough set lower approximation admits classes not fully contained in the target set,tools/run17/oracle/oracles_cat_7.py,22555,YES,"- [ORACLE] oracles_cat_7 reproduces the specification's worked answers before it is allowed to judge anything -- Category 7 oracle does not reproduce the specification: 7.2 lower approximation: got {1, 2, 3, 4}, specification says {3,4}; 7.2 boundary region: got set(), specification says {1,2}",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign
7.2,"rough set supermajority boundary raised beyond one, so no state can ever enter the lower approximation",app/simulation/models_evc.py,18120,YES,- [7.2] known-answer: four unanimous Red signals give a definite classification with an empty boundary,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign
7.8,"belief rule base no-rule fallback restored, so an unactivated rule base still concludes",app/simulation/models_evc.py,4614,YES,"- [7.8] a rule base in which no rule activates abstains, rather than a fallback rule supplying a near-uniform belief mass and a colour drawn from it -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign
7.19,"the single-project CRITIC-TOPSIS fallback restored, so one project is treated as a set of alternatives",app/simulation/models_fuzzy.py,2711,YES,"- [7.19] with no decision matrix the module abstains, rather than falling back to the spread of one project's own three criteria where a criterion equal to their mean carries a weight of exactly zero and drops out of its own decision -- proposition FAILED and is not in the Run-19 register. An unreco",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 225/227 checks passed; production tree hash unchanged across the campaign
7.14,"entropy normalisation inverted, so the reported entropy leaves nought to one",app/simulation/models_fuzzy.py,1,YES,"- [7.14] known-answer: the reported entropy is the Shannon entropy of the reported distribution, normalised by the entropy of the uniform one",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 225/227 checks passed; production tree hash unchanged across the campaign
7.13,"type-2 footprint bounds swapped, so the lower membership exceeds the upper",app/simulation/models_fuzzy.py,6,YES,"- [7.13] admissibility: the reported footprint has its lower membership at or below its upper, both inside nought to one -- (0.48, 0.46)",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 224/227 checks passed; production tree hash unchanged across the campaign
7.15,"possibility and necessity ordering inverted, so necessity exceeds possibility",app/simulation/models_fuzzy.py,4,YES,- [7.15] invariant: necessity never exceeds possibility on any state,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign
7.18,"MARCOS anti-ideal reference inflated eightfold, so the utility degrees no longer measure distance from the worst option and the score loses its monotonicity in the criteria",app/simulation/models_fuzzy.py,6365,YES,"- [7.18] the two utility degrees are the weighted sum measured against the ideal and against the anti-ideal SEPARATELY, rather than a number and its complement, which collapsed the score and made the top two bands unreachable from any input -- proposition FAILED and is not in the Run-19 register. An",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign
