key,present_in_reconciliation,classification,current_action,evidence,result
Analogous_Estimating,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure analogEstimate), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Bayesian_EAC,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure bayesianEacModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Budget_Execution_Rate,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure expenditureBaseline), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
CO_Frequency,YES,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure changeEventRegister), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
CUSUM,YES,CURRENT_REQUIRED,KEEP. The module has no canonical layer and still computes the proxy the qualifier describes; the server holds it and the client key already matches the current method class.,pre-change occurrence count 1; reconciliation row count 1,PASS
Constraint_Satisfaction,YES,WITHDRAWN,"REMOVE from the client map. Run 32 repointed this module onto its canonical method (layer v7, governed structure constraintSatisfactionProblem), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists. THE SERVER ENTRY IS ALSO STALE and is removed from registry.PROXY_QUALIFIERS: it survived the remediation that withdrew the method it describes.",pre-change occurrence count 1; reconciliation row count 1,PASS
Dispute_Escalation,YES,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure claimDisputeRegister), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Fermatean_Fuzzy,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure fermateanFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Hesitant_Fuzzy,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure hesitantFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Inflation_Adjustment,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure externalCostIndex), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
