module_id,module_name,run8_bucket,asset_complete,importer_required,adapter_required,schema_or_model_required,module_code_file_that_would_change,test_files_required,known_answer_fixture,abstention_behaviour_when_object_absent,production_synthetic_separation_control,voting_state_after_integration,participant_surface_effect,blocking_issue
A1.1,Monte Carlo EAC,3,yes,"cost_uncertainty importer: risk register with three-point impacts, cost elements, correlation matrix",cost uncertainty adapter mapping the register onto the Beta-PERT spread the module now derives from two indices,"SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models_sim.py,server/tools/test_synthetic_a1_1_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only","The package module asset map has no row for this module. It maps these same files to Cost Risk Analysis P80 only. The structure Run 8 asked for as CORPUS_A1_cost_uncertainty is present under different file names, so the gap is in the map, not in the data."
A2.2,Line of Balance,3,yes,"line_of_balance importer: locations in sequence, crews, quantities, planned and actual rates","production-rate adapter replacing the literal unit count, rates and buffer","SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models.py,server/tools/test_synthetic_a2_2_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only",None. This is the defining canonical structure and the ground truth carries the leading and following rates and the catch-up location.
A2.3,CCPM Buffer Health,3,partial,"critical_chain importer: chains, project and feeding buffers, buffer consumption by period",buffer adapter replacing the schedule-index-derived buffer with a sized chain buffer,"SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models.py,server/tools/test_synthetic_a2_3_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only","Two gaps. Buffers carry chain_id but activities carry only a boolean critical_chain_flag and no chain_id, so a buffer cannot be traced to the activities of its chain. Project buffers are a flat fifteen per cent of baseline (SYNTHETIC_15_PERCENT_BASELINE) rather than sized from activity estimates, which is what Run 8's spec required."
A4.4,NCR Rate,3,no,"quality_audit importer: NOT WRITABLE, the corpus does not exist",none writable,none writable,server/app/simulation/models_doc.py,none writable,none available,abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only","Missing outright. Run 8 required CORPUS_A4_quality_audit with quality_audits.csv and audit_findings.csv. Package A category 4 is Document and Risk Signals (weather, disputes, specification conflicts) and does not include the quality audit cohort."
A5.6,Queueing Theory Bottleneck,3,yes,"queue importer: arrival, service start and end, server, discipline",queue adapter replacing the look-ahead share with arrival and service statistics,"SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models_doc.py,server/tools/test_synthetic_a5_6_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only","None. Arrivals, service, capacity by server count and discipline are all present. Mean wait reproduced independently from the event log against the stored ground truth for all six queues."
A5.7,Agent-Based Supply Chain,3,partial,agent importer: agent roster and per-step state history,agent adapter replacing the procurement-log share with a service level from the state history,"SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models_doc.py,server/tools/test_synthetic_a5_7_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only","Agents carry decision_rule_id but no table defines the rules. Run 8's spec required interaction_rules.csv. Agents, states, interactions and time are present; the rules are referenced by identifier only, so the interaction logic cannot be reconstructed from the package."
A6.3,Environmental Compliance Rate,3,no,"environmental_audit importer: NOT WRITABLE, the corpus does not exist",none writable,none writable,server/app/simulation/models_doc.py,none writable,none available,abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only","Missing outright. Run 8 required CORPUS_A6_environmental_audit with environmental_permits.csv, permit_conditions.csv and compliance_assessments.csv. Package A has no category 6 assets at all."
A5.4,Scenario Modeling,4,yes,"decision_problem importer: actions, scenarios with probabilities, action-by-scenario outcomes",scenario adapter replacing the three divisors with governed scenarios and probabilities,"SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models_doc.py,server/tools/test_synthetic_a5_4_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only",The package asset map does not carry a row for this module by Run 8's identifier; it maps the same objects to the what-if scenario matrix and regret modules. The structure Run 8 asked for as DATASET_B1_scenario_payoff is present. Every action-by-scenario cell is populated and every scenario probability set sums to one.
B2.19,CRITIC-TOPSIS,4,yes,alternatives_matrix importer: alternatives by criteria with directions and weights,multi-alternative adapter so CRITIC weights are computed across alternatives rather than across one project's criteria,"SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models_fuzzy.py,server/tools/test_synthetic_b2_19_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",non-voting on integration; becoming voting is a separate owner decision,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only","None for the structure. Note that this fixture supplies more than one alternative, which is exactly what Run 8 identified as missing; it therefore exercises the degenerate single-alternative weighting Run 8 found but does not by itself fix it."
A3.1,Reference Class Forecasting,5,yes,"reference_class importer: comparable population, membership rule, realised outcomes","reference class adapter, gated behind the disabled flag","SyntheticFixture read-only model in a research schema, never in the operational database",server/app/simulation/models.py,server/tools/test_synthetic_a3_1_known_answer.py plus an abstention test,"the package ground-truth rows for this module, each proved able to fail by perturbing the expected value",abstains with the existing reason code when the synthetic object is absent; the absence of a fixture must never be read as a healthy project,"the fixture is loaded only by test-only importers from research_fixtures/; no synthetic row may reach an operational or participant database, and DATABASE_URL is never pointed at production for this work",stays DISABLED and non-voting; a fixture does not authorise activation,"none; the participant does not see the remediation and qualifiers live in the export, the API and the methods documentation only",None for the structure. The module is disabled and abstains unconditionally after Run 7. A fixture does not authorise activation.
