module_id,authoritative_current_name,category,canonical_structure_implemented,canonical_method_rule_implemented,production_route_canonical,production_supply_path,real_corpus_populated,orphan_fields_wired,qualification_integrated,regulatory_version_present,oracle_pass,missingness_invalidity_pass,lineage_pass,operational_result,result_reason,calibration_pending,empirical_validation_pending,legacy_route_reachable,current_activation,voting,final_run31_disposition,remaining_run32_33_work,simulation_version
A6.1,Quality Compliance Index,Category 8,YES,YES,YES,YES,YES,YES,YES,FAR-46.2,YES,YES,YES,COMPUTES,"the project's Quality Audit evidence is recorded below, but it establishes no applicable, assessed and satisfied requirement population, so no complia",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, COMPUTES ON REAL CORPUS",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
A6.2,Safety Performance Index,Category 8,YES,YES,YES,YES,YES,YES,YES,OSHA-INCIDENCE-RATE,YES,YES,YES,COMPUTES,"recordable incidence rate 3.0 per 200,000 employee hours",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, COMPUTES ON REAL CORPUS",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
A6.3,Environmental Compliance Rate,Category 8,YES,YES,YES,YES,YES,YES,YES,EPA-CGP-2022-MODIFIED,YES,YES,YES,COMPUTES,"the jurisdiction and permitting authority for this site are not established, so environmental conformance is not assessed",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, COMPUTES ON REAL CORPUS",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
A6.4,Contractor Performance Assessment Signal,Category 8,YES,YES,YES,YES,NO,N/A,YES,FAR-42.15,YES,YES,YES,ABSTAINS,"Awaiting a governed contractor assessment record. This measure is named for a method that cannot be carried out without it, so no reading is reported ",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
B3.1,Agent-Based Governance Model,Category 8,YES,YES,YES,YES,NO,N/A,YES,N/A (no regulatory rule for this measure),YES,YES,YES,ABSTAINS,"Awaiting a governed agent, authority-matrix and interaction structure. This measure is named for a method that cannot be carried out without it, so no",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
B3.2,FAR/Agency EVMS Applicability Monitor,Category 8,YES,YES,YES,YES,NO,N/A,YES,FAR-52.234-4,YES,YES,YES,ABSTAINS,"Awaiting governed acquisition, agency and clause applicability evidence. This measure is named for a method that cannot be carried out without it, so ",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
B3.3,Versioned A-11 Capital Programming Conformance Check,Category 8,YES,YES,YES,YES,NO,N/A,YES,OMB-A11-CAPITAL-PROGRAMMING,YES,YES,YES,ABSTAINS,"Awaiting a configured A-11 rule register. This measure is named for a method that cannot be carried out without it, so no reading is reported and no o",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
B3.4,EVMS Reporting Compliance Monitor,Category 8,YES,YES,YES,YES,NO,N/A,YES,FAR-52.234-4,YES,YES,YES,ABSTAINS,"Awaiting a governed EVMS reporting record. This measure is named for a method that cannot be carried out without it, so no reading is reported and no ",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
B3.5,Contract Modification Governance Check,Category 8,YES,YES,YES,YES,NO,N/A,YES,FAR-43.301,YES,YES,YES,ABSTAINS,"Awaiting a governed contract modification register. This measure is named for a method that cannot be carried out without it, so no reading is reporte",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration and empirical validation. Run 32: none.,sim-2026.08-v19
C1.1,Missing Data Index,Category 9,YES,YES,YES,YES,NO,N/A,YES,N/A (no regulatory rule for this measure),YES,YES,YES,ABSTAINS,"Awaiting the required-input contract for the module or use being assessed. This measure is named for a method that cannot be carried out without it, s",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration of any band for this measure; empirical validation. Run 32: none.,sim-2026.08-v19
C1.2,Data Timeliness Score,Category 9,YES,YES,YES,YES,NO,N/A,YES,N/A (no regulatory rule for this measure),YES,YES,YES,ABSTAINS,"Awaiting a governed evidence date and freshness rule. This measure is named for a method that cannot be carried out without it, so no reading is repor",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration of any band for this measure; empirical validation. Run 32: none.,sim-2026.08-v19
C1.3,Source Reliability Weighting,Category 9,YES,YES,YES,YES,NO,N/A,YES,N/A (no regulatory rule for this measure),YES,YES,YES,ABSTAINS,"Awaiting a governed source provenance record. This measure is named for a method that cannot be carried out without it, so no reading is reported and ",YES,YES,NO,ACTIVE,NO,"CANONICAL, OPERATIONAL, CORRECTLY ABSTAINS FOR WANT OF GOVERNED EVIDENCE",Run 33: calibration of any band for this measure; empirical validation. Run 32: none.,sim-2026.08-v19
