module_id,fault,file_mutated,bytes_changed,test_turned_red,red_test_name,restored,notes,category_file
10.2,wrong LP optimum: feasibility tolerance widened so infeasible vertices are admitted,tools/run17/oracle/oracles_cat_10.py,6339,YES,"- [ORACLE] oracles_cat_10 reproduces the specification's worked answers before it is allowed to judge anything -- Category 10 oracle does not reproduce the specification: 10.2 optimum: got (0.0, 9.0), specification says (2, 6); 10.2 optimal value: got 45.0, specification says 36; 10.2 binding constr",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_10_faults.csv
10.6,dominated Pareto point admitted: the strictness requirement dropped from the dominance relation,tools/run17/oracle/oracles_cat_10.py,8133,YES,- [ORACLE] oracles_cat_10 reproduces the specification's worked answers before it is allowed to judge anything -- Category 10 oracle does not reproduce the specification: 10.6 duplicate points do not dominate each other and both stay on the frontier,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_10_faults.csv
10.7,"minimax regret turned into maximax regret, so the worst hedge is chosen",tools/run17/oracle/oracles_cat_10.py,2,YES,"- [ORACLE] oracles_cat_10 reproduces the specification's worked answers before it is allowed to judge anything -- Category 10 oracle does not reproduce the specification: 10.7 minimax regret choice: got C, specification says B",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_10_faults.csv
10.4,"what-if earned-value-exceeds-budget guard removed, so a position with no remaining work is forecast from",app/simulation/models_gov.py,7202,YES,"- [10.4] a zero or negative index, a non-positive budget, negative earned value or actual cost, and earned value exceeding the budget are each refused rather than forecast from -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 83/84 checks passed; production tree hash unchanged across the campaign,category_10_faults.csv
10.7,regret minimisation made to emit a fixed project-independent choice instead of abstaining,app/simulation/models_gov.py,1432,YES,"- [10.7] with no set of courses of action scored against defined future states the module abstains, which specification 10.7 states is the correct result -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 83/84 checks passed; production tree hash unchanged across the campaign,category_10_faults.csv
10.3,"constraint satisfaction boundary made exclusive, so a project exactly on a rule boundary fails it",app/simulation/models_gov.py,8910,YES,"- [10.3] boundary: exactly at a rule boundary the rule is satisfied, since the declared comparison is inclusive",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 83/84 checks passed; production tree hash unchanged across the campaign,category_10_faults.csv
2.3,buffer penetration denominator changed from the original buffer to what remains,app/simulation/canonical.py,17337,YES,"- [2.3] known-answer: production reports the same forty per cent penetration -- got 66.7, oracle 40.0, tol 0.051",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 146/148 checks passed; production tree hash unchanged across the campaign,category_2_faults.csv
2.11,critical path index operator swapped from mean to sum,app/simulation/models_ext.py,21259,YES,"- [2.11] structure: the declared index is the mean of progress ratio and the schedule index -- got 1.8, oracle 0.9, tol 1e-09",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 147/148 checks passed; production tree hash unchanged across the campaign,category_2_faults.csv
2.6,"S-curve domain guard on planned progress removed, restoring the out-of-domain banding",app/simulation/models_ext.py,33277,YES,- [2.6] invalid input: a planned progress below zero is refused rather than inflating the deviation upward into the calm end of the band,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 147/148 checks passed; production tree hash unchanged across the campaign,category_2_faults.csv
2.5,"negative consumed float guard removed, so the schedule may hand float back",app/simulation/models_ext.py,36982,YES,- [2.5] invalid input: float consumed below zero is not a quantity of float that can have been consumed and is refused rather than handing float back,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 147/148 checks passed; production tree hash unchanged across the campaign,category_2_faults.csv
2.2,line of balance separation minimum replaced by its maximum,app/simulation/canonical.py,2,YES,"- [2.2] known-answer: the minimum crew separation, from the two production lines -- got 4.0, oracle 2.0, tol 0.051",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 146/148 checks passed; production tree hash unchanged across the campaign,category_2_faults.csv
3.2,contingency consumed fraction denominator changed from the original amount to what remains,app/simulation/models_ext.py,19570,YES,"- [3.2] known-answer: production reports the same forty per cent consumed -- got 67, oracle 40, tol 0.5",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 114/117 checks passed; production tree hash unchanged across the campaign,category_3_faults.csv
3.6,"P80 uplift direction reversed, so the eightieth percentile falls below the point forecast",app/simulation/models_ext.py,1,YES,- [3.6] invariant: the P80 forecast is not below the point forecast it uplifts -- P80 1090 against point forecast 1250.0,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 115/117 checks passed; production tree hash unchanged across the campaign,category_3_faults.csv
3.5,progress requirement removed so the unscaled indirect plan is the denominator again,app/simulation/models_ext.py,10984,YES,"- [3.5] structure: the declared ratio is actual indirect cost over a progress-scaled plan -- got 0.6, oracle 1.2, tol 1e-09",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 114/117 checks passed; production tree hash unchanged across the campaign,category_3_faults.csv
3.9,"negative material cost domain guard removed, restoring the floor-to-green defect",app/simulation/models_ext.py,3292,YES,"- [3.9] invalid input: a negative material cost is refused rather than being floored to exactly nought escalation, which is the reading of a project with none",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 116/117 checks passed; production tree hash unchanged across the campaign,category_3_faults.csv
3.3,earned-hours rate numerator and denominator swapped,app/simulation/models_ext.py,29,YES,"- [3.3] structure: the declared earned-hours rate is progress times planned hours over actual hours -- got 1.25, oracle 0.8, tol 1e-09",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 115/117 checks passed; production tree hash unchanged across the campaign,category_3_faults.csv
4.2,"the request-log period default of thirty days restored, so an absent exposure is silently invented",app/simulation/models_doc.py,62179,YES,"- [4.2] an absent log period is required rather than replaced by thirty days, with the finding then stating a span the document never said -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 141/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
4.3,"the rejected-within-total guard removed, so a rate above one is banded",app/simulation/models_doc.py,58020,YES,"- [4.3] a rejected count outside the total is refused rather than producing a rate above one, which every band above the top boundary silently absorbs into the worst band -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 140/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
4.4,"the audited cohort requirement removed, restoring the backlog stock over one period's intake flow",app/simulation/models_doc.py,53172,YES,"- [4.4] the backlog is measured against an audited cohort rather than against one period's intake, which is a different set and unbounded above -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 140/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
