row_type,population,derived,expected,result,evidence
POPULATION,registered project modules,96,96,RECONCILED,derived from server/app/simulation/registry.load_registry() and DISABLED_EVIDENCE_UNDER_REVIEW; not transcribed from any report
POPULATION,project scientific targets,95,95,RECONCILED,derived from server/app/simulation/registry.load_registry() and DISABLED_EVIDENCE_UNDER_REVIEW; not transcribed from any report
POPULATION,Portfolio Health targets,5,5,RECONCILED,derived from server/app/simulation/registry.load_registry() and DISABLED_EVIDENCE_UNDER_REVIEW; not transcribed from any report
POPULATION,registered total,101,101,RECONCILED,derived from server/app/simulation/registry.load_registry() and DISABLED_EVIDENCE_UNDER_REVIEW; not transcribed from any report
POPULATION,scientific targets,100,100,RECONCILED,derived from server/app/simulation/registry.load_registry() and DISABLED_EVIDENCE_UNDER_REVIEW; not transcribed from any report
POPULATION_DISTINCTION,registry.VALIDATED (dispatched project modules),95,95,RECONCILED,"EXCLUDES A4.1 Document Risk Score, which is SUPPLIED rather than computed and IS a scientific target"
POPULATION_DISTINCTION,project scientific targets,95,95,RECONCILED,"EXCLUDES A3.4 Material Cost Variance, which is registered but DISABLED_EVIDENCE_UNDER_REVIEW and is NOT a scientific target. The two 95s are different sets and are not collapsed."
POPULATION_DISTINCTION,the two 95s intersected,94,94,RECONCILED,"94, because each excludes a module the other keeps: A4.1 supplied, A3.4 disabled under evidence review"
VOTING,voting population,2,2,RECONCILED,"registry.CORE_VOTING_MODULES = A1.7, A1.8"
DISABLED,disabled population (all),9,9,RECONCILED,8 concept-only plus A3.4 under evidence review
DISABLED,disabled INSIDE the 100 scientific targets,8,8,RECONCILED,A3.4 is the one disabled module outside the scientific population
ARCHIVED,archived population,1,1,RECONCILED,measured by executing every target and reading its own disposition: B2.9
SUPPLIED,supplied rather than computed,1,1,RECONCILED,not dispatched by the project runner and not a portfolio module: A4.1
COMPUTED,computed population inside the 100,94,94,RECONCILED,100 scientific targets minus 5 Portfolio Health minus 1 supplied
