fault,blocker_class,mutated_file,oracle,applied,oracle_verdict,oracle_failed_lines,restored_verdict,outcome
1,frozen identity mismatch,server/tools/test_run39_launch_gate.py,gate,APPLIED,RED,FAILED: identity: simulation   expected 'sim-2026.08-vXX' observed 'sim-2026.08-v25' | FAILED: identity drift = 0   ['simulation'],GREEN,RED_FOR_INTENDED_REASON
2,instrument/client behavior changed,assets/js/decision-ui.js,immut,APPLIED,RED,"FAILED: the production server application, the participant/client assets, the served page, the controlled stimuli, the frozen methodology specification and the participant sequence authority are all byte-identical to the freeze candidate   M	assets/js/decision-ui.js",GREEN,RED_FOR_INTENDED_REASON
3,controlled stimuli changed,research_fixtures/synthetic/OG-SYNTH-0.2/Opus_Gubernatio_Synthetic_Programme_v0.2/package_A_project_structures/projects.csv,immut,APPLIED,RED,"FAILED: the production server application, the participant/client assets, the served page, the controlled stimuli, the frozen methodology specification and the participant sequence authority are all byte-identical to the freeze candidate   M	research_fixtures/synthetic/OG-SYNTH-0",GREEN,RED_FOR_INTENDED_REASON
4,participant sequence changed,server/tools/test_run39_launch_gate.py,gate,APPLIED,RED,FAILED: A: AI reveal follows the preliminary lock x36   ,GREEN,RED_FOR_INTENDED_REASON
5,pilot data can enter MAIN_STUDY,server/tools/run39_dataset_class.py,gate,APPLIED,CRASH,,GREEN,CRASH_NOT_COUNTED_AS_RED
6,test data can enter MAIN_STUDY,server/tools/run39_dataset_class.py,gate,APPLIED,RED,FAILED: and is therefore not eligible for MAIN_STUDY    | FAILED: segregation: a PILOT account cannot create MAIN_STUDY rows   R39-PILOT-A classifies PILOT | FAILED: segregation: changing a display label cannot change dataset class   was PILOT; after relabelling to a main-study-l,GREEN,RED_FOR_INTENDED_REASON
7,MAIN_STUDY not at zero state before launch,research/study_execution/dataset_class_registry.csv,gate,APPLIED,RED,FAILED: segregation: a MAIN_STUDY account is not classified PILOT by accident   MAIN_STUDY registrations: 1 | FAILED: pilot/main segregation: every property holds    | FAILED: zero state: MAIN_STUDY registrations before launch   required 0 observed 1 | FAILED: zero state: MAIN_ST,GREEN,RED_FOR_INTENDED_REASON
8,direct identifiers appear in analysis export,server/tools/run38_analysis_export.py,gate,APPLIED,CRASH,,GREEN,CRASH_NOT_COUNTED_AS_RED
9,primary outcome cannot be reconstructed,server/tools/run38_analysis_export.py,gate,APPLIED,CRASH,,GREEN,CRASH_NOT_COUNTED_AS_RED
10,pilot export violates frozen schema,server/tools/run38_analysis_export.py,gate,APPLIED,RED,FAILED: identity: analysis export schema   expected 'og-analysis-2026.08-v1' observed 'og-analysis-2026.08-v2-UNAUTHORISED' | FAILED: identity drift = 0   ['analysis export schema'] | FAILED: schema is the frozen og-analysis-2026.08-v1   og-analysis-2026.08-v2-UNAUTHORISED,GREEN,RED_FOR_INTENDED_REASON
11,R cannot ingest frozen export,research/study_execution/run38_ingest_qualification.R,gate,APPLIED,RED,FAILED: R ingests the pilot export with no manual cleanup   rc=1  | FAILED: every R rehearsal check passes (RESULT: 34/35 checks passed)   ,GREEN,RED_FOR_INTENDED_REASON
12,participant/session isolation failure,server/tools/run39_dataset_class.py,gate,APPLIED,RED,FAILED: segregation: participant IDs can overlap syntactically without cross-class contamination   prefix-confusable codes classify independently | FAILED: pilot/main segregation: every property holds   ,GREEN,RED_FOR_INTENDED_REASON
13,preliminary-lock bypass,server/tools/test_run39_launch_gate.py,gate,APPLIED,RED,"FAILED: the preliminary judgment is PREVENTED at the database, not merely prohibited   {'pre_action': 'REFUSED_BY_TRIGGER', 'pre_confidence': 'REFUSED_BY_TRIGGER', 'final_action': 'ALLOWED', 'final_confidence': 'ALLOWED', 'disposition': 'ALLOWED', 'rationale': 'ALLOWED'}",GREEN,RED_FOR_INTENDED_REASON
14,final-lock application-path bypass,server/app/research_audit.py,gate,APPLIED,RED,"FAILED: the sole application writer of every participant response column is the guarded route   ['server/app/research_audit.py', 'server/app/research_decision.py']",GREEN,RED_FOR_INTENDED_REASON
15,AI visible before preliminary lock,server/tools/test_run39_launch_gate.py,gate,APPLIED,RED,FAILED: A: preliminary lock present x36   36,GREEN,RED_FOR_INTENDED_REASON
16,incomplete provenance/version identity,server/tools/run38_analysis_export.py,gate,APPLIED,CRASH,,GREEN,CRASH_NOT_COUNTED_AS_RED
17,actual browser sequence failure,code_audit/run39_pilot_browser_execution.csv,browser_artifact,APPLIED,RED,FAILED: browser step start / authentication,GREEN,RED_FOR_INTENDED_REASON
18,administrative procedure requires substantive answer modification,server/tools/test_run39_launch_gate.py,gate,APPLIED,RED,FAILED: NO administrative route writes any participant response column   [],GREEN,RED_FOR_INTENDED_REASON
19,main-study freeze cannot produce a deterministic checksummed artifact,server/tools/run39_main_study_freeze.py,gate,APPLIED,CRASH,,GREEN,CRASH_NOT_COUNTED_AS_RED
20,unresolved technical incident affecting response integrity,server/tools/test_run39_launch_gate.py,gate,APPLIED,RED,FAILED: a raw-SQL tamper writes NO audit row: the audit trail cannot see it happen   420 -> 420,GREEN,RED_FOR_INTENDED_REASON
