module ID,authoritative current name,category,activation,voting,canonical runner,current production route,defining canonical structure,canonical structure required?,production supply path,real corpus currently supplies structure?,current operational behavior,computes when structure exists?,abstains when structure is absent?,disabled?,archived?,supplied rather than computed?,current served defensibility statement,expected truthful statement,mismatch,PASS/FAIL
A1.1,Monte Carlo EAC Forecast,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models.run_monte_carlo_module,registry.run_module -> app.simulation.models.run_monte_carlo_module,costDriverDistributions,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,NO,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A1.2,CUSUM Anomaly Monitor,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models.run_cusum_module,registry.run_module -> app.simulation.models.run_cusum_module,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,YES,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
A1.3,Bayesian EAC,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models_evm.run_bayesian_eac,registry.run_module -> app.simulation.models_evm.run_bayesian_eac,bayesianEacModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A1.4,Kalman Filter SPI Smoother,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models_evm.run_kalman_filter,registry.run_module -> app.simulation.models_evm.run_kalman_filter,kalmanStateSpaceModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A1.5,ARIMA CPI Forecast,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models_evm.run_arima_forecast,registry.run_module -> app.simulation.models_evm.run_arima_forecast,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,YES,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
A1.6,Earned Schedule,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models_evm.run_earned_schedule,registry.run_module -> app.simulation.models_evm.run_earned_schedule,timePhasedBaseline,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A1.7,TCPI,Cost & EVM Performance,ENABLED,votes on the governed status,app.simulation.models_evm.run_tcpi,registry.run_module -> app.simulation.models_evm.run_tcpi,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,NO,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
A1.8,Variance at Completion,Cost & EVM Performance,ENABLED,votes on the governed status,app.simulation.models_evm.run_vac,registry.run_module -> app.simulation.models_evm.run_vac,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,NO,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
A1.9,Budget Execution Rate,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models_evm.run_budget_execution,registry.run_module -> app.simulation.models_evm.run_budget_execution,expenditureBaseline,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A1.10,CPI Shrinkage Forecast,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models_evm.run_cpi_shrinkage,registry.run_module -> app.simulation.models_evm.run_cpi_shrinkage,cpiReferenceClass,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A1.11,Independent EAC Reconciliation Index,Cost & EVM Performance,ENABLED,does not vote,app.simulation.models_evm.run_independent_eac_reconciliation,registry.run_module -> app.simulation.models_evm.run_independent_eac_reconciliation,independentEacPair,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.1,PERT Network Criticality,Schedule Performance,ENABLED,does not vote,app.simulation.models.run_pert,registry.run_module -> app.simulation.models.run_pert,scheduleNetwork,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.2,Line of Balance,Schedule Performance,ENABLED,does not vote,app.simulation.models.run_lob,registry.run_module -> app.simulation.models.run_lob,lobStructure,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.3,CCPM Buffer Health,Schedule Performance,ENABLED,does not vote,app.simulation.models.run_ccpm,registry.run_module -> app.simulation.models.run_ccpm,ccpmStructure,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.4,Schedule Compression Index,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_schedule_compression,registry.run_module -> app.simulation.models_ext.run_schedule_compression,scheduleNetwork,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.5,Float Consumption Rate,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_float_consumption,registry.run_module -> app.simulation.models_ext.run_float_consumption,scheduleNetwork,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
