cycle,injection_id,module,mutation,bytes_changed_confirmed,expected_effect,observed_effect,named_check_that_went_red,restored_and_green
1,M1,3.7 Analogous Estimating Ratio,the negative-exposure floor removed so the signed variance is reported as an exposure again,yes,the pinned historical defect fails,47 to 45 checks,"HISTORICAL DEFECT, must not return: an overrun percent of minus fifty reported an exposure of minus five hundred; and the invariant that no result carries a negative exposure",yes
1,M2,3.7 Analogous Estimating Ratio,the positive-budget preflight argument emptied,yes,the invalid budget reaches a band again,47 to 44 checks,"HISTORICAL DEFECT, must not return: a budget at completion of minus one thousand reached a Yellow band; and the boundary check on a budget of exactly zero",yes
1,M3,8.7 Safety Performance Index,the multiplication by ten restored and the derived guard narrowed back to the zero case,yes,meeting mentions become a rate again,47 to 43 checks,"HISTORICAL DEFECT, must not return: two mentions of safety became an incident rate of 20.0; the root-cause check; the count invariant; and the neighbour sweep check on A6.2",yes
1,M4,9.2 Data Timeliness Score,the lower guard on the age removed,yes,a future-dated document bands Green again,47 to 44 checks,"HISTORICAL DEFECT, must not return: a document dated a year after the cutoff reported minus 365 days; the boundary at one day past the cutoff; and the non-negative age invariant",yes
1,M5,9.7 Reporting Frequency Index,the trailing gap excluded from the band so only the mean interval is read,yes,cessation becomes invisible again,47 to 45 checks,"HISTORICAL DEFECT, must not return: a project that stopped seventeen months ago banded Green; and the fifteen-day boundary",yes
1,M6,3.7 Analogous Estimating Ratio,"the negative-exposure floor removed, run against the Run-19 category suite rather than this cycle's suite",yes,the amended Run-19 proposition fails as an unrecorded defect,117 to 116 checks,3.7/domain-guarded reported as a proposition that FAILED and is not in the Run-19 register,yes
2,M7,8.2 FAR Threshold Monitor,the regulation's name and part number restored to the evidence sentence,yes,the retired proposition fails as an unrecorded defect,138 to 137 checks,"no regulation's name or part number is attached to the twenty-five per cent level, which no cited provision states; reported as an unrecorded scientific defect",yes
2,M8,8.3 OMB A-11 Check,MANDATORY REPORTING TRIGGERED restored to the evidence sentence,yes,the obligation check fails,138 to 137 checks,no reporting obligation is asserted anywhere: the result records that no regulatory determination was made and the sentence says the circular's requirements were not evaluated,yes
2,M9,8.4 EVM Reporting Threshold,the breach language restored to the evidence sentence,yes,the compliance check fails,138 to 137 checks,no reporting compliance is claimed: the result says it was not assessed and the sentence uses no breach language,yes
2,M10,10.3 Constraint Satisfaction Analysis,the rule name FAR threshold (overrun < 25%) restored,yes,"the retired proposition fails as an unrecorded defect, and the renaming check fails with it",85 to 83 checks,no rule carries a regulatory authority's name unless that authority actually states the threshold the rule applies; and the check that the renamed rule fires on the same projects,yes
2,M11,the declared production-change manifest,a delivered fix undeclared: the manifest key 8.2 renamed to 8.2x and pointed at a different file,yes,the manifest guard fails on a module id that is not a scientific target,32 to 31 checks,"the manifest entry 8.2x is one of the hundred scientific targets. FIRST ATTEMPT DID NOT QUALIFY: with only the file-hash comparison in place the guard stayed green, because renaming a module inside an already-declared file leaves the file set unchanged. The module-level checks were added for exactly this and the injection then qualified",yes
2,M12,the declared production-change manifest,"an undeclared production edit: a marker function added to fusion.py, which no cycle declares",yes,the manifest guard fails on an undeclared differing file,32 to 30 checks,every production file that differs from the Run-20 freeze is declared in the Run-20 manifest; and the equality of the two sets,yes
4,M22,4.6 Change Order Frequency,the Change Order Frequency lineage declaration removed from the table,yes,the duplicate pair counts as two bodies again and the pinned historical defect returns,201 to 154 of 179 checks,"HISTORICAL DEFECT, must not return: A4.6 and B3.5 counted as two bodies of evidence; the 0.7000 to 0.9273 sharpening; the 0.4414 conflict between two readings of one body; and 25 named checks in all",yes
4,M23,5.3 Tornado Risk Ranking,the module relabelled INDEPENDENT,yes,"the declaration claims an independence it does not have; the relationship checks fail while the partition still holds, because a claim is not evidence",201 to 198 checks,"A5.3 does NOT claim independence, because it does not have it; A5.3 declares a relationship that asserts dependence outright; and the named correlated declaration",yes
4,M24,4.6 Change Order Frequency,the source facts renamed so they no longer intersect the partner's,yes,the fact-level partition rule stops seeing the duplication; the declared body still holds the partition,201 to 194 of 198 checks,each renamed fact fails the check that it names a governed input field the fixture carries; and the two change-order modules declare the same governed facts,yes
4,M25,5.3 Tornado Risk Ranking,the two index definitions removed from the derivation chain,yes,"the path from the governed facts to the reading is asserted rather than written down, so the through-a-ratio arm of the abstention oracle fails",201 to 198 checks,"A5.3 reaches ev, ac and pv through the indices, and its derivation chain states the definition rather than asserting the dependence, three checks",yes
4,M26,4.6 Change Order Frequency,"the declared evidence body removed, leaving only the shared facts",yes,"one of the two partition defences is withdrawn and the partition STILL holds on the facts alone, so only the disclosure check fails. This is the proof that neither partition rule is dead code",201 to 200 checks,the two change-order modules declare the same evidence body,yes
4,M27,4.6 Change Order Frequency,BOTH defences removed: a different declared body and non-intersecting facts,yes,"the defect returns in full, exactly as measured before the fix",201 to 171 of 198 checks,A4.6 and B3.5 counted as two bodies; the 0.7000 to 0.9273 sharpening; the 0.4414 conflict; the partition splitting into two parts in both orders; and 27 named checks in all,yes
4,M28,the combination rule,the within-body reading inverted from the most adverse to the most favourable,yes,"a duplicate pair reports the better of two readings of one body, so the conservative within-body comparison fails on both pairs and in both orders",201 to 198 checks,a within-body disagreement resolves to the more adverse of the two readings; the same in the reverse order; and the sensitivity pair,yes
4,M29,the declared production-change manifest,the cycle-4 declaration removed from the new-production-file entry for lineage.py,yes,a cycle that changes only a new production file declares itself nowhere and the widened cycle-set check fails,44 to 43 checks,"the manifest records exactly the four Run-20 cycles that have changed production. THE GAP THIS CLOSES: before cycle 4 the cycle set was read off the baseline-file declarations only, so a cycle touching nothing but a file created by an earlier cycle would have passed the very check written to catch a cycle that forgets to declare itself",yes
