fault,target,mutation,applied,confirmed_applied,guard,intended_red,crash_accepted_as_red,restored_green,result
1,PH.1 isolation_forest._path_length,"the path length counts two edges instead of one when descending left, so h(x) no longer counts the edges actually traversed",YES,YES,fixed-forest score and per-tree path equivalence with the independent oracle,YES,NO,YES,PASS
2,PH.1 isolation_forest._path_length,"the terminal-node c(n) adjustment is removed, so a node holding several samples is treated as if it had isolated one",YES,YES,fixed-forest score and per-tree path equivalence with the independent oracle,YES,NO,YES,PASS
3,PH.1 isolation_forest.IsolationForest,"the score is normalised by c(2*psi) instead of c(psi) -- a genuinely wrong denominator. NOTE: the natural-looking mutation `c_factor(len(training))` is NOT usable on the compact fixture, where psi = min(256, 10) = 10 = len(training) and the two are the same number",YES,YES,"fixed-forest score equivalence with the independent oracle, which recomputes c(psi) itself",YES,NO,YES,PASS
4,PH.1 isolation_forest.anomaly_score,"the exponent sign in s(x, psi) = 2 ** (-E[h(x)] / c(psi)) is reversed, so a shorter path would read as LESS anomalous",YES,YES,fixed-forest score equivalence with the independent oracle,YES,NO,YES,PASS
5,PH.1 isolation_forest.mean_path_length,"the ensemble mean E[h(x)] = (1/t) sum h_i(x) is replaced by the FIRST TREE's path length, so the ensemble stops averaging",YES,YES,fixed-forest score equivalence with the independent oracle,YES,NO,YES,PASS
6,PH.1 canonical_v8.isolation_forest,"each project is scored by its OWN forest fitted on the other projects, so the scores reported together come from different forests on different scales",YES,YES,"the production route's reported scores ARE the scores one forest produces, recomputed independently by the oracle from the reported model metadata",YES,NO,YES,PASS
7,PH.1 canonical_v8.isolation_forest,"the model version is dropped from the result, so two scores could be compared without any way to know they came from the same model",YES,YES,"the result retains cohort id, model version, seed and feature schema version",YES,NO,YES,PASS
8,PH.1 isolation_forest.IsolationForest,the ensemble stops being seeded: the declared seed is still recorded on the model but the trees are drawn from an unseeded generator,YES,YES,two independent fits of the same cohort under the same seed give an IDENTICAL frozen-forest digest,YES,NO,YES,PASS
9,PH.1 canonical_v8 frozen synthetic threshold,"the frozen Run-15 synthetic threshold is applied regardless of feature schema, so a laboratory threshold fitted on one schema produces flags on another",YES,YES,no exploratory flag is derived from the frozen synthetic threshold under a schema that is not the one it was fitted on,YES,NO,YES,PASS
10,the independent scorer (run33_frozen_forest.oracle_path_length),"the independent scorer is replaced by a call to PRODUCTION's own path-length function, so it copies the implementation it is supposed to be checking instead of evaluating the frozen trees itself",YES,YES,"with production's path length perturbed in process, the ORACLE's score is UNMOVED while production's moves -- which only a genuinely independent scorer can satisfy",YES,NO,YES,PASS
TOTALS,-,-,10,-,-,10,0,10,PASS
