state,observation,value
oracle,authoritative_rows,483
oracle,authoritative_established_edges,477
oracle,authoritative_unresolved_rows,6
app,script_names,"[""admin-ops.js"", ""admin.js"", ""app.js"", ""assistant.js"", ""auditor.js"", ""auth.js"", ""charts3d.js"", ""client"", ""config.js"", ""data.js"", ""decision-ui.js"", ""decision.js"", ""detail.js"", ""disclaimers.js"", ""ds_defensibility_data.js"", ""ds_defensibility_evidence.js"", ""export.js"", ""features.js"", ""files.js"", ""globe.gl.min.js"", ""globe.js"", ""gmap.js"", ""ingest.js"", ""knowledge.js"", ""module_charts.js"", ""neural_flow.js"", ""pdf.min.js"", ""projectnet2d.js"", ""questionnaires.js"", ""recommendation_options.js"", ""signals.js"", ""store.js"", ""taxonomy.js"", ""training.js"", ""tz.js"", ""workingrobot.js"", ""workspace.js"", ""xlsx.full.min.js""]"
app,page_sections,7
registry,totalCategories,12
registry,projectCategories,11
registry,portfolioCategories,1
registry,totalModules,101
registry,projectModules,96
registry,portfolioModules,5
registry,byGroup,"{""A"": 53, ""B"": 36, ""C"": 7, ""D"": 5}"
registry,projectCatNames,"[""Cost and EVM Performance"", ""Schedule Performance"", ""Cost Risk"", ""Document-Derived Condition Signals"", ""System Dynamics and Complexity"", ""Delivery Quality Performance"", ""Signal Synthesis"", ""Evidence Combination"", ""Regulatory and Authority Thresholds"", ""Decision Optimization"", ""Data Integrity""]"
registry,projectCatIds,"[""a1"", ""a2"", ""a3"", ""a4"", ""a5"", ""a6"", ""b1"", ""b2"", ""b3"", ""b4"", ""c1""]"
palette,status_colors,"{""Amber"": ""#9a4700"", ""Complete"": ""#1060a8"", ""Green"": ""#12703a"", ""None"": ""#9aa2ae"", ""NotRelevant"": ""#5b3dd6"", ""Red"": ""#b81420"", ""Yellow"": ""#6f5200""}"
about,rendered,NOT PRESENT
knowledge,rendered,NOT PRESENT
home,rendered,NOT PRESENT
dashboard,rendered,NOT PRESENT
portfolio,rendered,NOT PRESENT
empty-collapsed,empty_panel,True
empty-collapsed,reveal_control,"{""text"": ""Show the registered architecture"", ""expanded"": ""false""}"
empty-collapsed,svg_shown,False
empty-collapsed,drawn_shapes,0
empty-collapsed,drawn_paths,0
empty-revealed,svg_shown,True
empty-revealed,headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE
empty-revealed,summary,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project has no uploaded documents and no current results, so nothing on the diagram is active and the project status is not estimable."
empty-revealed,legend,"Green Yellow Amber Red No data Not relevant Registered, not active on this project Uploaded Not uploaded Input (doc→model) ▸Rollup (model→category→status) ▸Derived (category→category) ▸Governance feedback Configured relationship, not carrying current data"
empty-revealed,project_status_node,Project Status Not estimable
empty-revealed,animated_edges,0
empty-revealed,glows,0
empty-revealed,active_class,0
empty-revealed,drawn_shapes,144
empty-revealed,drawn_paths,323
