module_id,module_name,cycle,from_disposition,to_disposition,evidence
3.7,Analogous Estimating Ratio,1 P0B,IMPLEMENTATION_DEFECT,CORRECT_PROXY_ONLY,"server/tools/test_run20_p0b_evidence_domain.py, ten checks including two pinned historical defects and a mutation proof; server/tools/test_run19_category_3.py, proposition 3.7/domain-guarded amended and now holding"
8.7,Safety Performance Index,1 P0B,IMPLEMENTATION_DEFECT,MISSING_CANONICAL_DATA_STRUCTURE,"server/tools/test_run20_p0b_evidence_domain.py, ten checks including one pinned historical defect and a mutation proof; server/tools/test_run19_category_8.py, proposition 8.7/no-meeting-minute-substitute now holds and was retired from the register"
8.2,FAR Threshold Monitor,2 P0C,REGULATORY_VERSION_BLOCKED,MISSING_CANONICAL_DATA_STRUCTURE,"server/tools/test_run19_category_8.py, proposition 8.2/threshold-is-regulatory now holds and was retired from the register, with three new checks on the renamed fields and one proving the bands did not move; mutation M7 restores the FAR attribution and turns the retired proposition red as an unrecorded defect"
8.3,OMB A-11 Check,2 P0C,REGULATORY_VERSION_BLOCKED,MISSING_CANONICAL_DATA_STRUCTURE,"server/tools/test_run19_category_8.py, three new checks on the renamed fields, the absence of the obligation and the unchanged boundaries, plus the sweep finding on the dead Yellow arm asserted over the whole index domain; mutation M8 restores MANDATORY REPORTING TRIGGERED and turns the obligation check red"
8.4,EVM Reporting Threshold,2 P0C,REGULATORY_VERSION_BLOCKED,MISSING_CANONICAL_DATA_STRUCTURE,"server/tools/test_run19_category_8.py, three new checks on the renamed fields, the absence of any compliance claim and the unchanged bands; mutation M9 restores the breach language and turns the compliance check red"
10.3,Constraint Satisfaction Analysis,2 P0C,CORRECT_PROXY_ONLY,CORRECT_PROXY_ONLY,"server/tools/test_run19_category_10.py, proposition 10.3/no-regulatory-label-on-a-performance-threshold now holds and was retired from the register, with a new check proving the renamed rule fires on the same projects; mutation M10 restores the FAR rule name and turns the retired proposition red as an unrecorded defect"
9.2,Data Timeliness Score,1 P0B,IMPLEMENTATION_DEFECT,MISSING_CANONICAL_DATA_STRUCTURE,"server/tools/test_run20_p0b_evidence_domain.py, eight checks including one pinned historical defect and a mutation proof; server/tools/test_run19_category_9.py, proposition 9.2/future-dated-handled now holds and was retired from the register"
9.7,Reporting Frequency Index,1 P0B,IMPLEMENTATION_DEFECT,MISSING_CANONICAL_DATA_STRUCTURE,"server/tools/test_run20_p0b_evidence_domain.py, thirteen checks including one pinned historical defect and a mutation proof; server/tools/test_run19_category_9.py, proposition 9.7/cessation-detected now holds and was retired from the register"
ARCH.2,Evidence lineage in the combination rule,3 P0D,MISSING_CANONICAL_DATA_STRUCTURE,REMEDIATED,"server/tools/test_run20_lineage_model.py 120 checks; test_run20_voting_lineage.py 100 checks; test_run20_category9_gate.py 61 checks; test_run20_lineage_reproduction.py 32 checks; nine mutations M13 to M21, each byte-confirmed, each caught by a named check, each restored green"
ARCH.1,Category 9 qualification gate,3 P0D,MISSING_CANONICAL_DATA_STRUCTURE,REMEDIATED,"server/tools/test_run20_lineage_model.py 120 checks; test_run20_voting_lineage.py 100 checks; test_run20_category9_gate.py 61 checks; test_run20_lineage_reproduction.py 32 checks; nine mutations M13 to M21, each byte-confirmed, each caught by a named check, each restored green"
P0A,Governed fusion of the two voting modules,3 P0D,REOPENED_AT_THE_FUSION_LAYER,CLOSED,"Module method validity was never in question and is re-proved at the boundaries against hand oracles. Evidence lineage is established as SAME_SOURCE_TRANSFORM over one earned-value body and is now declared and carried. Governed fusion validity is proved: the rule partitions before combining, claims no independent corroboration, estimates no conflict coefficient between a body and itself, and resolves a disagreement within one body to its more adverse reading. Voting remains exactly two. One ratification row is recorded against ARCH.2 for the policy choice of operator, which does not block the scientific closure."
4.6,Change Order Frequency,4 P0D,LINEAGE_UNDECLARED (DUPLICATE_WITH_8.5),LINEAGE_DECLARED_SAME_SOURCE_TRANSFORM_WITH_8.5,"server/tools/test_run20_advisory_lineage_disclosure.py, 201 checks. Eight mutations M22 to M29, each byte-confirmed, each caught by a named check, each restored green. DECLARATION ONLY: the module's band, boundary and arithmetic are pinned unchanged on a hand-written fixture and asserted after the declaration. The module's METHOD_LABEL_MISMATCH is NOT touched: a raw count with no exposure is still not a frequency, and that remains open at P1."
5.3,Tornado Risk Ranking,4 P0D,LINEAGE_UNDECLARED (DUPLICATE_OF_5.2_EVIDENCE),LINEAGE_DECLARED_CORRELATED_WITH_5.2,"server/tools/test_run20_advisory_lineage_disclosure.py, 201 checks. Eight mutations M22 to M29, each byte-confirmed, each caught by a named check, each restored green. DECLARATION ONLY: the module's band, boundary and arithmetic are pinned unchanged on a hand-written fixture and asserted after the declaration. The module's METHOD_LABEL_MISMATCH is NOT touched: no output is still evaluated at any input's low or high value, and that remains open at P1."
8.5,Contract Modification Frequency,4 P0D,LINEAGE_UNDECLARED,LINEAGE_DECLARED_SAME_SOURCE_TRANSFORM_WITH_4.6,"Declared as the partner of 4.6, because a partition needs both members and declaring one end of a duplication discloses nothing. Its own CORRECT_PROXY_ONLY disposition is unchanged."
5.2,Sensitivity Analysis,4 P0D,"SHARED_EVM_INPUT_VECTOR, UNDECLARED",LINEAGE_DECLARED_SAME_SOURCE_TRANSFORM_WITH_5.3,"Declared as the partner of 5.3, for the same reason. Its own IMPLEMENTATION_DEFECT, that two of its three drivers are not perturbed at all, is unchanged and remains open."
1.1,Monte Carlo EAC,5 P0D,LINEAGE_DECLARED_AS_THE_WRONG_METHOD (declared the cost performance index),LINEAGE_DECLARED_CORRELATED_OVER_THE_EARNED_VALUE_AND_DOCUMENT_BODIES,"server/tools/test_run20_lineage_declaration_truth.py, 156 checks. Five mutations M30 to M33 plus M32b, each byte-confirmed, each a named red, each restored green; M32 did not qualify on its first attempt and that is recorded. NO BAND, BOUNDARY OR ARITHMETIC RESULT CHANGED. The record now names the budget, both indices and the document risk score, and its chain names the sampling step and the percentile separately."
2.1,PERT Network Criticality,5 P0D,LINEAGE_DECLARED_AS_THE_WRONG_METHOD (declared earned schedule),"LINEAGE_NOT_DECLARED, AND CORRECTLY SO","server/tools/test_run20_lineage_declaration_truth.py, 156 checks. Five mutations M30 to M33 plus M32b, each byte-confirmed, each a named red, each restored green; M32 did not qualify on its first attempt and that is recorded. NO BAND, BOUNDARY OR ARITHMETIC RESULT CHANGED. The entry is REMOVED. The module abstains with the reason code canonical_structure_absent on every project this platform holds, so it emits no signal whose evidence there is anything to declare. If the corpus ever carries an activity network the record is written then."
