row_type,project_id,name_or_metric,archetype_or_class,value,expected,duplicates,missing,result,evidence
STUDY_PROJECT,PRJ-AIR,Airport Terminal Expansion,AIRPORT_TERMINAL,6,P01;P02;P03;P04;P05;P06,0,0,PASS,enumerated from research_fixtures/synthetic/OG-SYNTH-0.2/Opus_Gubernatio_Synthetic_Programme_v0.2/package_A_project_structures/reporting_periods.csv
STUDY_PROJECT,PRJ-DCT,Data Center and Commissioning Programme,DATA_CENTER,6,P01;P02;P03;P04;P05;P06,0,0,PASS,enumerated from research_fixtures/synthetic/OG-SYNTH-0.2/Opus_Gubernatio_Synthetic_Programme_v0.2/package_A_project_structures/reporting_periods.csv
STUDY_PROJECT,PRJ-HSP,Vertical Hospital Tower,VERTICAL_HOSPITAL,6,P01;P02;P03;P04;P05;P06,0,0,PASS,enumerated from research_fixtures/synthetic/OG-SYNTH-0.2/Opus_Gubernatio_Synthetic_Programme_v0.2/package_A_project_structures/reporting_periods.csv
STUDY_PROJECT,PRJ-HWY,Highway Corridor Rehabilitation,HIGHWAY_CORRIDOR,6,P01;P02;P03;P04;P05;P06,0,0,PASS,enumerated from research_fixtures/synthetic/OG-SYNTH-0.2/Opus_Gubernatio_Synthetic_Programme_v0.2/package_A_project_structures/reporting_periods.csv
STUDY_PROJECT,PRJ-RAL,Urban Rail Station Package,RAIL_STATION,6,P01;P02;P03;P04;P05;P06,0,0,PASS,enumerated from research_fixtures/synthetic/OG-SYNTH-0.2/Opus_Gubernatio_Synthetic_Programme_v0.2/package_A_project_structures/reporting_periods.csv
STUDY_PROJECT,PRJ-WTR,Water Treatment Upgrade,WATER_TREATMENT,6,P01;P02;P03;P04;P05;P06,0,0,PASS,enumerated from research_fixtures/synthetic/OG-SYNTH-0.2/Opus_Gubernatio_Synthetic_Programme_v0.2/package_A_project_structures/reporting_periods.csv
ACCEPTANCE_COUNTER,-,UNIQUE STUDY PROJECTS,-,6,contract = 6,-,-,PASS,projects.csv rows with study_project_candidate TRUE
ACCEPTANCE_COUNTER,-,UNIQUE PERIODS PER PROJECT,-,6,contract = 6,-,-,PASS,identical for every project; a mixed value would fail
ACCEPTANCE_COUNTER,-,UNIQUE PROJECT-PERIOD COMBINATIONS,-,36,contract = 36,-,-,PASS,"distinct (project_id, period_id) pairs"
ACCEPTANCE_COUNTER,-,DUPLICATE COMBINATIONS,-,0,contract = 0,-,-,PASS,none
ACCEPTANCE_COUNTER,-,MISSING COMBINATIONS,-,0,contract = 0,-,-,PASS,none
CONTROLLED_STIMULUS_IDENTITY,-,package identity and version,-,OG-SYNTH-0.2 / package A-0.2,-,-,-,PASS,"the LIVE loader server/tests/synthetic_fixtures/importers/fixture_loader.py reads exactly this root; it is the only governed, versioned, checksummed project-period corpus in the repository"
REPORTED_LIMITATION,-,"participant-database delivery is operator configuration, not a committed count",-,-,-,-,-,REPORTED_LIMITATION,"The contract binds the controlled STIMULUS CORPUS. It does NOT assert that any participant database currently holds 36 assignments: Scenario.period_count is a nullable per-scenario integer and ConditionSequence rows are operator-configured, exactly as Run 36 reported. research_fixtures/README.md additionally bars these synthetic records from entering an operational or participant database, so the corpus is the controlled evidence the instrument computes over and is not bulk-imported into a participant store."
