cycle,requirement,test,result,detail
1,a Category-9 quality score is not itself counted as another independent adverse or favourable project condition,carried forward from Run 19,NOT_YET_ENFORCED,ARCH.1 remains open. The Category 9 qualification gate does not exist as an object; this cycle did not implement it and does not claim to.
1,missing evidence cannot silently become Green,"server/tools/test_run20_p0b_evidence_domain.py, the four HISTORICAL DEFECT checks",PASS,"Four routes by which absent, invalid or stopped evidence produced a coloured band are closed. 8.7, 9.2 and 9.7 now abstain or band adversely in cases where they previously produced a favourable reading, and 3.7 no longer bands on an invalid budget."
1,raw qualification bypass,not addressed in this cycle,OPEN,"The architectural gate is P0D and is the next cycle in the register. Nothing in cycle 1 widened the bypass: three of the four modules now emit fewer qualified values than before, never more."
3 COMMIT C,"the gate must affect execution, not annotate it",server/tools/test_run20_category9_gate.py,PASS,"A qualified signal is an object whose band and value are behind properties returning None unless the verdict permits use. There is no arrangement of caller code that reads the number while ignoring the verdict. Every condition below is tested twice, once on the verdict and once on whether the value is still reachable and the signal still votes."
3 COMMIT C,"condition 1, missing required evidence",server/tools/test_run20_category9_gate.py,ABSTAINED,"Nothing can be computed so there is no value. The reason names the absent field. Zero is a value and is not missing, which specification 9.1 states directly."
3 COMMIT C,"condition 2, stale evidence",server/tools/test_run20_category9_gate.py,DEGRADED,"Assessed against the source class's own freshness requirement and never one universal age. The band and value stay readable, and the signal MAY NOT VOTE. A record dated after the period cutoff is REJECTED instead, being malformed rather than stale. A package declaring no as-of dates has no staleness claimed against it."
3 COMMIT C,"condition 3, missing provenance",server/tools/test_run20_category9_gate.py,DEGRADED,A package that claims provenance and omits a field is degraded and may not vote. A package that claims none is not degraded for a capability this repository has never had; qualification.py records that dimension as PARTIAL and the gate does not convert an admitted gap into a penalty.
3 COMMIT C,"condition 4, conflicting source evidence",server/tools/test_run20_category9_gate.py,REJECTED,"Two source records disagree on one governed fact. No revision lineage joins a document revision to the field a module reads, so the platform genuinely cannot choose, and choosing silently is the failure. Band and value both unreachable; the signal remains reportable as rejected."
3 COMMIT C,"condition 5, incomplete audit chain",server/tools/test_run20_category9_gate.py,REJECTED,"Specification 9.4. Each of method_version, evidence_id and recorded_at rejects on its own, and the fields are noncompensatory: adding six optional fields to a record missing a critical one does not average the gap away. A record missing only an optional field is not rejected."
3 COMMIT C,"condition 6, invalid or out-of-domain value",server/tools/test_run20_category9_gate.py,REJECTED,"A value exists and must not be used. The inclusive boundary is inside the domain, and a field with no declared domain has none enforced against it."
3 COMMIT C,"condition 7, duplicate lineage",server/tools/test_run20_category9_gate.py,ALLOWED,The evidence is sound; it is simply not a second source. The gate deliberately does not double-punish what the lineage partition already handles. Execution proof: both signals vote and the combination still counts them as one body carrying 0.7000 rather than 0.9273.
3 COMMIT C,"condition 8, derived or synthesized evidence",server/tools/test_run20_category9_gate.py,ALLOWED,Being derived is a statement about independence and not about quality. Execution proof: a synthesis of a signal already counted joins that signal's body and does not corroborate it.
3 COMMIT C,"condition 9, raw bypass attempt",server/tools/test_run20_category9_gate.py,REJECTED,"fuse_qualified refuses anything that is not a QualifiedSignal, with an exception rather than a silent drop, so a bypass cannot be mistaken for an abstention. Tested on a hand-built dict of exactly the shape the fusion consumes, and on a string, a None and a float."
3 COMMIT C,Category 9 must not become another vote,server/tools/test_run20_category9_gate.py,PASS,"QUALITY_METADATA, GOVERNANCE_OUTPUT and DECISION_OUTPUT are REJECTED as project-condition evidence at the gate however clean the evidence behind them is, and are refused again inside the combination. Two places enforce it because a signal can reach a synthesis without passing through the fusion."
3 COMMIT C,the live voting path runs through the gate,server/tools/test_run20_category9_gate.py,PASS,"Both voters are qualified before the combination and the combination is reached through fuse_qualified. On a complete package both are ALLOWED and both vote; on a package neither can run both are reported ABSTAINED rather than going quiet, and no status is fused from nothing."
3 COMMIT C,mutation proof of the gate,"four mutations, each byte-confirmed",PASS,"M18 the band property stops honouring the verdict, caught by six execution checks. M19 DEGRADED added to the voting set, caught by the two may-not-vote checks. M20 the raw-bypass guard removed, caught by all four bypass checks; the test was first hardened so an incidental AttributeError is a red rather than a pass, because an accident is not a refusal. M21 the anti-feedback rejection removed from qualify, caught by six anti-feedback checks. Each restored and proved green."
