page/route,module,rendered,expected,check,PASS/FAIL,note
index.html (authenticated session),-,True,True,session established through the normal research login route,PASS,
index.html -> LIN_CATEGORIES (authenticated),A1.10,CPI Shrinkage Forecast / CPI_Shrinkage_Forecast,CPI Shrinkage Forecast / CPI_Shrinkage_Forecast,displayed name and method-class identifier,PASS,
index.html -> LIN_CATEGORIES (authenticated),A1.11,Independent EAC Reconciliation Index / Independent_EAC_Reconciliation,Independent EAC Reconciliation Index / Independent_EAC_Reconciliation,displayed name and method-class identifier,PASS,
index.html -> LIN_CATEGORIES (authenticated),A5.1,DSM Rework Propagation / DSM_Rework_Cat5,DSM Rework Propagation / DSM_Rework_Cat5,displayed name and method-class identifier,PASS,
index.html -> LIN_CATEGORIES (authenticated),B3.1,Agent-Based Governance Model / ABM_Governance,Agent-Based Governance Model / ABM_Governance,displayed name and method-class identifier,PASS,
index.html -> LIN_CATEGORIES (authenticated),B3.2,FAR/Agency EVMS Applicability Monitor / EVMS_Applicability,FAR/Agency EVMS Applicability Monitor / EVMS_Applicability,displayed name and method-class identifier,PASS,
index.html -> LIN_CATEGORIES (authenticated),B3.3,Versioned A-11 Capital Programming Conformance Check / A11_Conformance,Versioned A-11 Capital Programming Conformance Check / A11_Conformance,displayed name and method-class identifier,PASS,
index.html -> LIN_CATEGORIES (authenticated),B3.4,EVMS Reporting Compliance Monitor / EVMS_Reporting_Compliance,EVMS Reporting Compliance Monitor / EVMS_Reporting_Compliance,displayed name and method-class identifier,PASS,
index.html -> LIN_CATEGORIES (authenticated),B3.5,Contract Modification Governance Check / Modification_Governance,Contract Modification Governance Check / Modification_Governance,displayed name and method-class identifier,PASS,
index.html -> taxonomy.js resolver (executed in the page),A1.10,CPI_Shrinkage_Forecast + aliases ['Regression_To_Mean'],CPI_Shrinkage_Forecast + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
index.html -> taxonomy.js resolver (executed in the page),A1.11,Independent_EAC_Reconciliation + aliases ['ICE_Ratio'],Independent_EAC_Reconciliation + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
index.html -> taxonomy.js resolver (executed in the page),A5.1,DSM_Rework_Cat5 + aliases ['DSM_Rework_Propagation'],DSM_Rework_Cat5 + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
index.html -> taxonomy.js resolver (executed in the page),B3.1,ABM_Governance + aliases [],ABM_Governance + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
index.html -> taxonomy.js resolver (executed in the page),B3.2,EVMS_Applicability + aliases ['FAR_Threshold'],EVMS_Applicability + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
index.html -> taxonomy.js resolver (executed in the page),B3.3,A11_Conformance + aliases ['OMB_A11_Check'],A11_Conformance + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
index.html -> taxonomy.js resolver (executed in the page),B3.4,EVMS_Reporting_Compliance + aliases ['EVM_Reporting_Threshold'],EVMS_Reporting_Compliance + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
index.html -> taxonomy.js resolver (executed in the page),B3.5,Modification_Governance + aliases ['Contract_Mod_Frequency'],Modification_Governance + the superseded identifier available for stored rows,method-class resolution on the LIVE surface,PASS,
handbook surface (authenticated),-,9407 chars rendered,the handbook renders,surface reachability,PASS,
handbook surface (authenticated),-,no superseded name rendered,no superseded module name anywhere in the rendered handbook,superseded-name absence,PASS,
handbook surface -> per-module method documentation,-,not rendered by any navigation path attempted,each module's entry rendered with its current identifier,per-module documentation content,NOT_VERIFIED,"the handbook renders and all sections were expanded, but the per-module arrays are module-local to knowledge.js and did not appear; guarded at source by test_run32_method_class_agreement.py section 2 instead. NOT counted as a pass."
index.html (page errors),-,none,none,uncaught page errors,PASS,
