item,outcome,detail
the registry-to-specification name mapping raises no problem,PASS,[]
the registry declares 96 project-level modules,PASS,96
the registry declares 5 portfolio modules,PASS,5
"the excluded key 3.4 resolves to Material Cost Variance, not Labor Productivity Index",PASS,3.4 -> Material Cost Variance
96 minus 1 plus 5 gives 100 scientific targets,PASS,100
the 100 targets carry 100 unique canonical ids,PASS,100
Material Cost Variance is not one of the 100 target rows,PASS,
the five id pairs that float coercion would merge are still detected,PASS,"['1.1 vs 1.10', '2.1 vs 2.10', '4.1 vs 4.10', '7.1 vs 7.10', '7.2 vs 7.20']"
the committed Run-17 matrix carries 100 rows,PASS,100
with 100 unique ids,PASS,100
the committed matrix covers exactly the registry-derived population,PASS,[]
exactly 21 rows carry a scientific disposition,PASS,21
exactly 79 rows are NOT_REACHED_IN_THIS_RUN,PASS,79
the assessed and unreached sets are disjoint,PASS,
their union is exactly the 100-target population,PASS,[]
21 + 79 = 100,PASS,21 + 79
no committed row carries a blank disposition,PASS,
assessed:1.1,ASSESSED,
assessed:1.10,ASSESSED,
assessed:1.11,ASSESSED,
assessed:1.2,ASSESSED,
assessed:1.3,ASSESSED,
assessed:1.4,ASSESSED,
assessed:1.5,ASSESSED,
assessed:1.6,ASSESSED,
assessed:1.7,ASSESSED,
assessed:1.8,ASSESSED,
assessed:1.9,ASSESSED,
assessed:6.1,ASSESSED,
assessed:6.2,ASSESSED,
assessed:6.3,ASSESSED,
assessed:6.4,ASSESSED,
assessed:7.1,ASSESSED,
assessed:PH.1,ASSESSED,
assessed:PH.2,ASSESSED,
assessed:PH.3,ASSESSED,
assessed:PH.4,ASSESSED,
assessed:PH.5,ASSESSED,
unreached:10.1,NOT_REACHED_IN_THIS_RUN,
unreached:10.2,NOT_REACHED_IN_THIS_RUN,
unreached:10.3,NOT_REACHED_IN_THIS_RUN,
unreached:10.4,NOT_REACHED_IN_THIS_RUN,
unreached:10.5,NOT_REACHED_IN_THIS_RUN,
unreached:10.6,NOT_REACHED_IN_THIS_RUN,
unreached:10.7,NOT_REACHED_IN_THIS_RUN,
unreached:2.1,NOT_REACHED_IN_THIS_RUN,
unreached:2.10,NOT_REACHED_IN_THIS_RUN,
unreached:2.11,NOT_REACHED_IN_THIS_RUN,
unreached:2.2,NOT_REACHED_IN_THIS_RUN,
unreached:2.3,NOT_REACHED_IN_THIS_RUN,
unreached:2.4,NOT_REACHED_IN_THIS_RUN,
unreached:2.5,NOT_REACHED_IN_THIS_RUN,
unreached:2.6,NOT_REACHED_IN_THIS_RUN,
unreached:2.7,NOT_REACHED_IN_THIS_RUN,
unreached:2.8,NOT_REACHED_IN_THIS_RUN,
unreached:2.9,NOT_REACHED_IN_THIS_RUN,
unreached:3.1,NOT_REACHED_IN_THIS_RUN,
unreached:3.2,NOT_REACHED_IN_THIS_RUN,
unreached:3.3,NOT_REACHED_IN_THIS_RUN,
unreached:3.5,NOT_REACHED_IN_THIS_RUN,
unreached:3.6,NOT_REACHED_IN_THIS_RUN,
unreached:3.7,NOT_REACHED_IN_THIS_RUN,
unreached:3.8,NOT_REACHED_IN_THIS_RUN,
unreached:3.9,NOT_REACHED_IN_THIS_RUN,
unreached:4.1,NOT_REACHED_IN_THIS_RUN,
unreached:4.10,NOT_REACHED_IN_THIS_RUN,
unreached:4.2,NOT_REACHED_IN_THIS_RUN,
unreached:4.3,NOT_REACHED_IN_THIS_RUN,
unreached:4.4,NOT_REACHED_IN_THIS_RUN,
unreached:4.5,NOT_REACHED_IN_THIS_RUN,
unreached:4.6,NOT_REACHED_IN_THIS_RUN,
unreached:4.7,NOT_REACHED_IN_THIS_RUN,
unreached:4.8,NOT_REACHED_IN_THIS_RUN,
unreached:4.9,NOT_REACHED_IN_THIS_RUN,
unreached:5.1,NOT_REACHED_IN_THIS_RUN,
unreached:5.2,NOT_REACHED_IN_THIS_RUN,
unreached:5.3,NOT_REACHED_IN_THIS_RUN,
unreached:5.4,NOT_REACHED_IN_THIS_RUN,
unreached:5.5,NOT_REACHED_IN_THIS_RUN,
unreached:5.6,NOT_REACHED_IN_THIS_RUN,
unreached:5.7,NOT_REACHED_IN_THIS_RUN,
unreached:5.8,NOT_REACHED_IN_THIS_RUN,
unreached:7.10,NOT_REACHED_IN_THIS_RUN,
unreached:7.11,NOT_REACHED_IN_THIS_RUN,
unreached:7.12,NOT_REACHED_IN_THIS_RUN,
unreached:7.13,NOT_REACHED_IN_THIS_RUN,
unreached:7.14,NOT_REACHED_IN_THIS_RUN,
unreached:7.15,NOT_REACHED_IN_THIS_RUN,
unreached:7.16,NOT_REACHED_IN_THIS_RUN,
unreached:7.17,NOT_REACHED_IN_THIS_RUN,
unreached:7.18,NOT_REACHED_IN_THIS_RUN,
unreached:7.19,NOT_REACHED_IN_THIS_RUN,
