module,module_name,canonical_method_implemented,real_corpus_executes,real_corpus_abstains,disabled_laboratory_only,required_supply_path_present,supply_path_type,concrete_repository_object,production_code_writes_the_structure_key,calibration_pending_run33,lineage_qualification_pending_run31,post_run28_closure_disposition,evidence,accounted
A1.1,Monte Carlo EAC,yes,yes,no,no,yes,EXISTING_DOCUMENT_EXTRACTION,the corpus itself: figures already extracted from the period's documents,no,yes,yes,CANONICAL_RETAINED_CALIBRATION_PENDING,computes from the reported budget and cost index; server/tools/test_run10_monte_carlo_eac_fixture.py,yes
A1.2,CUSUM Anomaly Monitor,yes,yes,no,no,yes,EXISTING_DOCUMENT_EXTRACTION,the corpus itself: figures already extracted from the period's documents,n/a,yes,yes,CANONICAL_FROZEN_DESIGN,computes from two or more stored periods of cost index; server/tools/test_run6_known_answer.py,yes
A1.3,Bayesian EAC,yes,no,yes,no,yes,NEW_STRUCTURED_FORM,"signal-inputs key `bayesianEacModel` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,yes,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A1.4,Kalman Filter SPI Smoother,yes,no,yes,no,yes,NEW_STRUCTURED_FORM,"signal-inputs key `kalmanStateSpaceModel` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,yes,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A1.5,ARIMA CPI Forecast,yes,no,yes,no,yes,DERIVED_QUALIFIED_HISTORY,server/app/documents.py::_period_history (cpiHistory/spiHistory assembled from the project's own stored periods); minimum-history guard in server/app/simulation/canonical_v3.py::identify_arima,n/a,no,yes,CANONICAL_IMPLEMENTED_HISTORY_REQUIRED,abstains with insufficient_history; verified by executing the registered runner,yes
A1.6,Earned Schedule,yes,no,yes,no,yes,CONTRACT_BASELINE_DATA,"signal-inputs key `timePhasedBaseline` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A1.9,Budget Execution Rate,yes,no,yes,no,yes,CONTRACT_BASELINE_DATA,"signal-inputs key `expenditureBaseline` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A1.10,CPI Shrinkage Forecast,yes,no,yes,no,yes,REFERENCE_CLASS_DATASET_INTERFACE,"signal-inputs key `cpiReferenceClass` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,yes,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A1.11,Independent EAC Reconciliation Index,yes,no,yes,no,yes,NEW_STRUCTURED_FORM,"signal-inputs key `independentEacPair` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,yes,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.1,PERT Network Criticality,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.2,Line of Balance,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,signal-inputs key `lobStructure` declared in server/app/simulation/canonical.py; stored and served by server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,no,yes,yes,CANONICAL_EXTENDED_CALIBRATION_PENDING,"abstains: its structure key `lobStructure` is declared in canonical.py and is written by NO production code, the same condition as the twenty. NOT among Run 28's twenty, which counted it as already canonical rather than as abstaining. Found by this closure and given the same intake.",yes
