upstream_type,upstream_name,downstream_type,downstream_name,edge_type,authority_source,authority_section_or_location,authority_status,notes
MODULE,CUSUM Anomaly Monitor,CATEGORY,Cost and EVM Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A1.2, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,ARIMA CPI Forecast,CATEGORY,Cost and EVM Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A1.5, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Earned Schedule,CATEGORY,Cost and EVM Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A1.6, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,TCPI,CATEGORY,Cost and EVM Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A1.7, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Variance at Completion,CATEGORY,Cost and EVM Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A1.8, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Budget Execution Rate,CATEGORY,Cost and EVM Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A1.9, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Independent EAC Reconciliation Index,CATEGORY,Cost and EVM Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A1.11, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,PERT Network Criticality,CATEGORY,Schedule Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A2.1, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Milestone Trend Analysis,CATEGORY,Schedule Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A2.7, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Look-Ahead Schedule Health,CATEGORY,Schedule Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A2.8, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Resource Loading Index,CATEGORY,Schedule Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A2.9, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Contingency Burn Rate,CATEGORY,Cost Risk,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A3.2, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Labor Productivity Index,CATEGORY,Cost Risk,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A3.3, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Overhead Absorption Rate,CATEGORY,Cost Risk,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A3.5, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Cost Risk Analysis P80,CATEGORY,Cost Risk,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A3.6, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,RFI Velocity,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.2, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Submittal Rejection Rate,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.3, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,NCR Rate,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.4, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Weather Day Impact,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.5, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Change Order Frequency,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.6, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Dispute Escalation Index,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.7, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Subcontractor Performance,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.8, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Procurement Lead Time Monitor,CATEGORY,Document-Derived Condition Signals,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A4.9, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Quality Compliance Index,CATEGORY,Delivery Quality Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A6.1, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Safety Performance Index,CATEGORY,Delivery Quality Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A6.2, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Environmental Compliance Rate,CATEGORY,Delivery Quality Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A6.3, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Contractor Performance Assessment Signal,CATEGORY,Delivery Quality Performance,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row A6.4, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Conservative Dominance,CATEGORY,Signal Synthesis,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B1.1, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Weighted Voting,CATEGORY,Signal Synthesis,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B1.2, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Majority Rules,CATEGORY,Signal Synthesis,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B1.3, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Worst-N-of-M,CATEGORY,Signal Synthesis,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B1.4, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,MARCOS Ranking,CATEGORY,Evidence Combination,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B2.18, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Agent-Based Governance Model,CATEGORY,Regulatory and Authority Thresholds,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B3.1, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,FAR/Agency EVMS Applicability Monitor,CATEGORY,Regulatory and Authority Thresholds,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B3.2, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Versioned A-11 Capital Programming Conformance Check,CATEGORY,Regulatory and Authority Thresholds,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B3.3, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,EVMS Reporting Compliance Monitor,CATEGORY,Regulatory and Authority Thresholds,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B3.4, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Contract Modification Governance Check,CATEGORY,Regulatory and Authority Thresholds,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B3.5, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Constraint Satisfaction Analysis,CATEGORY,Decision Optimization,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row B4.3, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Missing Data Index,CATEGORY,Data Integrity,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row C1.1, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Data Timeliness Score,CATEGORY,Data Integrity,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row C1.2, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Source Reliability Weighting,CATEGORY,Data Integrity,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row C1.3, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
