fault,failure_mode,injection,named_guard,guard_state,red_for_intended_reason,guard_output,restored_green,counted
1,A1.7 bands from the rounded value,APPLIED,run35c.fault01.tcpi_bands_from_full_precision,RED,YES,"FAIL  run35c.fault01.tcpi_bands_from_full_precision: boundary fixture banded Green, not Amber; the full-precision index 1.0 is above 1.00; the display value equals the canonical value here, so this fixture no longer distinguishes the two and the guard would be vacuous",YES,COUNTED
2,the A1.7 canonical value is itself rounded before downstream use,APPLIED,run35c.fault02.tcpi_canonical_not_rounded,RED,YES,FAIL  run35c.fault02.tcpi_canonical_not_rounded: canonical tcpi 1.071 is not the identity 1.0714285714285714; canonical tcpi 1.071 looks rounded to three decimals,YES,COUNTED
3,the A1.7 display value is used as the vote input,APPLIED,run35c.fault03.display_is_not_the_vote_input,RED,YES,"FAIL  run35c.fault03.display_is_not_the_vote_input: the emitted band Green follows the DISPLAY value, not the canonical one (Amber expected)",YES,COUNTED
4,the A1.7 boundary population receives the wrong band,APPLIED,run35c.fault04.boundary_population_bands_correctly,RED,YES,"FAIL  run35c.fault04.boundary_population_bands_correctly: 6 fixtures re-checked; {'bac': 1000000.0, 'ev': 989999.0, 'ac': 990000.0} -> Green, expected Amber; {'bac': 1000000.0, 'ev': 989999.0, 'ac': 990000.0} still assigns the v22 band Green; {'bac': 1000000.0, 'ev': 989998.0, 'ac': 990000.0} -> Green, expected Amber",YES,COUNTED
5,the canonical VAC is rounded before downstream use,APPLIED,run35c.fault05.vac_canonical_not_rounded,RED,YES,FAIL  run35c.fault05.vac_canonical_not_rounded: canonical vac -100110.0 is not the identity -100110.01100110007; canonical vac -100110.0 is a whole number where the identity is not,YES,COUNTED
6,the A1.8 display value replaces the analytical VAC,APPLIED,run35c.fault06.vac_display_separate,RED,YES,FAIL  run35c.fault06.vac_display_separate: the analytical and presentation values are the same object on an input where they must differ,YES,COUNTED
7,the canonical VAC identity is perturbed,APPLIED,run35c.fault07.vac_identity_holds,RED,YES,FAIL  run35c.fault07.vac_identity_holds: bac=1000000.0 cpi=0.909: -100220.02200220013 != -100110.01100110007; bac=1000000.0 cpi=0.909: percentage is not VAC/BAC; bac=1000.0 cpi=0.96: -41.770833333333485 != -41.66666666666674,YES,COUNTED
8,a third voting module is introduced,APPLIED,run35c.fault08.voting_is_exactly_two,RED,YES,"FAIL  run35c.fault08.voting_is_exactly_two: the voting set is ['A1.7', 'A1.8', 'A1.9']; voting count is 3",YES,COUNTED
9,Cost Recovery Status reads a formatted string instead of the analytical result,APPLIED,run35c.fault09.cost_recovery_reads_analytical,RED,YES,"FAIL  run35c.fault09.cost_recovery_reads_analytical: the analytical status reaching fusion is Green, which is the band the FORMATTED value implies, not the analytical one",YES,COUNTED
10,the v22 predecessor is rewritten to the corrected behaviour,APPLIED,run35c.fault10.v22_predecessor_not_rewritten,RED,YES,FAIL  run35c.fault10.v22_predecessor_not_rewritten: the pinned predecessor object no longer stamps itself v22; the pinned predecessor object carries the corrected presentation field,YES,COUNTED
11,the v22->v23 execution proof claims divergence where the outputs are equal,APPLIED,run35c.fault11.execution_proof_divergences_real,RED,YES,FAIL  run35c.fault11.execution_proof_divergences_real: A1.7/exact-at-three-decimals fixtur claims divergence with identical behaviour on both lines,YES,COUNTED
12,the B1.2 stale proxy label is restored,APPLIED,run35c.fault12.b1_2_label_withdrawn,RED,YES,FAIL  run35c.fault12.b1_2_label_withdrawn: B1.2 carries a truthful-method label again: 'Fixed-weight signal band tally',YES,COUNTED
13,the B4.4 stale proxy label is restored,APPLIED,run35c.fault13.b4_4_label_withdrawn,RED,YES,FAIL  run35c.fault13.b4_4_label_withdrawn: B4.4 carries a truthful-method label again: 'Earned value completion forecast range',YES,COUNTED
14,the label oracle is fed a generated client artifact instead of the registry authority,APPLIED,run35c.fault14.label_expectation_from_authority,RED,YES,FAIL  run35c.fault14.label_expectation_from_authority: assets/js/categories.js presents B1.2 under a name the registry authority does not carry (authority says 'Signal Band Tally'); assets/js/taxonomy.js presents B1.2 under a name the registry authority does not carry (authority says 'Signal Band Tally'); B1.2 reconciliation names a method the registry does not,YES,COUNTED
15,the A1.1 Run-36 finding disappears from the handoff,APPLIED,run35c.fault15.a1_1_finding_carried_forward,RED,YES,FAIL  run35c.fault15.a1_1_finding_carried_forward: the Run-36 handoff does not carry the finding,YES,COUNTED
