module ID,current authoritative module name,current method class,client qualifier key,current server qualifier key,server qualifier text/state,current consumer(s),current browser/API result,historical evidence requiring preservation?,classification,required action,PASS/FAIL
A3.7,Analogous Estimating Ratio,Analogous_Estimating,Analogous_Estimating,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: an analogous-cost ratio; project selection, normalisation and adaptation ungoverned",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure analogEstimate), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A1.3,Bayesian EAC,Bayesian_EAC,Bayesian_EAC,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: Normal-normal updating with designed constant variances, not a governed Bayesian model",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure bayesianEacModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A1.9,Budget Execution Rate,Budget_Execution_Rate,Budget_Execution_Rate,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: an expenditure-versus-progress control ratio, not a standardised statistical test",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure expenditureBaseline), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A4.6,Change Order Frequency,CO_Frequency,CO_Frequency,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: contract growth plus a raw count; no time or exposure denominator,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure changeEventRegister), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A1.2,CUSUM Anomaly Monitor,CUSUM,CUSUM,A1.2,"hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and Amber band uncalibrated","assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and Amber band uncalibrated",NO,CURRENT_REQUIRED,KEEP. The module has no canonical layer and still computes the proxy the qualifier describes; the server holds it and the client key already matches the current method class.,PASS
B4.3,Constraint Satisfaction Analysis,Constraint_Satisfaction,Constraint_Satisfaction,B4.3,"an explainable four-rule checklist, not a constraint-satisfaction solver","assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: an explainable four-rule checklist, not a constraint-satisfaction solver",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 32 repointed this module onto its canonical method (layer v7, governed structure constraintSatisfactionProblem), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists. THE SERVER ENTRY IS ALSO STALE and is removed from registry.PROXY_QUALIFIERS: it survived the remediation that withdrew the method it describes.",PASS
A4.7,Dispute Escalation Index,Dispute_Escalation,Dispute_Escalation,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: an ad hoc 0.3 / 0.3 / 0.4 weighted sum; weights and dependence uncalibrated,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure claimDisputeRegister), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B2.17,Fermatean Fuzzy Sets,Fermatean_Fuzzy,Fermatean_Fuzzy,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: formula-shaped with designed memberships, no empirical or elicitation basis",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure fermateanFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B2.12,Hesitant Fuzzy Sets,Hesitant_Fuzzy,Hesitant_Fuzzy,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: designed perturbations, not elicited or observed hesitant assessments",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure hesitantFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A3.9,Inflation Adjustment Index,Inflation_Adjustment,Inflation_Adjustment,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: a material-escalation ratio with no external price index, time base or geography",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure externalCostIndex), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
