structure_key,module_served,all_modules_sharing_this_key,source_structure,input_class,current_production_producer,current_production_consumer,needs_the_project_data_intake,if_not_why_not,accepted_by_the_project_data_intake,reachable_through_production,real_corpus_currently_populates_it,canonical_validation_point,runtime_behaviour_when_absent,verdict
costDriverDistributions,A1.1,A1.1,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::declared_cost_driver_model,no,"THE MODULE DOES NOT NEED IT TO COMPUTE. A1.1 executes today on the reported budget and cost index; the declared cost-driver distribution set is an ENRICHMENT that lets the module state its own elicitation record, not a precondition. It is accepted by the intake anyway, so this is a row that does not NEED the route rather than one the route cannot reach.",yes,yes,no,server/app/simulation/canonical_v3.py::declared_cost_driver_model,the module computes without it,PASS
bayesianEacModel,A1.3,A1.3,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::bayesian_eac_posterior,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::bayesian_eac_posterior,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
kalmanStateSpaceModel,A1.4,A1.4,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::kalman_state_space_model,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::kalman_state_space_model,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
timePhasedBaseline,A1.6,A1.6 A2.6,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::earned_schedule / scurve_deviation,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::earned_schedule / scurve_deviation,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
expenditureBaseline,A1.9,A1.9,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::expenditure_baseline_to_date,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::expenditure_baseline_to_date,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
cpiReferenceClass,A1.10,A1.10,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::cpi_reference_class,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::cpi_reference_class,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
independentEacPair,A1.11,A1.11,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::independent_eac_reconciliation,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::independent_eac_reconciliation,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
scheduleNetwork,A2.1,A2.1 A2.4 A2.5 A2.10 A2.11,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
scheduleNetwork,A2.4,A2.1 A2.4 A2.5 A2.10 A2.11,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
scheduleNetwork,A2.5,A2.1 A2.4 A2.5 A2.10 A2.11,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
timePhasedBaseline,A2.6,A1.6 A2.6,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::earned_schedule / scurve_deviation,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::earned_schedule / scurve_deviation,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
