id,category,surface,reproduction,reachability,impact,severity,frozen_behavior_affected,participant_data_risk,fix_required_before_participant,remediation,regression_test,final_status,run41_final_status,run41_fix_commit,run41_regression_evidence,run41_version_boundary,run41_closure_note
S1,stored XSS / content-type spoofing,GET /documents/{id}/content,PM uploads text/html bytes with mimeType text/html; serve echoes Content-Type text/html inline no nosniff; files.js iframe executes in-origin,CONFIRMED via real HTTP + real UI iframe,in-origin script exec -> sessionStorage token theft / act-as-victim,HIGH,YES (server/app is a frozen surface; the fix moves a frozen byte),yes,yes,PREPARED (commit a3fd8b6 reverted): inline-safe allowlist + octet-stream+attachment + nosniff + sanitized filename. Fix proven green (11/11) but touching server/app breaks the frozen-immutability gate -> requires freeze successor,proven test in commit a3fd8b6 (held out of frozen tree),CONFIRMED_FIX_PREPARED_NEEDS_FREEZE_SUCCESSOR,CONFIRMED_FIXED,RUN41_S1_FIX_COMMIT,server/tools/test_run40_serve_content_security.py (11/11); code_audit/run41_s1_prefix_browser_proof.json (4 executions) vs code_audit/run41_s1_postfix_browser_proof.json (0 executions),sim-2026.08-v25 -> sim-2026.08-v26,"Closed in Run 41 under the owner's ruling of 2026-08-19 (fix both before participant use). The ORIGINAL reproduction and the ORIGINAL HIGH severity above are preserved unchanged and are not softened by the closure. Re-reproduced on v25 before remediation rather than taken from this row: real Chromium, same-origin iframe, 4 of 4 attacker payloads executed script in the application origin. After the fix, 0 of 4 execute and all 4 still reach the serving boundary with HTTP 200, so the refusal is the fix's and not an unrelated gate's. Legitimate PDF and text documents still serve inline. One intended consequence: image/svg+xml is script-capable and is now downloaded rather than rendered inline."
S2,final-lock DB tampering,decisions table (raw SQL),raw UPDATE of final_action/final_confidence/rationale on final-locked row succeeds; no trigger no updated_at no audit,CONFIRMED via migrated SQLite; requires operator DB credential,undetectable tamper of PRIMARY outcome data,HIGH (integrity),yes (persisted decision behavior),no direct participant read/write; operator-only,OWNER DECISION,smallest control = symmetric DB trigger mirroring 0003 (final fields after final_submitted_at) -> mints sim successor + refreeze,pending owner authorization,NEEDS_OWNER_DECISION,CONFIRMED_FIXED,RUN41_S2_FIX_COMMIT,server/tools/test_run41_final_lock_guard.py (47/47); server/tools/test_run41_migration_integrity.py (15/15); code_audit/run41_s2_prefix_reproduction.json (13/13 succeeded) vs code_audit/run41_s2_postfix_reproduction.json (0/13),sim-2026.08-v25 -> sim-2026.08-v26 (migration 0026),"Closed in Run 41 under the same owner ruling. The ORIGINAL reproduction and HIGH severity are preserved. Re-reproduced on the v25 schema with the decision driven to final lock entirely through the real application routes: 13 of 13 raw SQL mutations succeeded, including clearing final_submitted_at. Migration 0026 mirrors the preliminary-lock guard onto the final side; 0 of 13 now succeed. The protected set was DERIVED from the live model, not from the three fields this ledger named: twelve substantive final-response fields plus the lock timestamp itself, the latter because a guard whose predicate can be cleared is bypassable in two statements."
S3,MIME not validated at upload,a_projectupload,mime_type stored verbatim,CONFIRMED,none alone (mitigated by S1 serve allowlist),LOW,no,no,no (serve boundary sufficient),serve-side allowlist is the enforcing sink,covered by S1 test,DEFENSE_IN_DEPTH,DEFENSE_IN_DEPTH,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
S4,path traversal via filename,storage,filename with ../ etc,NOT_REACHABLE - content stored in DB by sha256; filename never touches filesystem,none,INFO,no,no,no,architecture (no fs write from filename),n/a,NOT_REACHABLE,NOT_REACHABLE,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
S5,cross-context attachment/read (IDOR),projectupload + content route,PM_B upload/read PROJ_A,refused (member check + linkage recheck),CONFIRMED refused,none,INFO,no,no,already enforced,run40 idor checks,FALSE_POSITIVE,FALSE_POSITIVE,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
S6,prompt/document injection,LLM extraction path,injected directives in doc text,LLM present; output filtered to declared fields so no app authority; live model numeric behavior not locally testable,architecturally contained,text has no authority beyond evidence; numeric-fabrication-under-injection NOT_VERIFIED locally,MEDIUM,no,partial,containment verified; live model NOT_VERIFIED (no key),extraction_client field-filter,CONFIRMED_NON_BLOCKING,CONFIRMED_NON_BLOCKING,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
S7,unauthenticated upload,projectupload,no session token,refused missing/malformed token,CONFIRMED refused,none,INFO,no,no,already enforced,run40 idor checks,FALSE_POSITIVE,FALSE_POSITIVE,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
S8,malformed file handling,_decode,zero-byte/invalid base64/oversize,controlled err JSON no crash,CONFIRMED,none,INFO,no,no,already enforced,run40 idor checks,FALSE_POSITIVE,FALSE_POSITIVE,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
S9,preliminary lock modification,decisions pre fields,raw UPDATE pre_action after lock,BLOCKED by trg_decisions_pre_lock_guard,CONFIRMED blocked,none,INFO,no,no,already enforced (0003 trigger),test_pre_lock_guard.py,FALSE_POSITIVE,FALSE_POSITIVE,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
S10,secrets/config + operational privilege,render.yaml + tracked source,grep for tracked secrets; inspect render.yaml,NO tracked secret (DATABASE_URL/CORS_ORIGINS sync:false; ANTHROPIC_API_KEY from env); single DATABASE_URL role is unrestricted (full DML incl UPDATE decisions) which is the privilege enabling S2,CONFIRMED config,operator role unrestricted underlies S2,LOW (no leak) / feeds S2,no,operator-only,owner decision (tied to S2: restricted app role is one permitted S2 remedy),n/a,NEEDS_OWNER_DECISION,NEEDS_OWNER_DECISION,,re-confirmed in Run 41 section 21 (code_audit/run41_security_acceptance.csv),unchanged,Not an S1/S2 blocker; carried forward unchanged and re-confirmed after the fixes.
