fault_id,module/system,invariant,baseline command,mutation target,mutation description,mutation applied?,fault command,process exit code,anchored RESULT present?,expected RED reason,actual RED reason,crash?,unrelated failure?,restored?,restored GREEN?,final status,notes
1,assets/js/knowledge.js RUN1_PROXY_QUALIFIER,the client map holds exactly the qualifiers the server still holds,cd server/tools && python3 test_run32_client_authority.py,assets/js/knowledge.js,"replace 'CUSUM: ""hard-coded transformations'",YES,cd server/tools && python3 test_run32_client_authority.py,1,YES,the client qualifier map holds EXACTLY the qualifiers the server still holds,the client qualifier map holds EXACTLY the qualifiers the server still holds -- no module is told it,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
2,assets/js/knowledge.js RUN1_PROXY_QUALIFIER,no module that routes into a canonical layer carries a proxy qualifier,cd server/tools && python3 test_run32_client_authority.py,assets/js/knowledge.js,replace 'Portfolio_Outlier:',YES,cd server/tools && python3 test_run32_client_authority.py,1,YES,the client qualifier map holds EXACTLY the qualifiers the server still holds,the client qualifier map holds EXACTLY the qualifiers the server still holds -- no module is told it,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
3,assets/js/knowledge.js RUN1_PROXY_QUALIFIER,no qualifier key is a superseded identifier,cd server/tools && python3 test_run32_client_authority.py,assets/js/knowledge.js,replace 'Portfolio_Outlier:',YES,cd server/tools && python3 test_run32_client_authority.py,1,YES,the client qualifier map holds EXACTLY the qualifiers the server still holds,the client qualifier map holds EXACTLY the qualifiers the server still holds -- no module is told it; and no qualifier key is a superseded identifier  [['Contract_Mod_Frequency']]; and no qualifier key is a superseded identifier,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
4,assets/js/taxonomy.js B3.2 row,every runtime method class is the identifier its production runner emits,cd server/tools && python3 test_run32_method_class_agreement.py,assets/js/taxonomy.js,"replace ""method_class: 'EVMS_Applicability'""",YES,cd server/tools && python3 test_run32_method_class_agreement.py,1,YES,no module carries a method class its production runner has stopped emitting,"assets/js/taxonomy.js: no module carries a method class its production runner has stopped emitting, ; and no module's status resolves to a silent null against a row that contains it  [['B3.2|getModuleSt; and no module's status resolves to a silent null against a row that contains it",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
5,assets/js/taxonomy.js numForMethodClass,the status lookup resolves rather than silently returning null,cd server/tools && python3 test_run32_method_class_agreement.py,assets/js/taxonomy.js,replace 'var num = METHOD_TO_NUM[methodClass];',YES,cd server/tools && python3 test_run32_method_class_agreement.py,1,YES,and no module's status resolves to a silent null against a row that contains it,"and every method-class to module-number lookup goes through the resolver, which reads the map exactl; and no module's status resolves to a silent null against a row that contains it  [['A1.10|getModuleS; and no module's status resolves to a silent null against a row that contains it",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
6,assets/js/taxonomy.js numForMethodClass,a method class resolves to ITS OWN module and never to another,cd server/tools && python3 test_run32_method_class_agreement.py,assets/js/taxonomy.js,replace 'var num = METHOD_TO_NUM[methodClass];',YES,cd server/tools && python3 test_run32_method_class_agreement.py,1,YES,"and every stored-row lookup returns THAT module's row, never another's","and every method-class to module-number lookup goes through the resolver, which reads the map exactl; and every stored-row lookup returns THAT module's row, never another's  [['A1.11|getModuleResult', '; and every stored-row lookup returns THAT module's row, never another's",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
7,server/tools/taxonomy_authority.json,the runtime artifact is exactly what the authorities generate,cd server/tools && python3 test_run32_client_authority.py,server/tools/taxonomy_authority.json,"replace '""color"": ""#4ea0ff""'",YES,cd server/tools && python3 test_run32_client_authority.py,1,YES,BOTH client taxonomy artifacts are exactly what the authorities generate,BOTH client taxonomy artifacts are exactly what the authorities generate: editing either one by hand,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
8,assets/js/categories.js versus taxonomy.js,"both artifacts are generated from the same authorities, so they cannot disagree",cd server/tools && python3 test_run32_client_authority.py,assets/js/categories.js,"replace ""num: 'A1.7', name: 'TCPI'""",YES,cd server/tools && python3 test_run32_client_authority.py,1,YES,BOTH client taxonomy artifacts are exactly what the authorities generate,BOTH client taxonomy artifacts are exactly what the authorities generate: editing either one by hand,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
9,index.html script imports,index.html loads the generated runtime artifact and not the researcher-side stack,cd server/tools && python3 test_run32_client_authority.py,index.html,"replace '<script src=""assets/js/taxonomy.js""></script>'",YES,cd server/tools && python3 test_run32_client_authority.py,1,YES,"index.html loads taxonomy.js, so that is the artifact the live application runs on","index.html loads taxonomy.js, so that is the artifact the live application runs on; and does not load categories.js, which is the researcher-side stack",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
10,server/tools/taxonomy_authority.json,the runtime taxonomy carries exactly the registry's identities,cd server/tools && python3 test_run32_client_authority.py,server/tools/taxonomy_authority.json,"replace '""num"": ""A1.7"",'",YES,cd server/tools && python3 test_run32_client_authority.py,1,YES,BOTH client taxonomy artifacts are exactly what the authorities generate,BOTH client taxonomy artifacts are exactly what the authorities generate: editing either one by hand,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
