canonical_id,registry_id,module,structure,defining_evidence,present_in_controlled_corpus,already_extracted,extracted_under_another_shape,assembled,reaches_module,qualification_state,parameter_provenance,genuinely_absent,reason,pass_fail
6.1,B1.1,Conservative Dominance,the assembled governed signals,the project's governed signals,yes,yes,no,yes,yes,unqualified (Category-9 gate is Run 31's),EXISTING_QUALIFIED_SIGNAL,no,the four assembled arms ARE in the corpus and DO reach the module; this row is wired and is the one Category-6 target that computes,PASS
6.2,B1.2,Weighted Voting,signalWeightPolicy,"a weighting policy for the project's governed signals: a weight for each signal, and the authority that set it",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,"no document, form or field in this corpus states a weight for a signal or names an authority that set one. A weight is not extractable from a project's evidence",PASS
6.3,B1.3,Majority Rules,the assembled governed signals,the project's governed signals,yes,yes,no,yes,yes,unqualified (Category-9 gate is Run 31's),EXISTING_QUALIFIED_SIGNAL,no,the assembled arms are in the corpus and reach the module,PASS
6.4,B1.4,Worst-N-of-M,the assembled governed signals,the project's governed signals,yes,yes,no,yes,yes,unqualified (Category-9 gate is Run 31's),EXISTING_QUALIFIED_SIGNAL,no,the assembled arms are in the corpus and reach the module,PASS
7.1,B2.1,Dempster-Shafer,evidenceMassFunctions,"bodies of evidence expressed as mass over the states being distinguished, each body naming the evidence it was read from",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,"the corpus carries no mass assignment over a stated frame. The four arm masses the shipped B2.1 uses are LITERALS IN THE MODULE, not evidence the project supplied",PASS
7.2,B2.2,Rough Sets,roughDecisionTable,"a decision table: the cases observed, the attributes recorded for each, and the decision recorded against them",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),HISTORICAL_DECISION_TABLE,yes,"the corpus holds one project's reporting periods, not a universe of cases with condition and decision attributes recorded against each",PASS
7.3,B2.3,Neutrosophic Logic,neutrosophicAssessment,"an assessment stated as three independent degrees -- how far the statement is supported, how far it is undetermined, and how far it is contradicted",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,"no field in the extraction registry is an assessed truth, indeterminacy or falsity",PASS
7.4,B2.4,Interval Fuzzy Sets,intervalFuzzyAssessment,an assessment stated as a range of membership rather than a single degree,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,no field is an assessed membership range. An interval built around a crisp index is an invented spread,PASS
7.5,B2.5,Z-numbers,zNumberAssessment,an assessment stated as a restriction together with an explicit statement of how reliable that restriction is,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,no field states how reliable an assessment is,PASS
7.6,B2.6,PLTS,probabilisticLinguisticAssessment,an assessment stated as named terms with a probability against each,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,no field carries a probability against a named linguistic term,PASS
7.7,B2.7,Plithogenic Sets,plithogenicLabStructure,"a laboratory structure of attributes, their values, appurtenance and contradiction degrees",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),RESEARCH_ONLY_LAB_STRUCTURE,yes,research-only structure; not sought in the corpus and not inferable from it,PASS
7.8,B2.8,Belief Rule Base,beliefRuleBase,"a belief rule base: the antecedent reference states, the rule and attribute weights, and the belief distribution each rule concludes",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,"no field is a rule weight, an attribute weight or an elicited belief distribution",PASS
7.9,B2.9,Quantum Probability,the assembled governed signals,the project's governed signals,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),RESEARCH_ONLY_LAB_STRUCTURE,yes,archived; no state space or measurement model exists or is sought,PASS
7.10,B2.10,Pythagorean Fuzzy Sets,pythagoreanFuzzyAssessment,an assessment stated as a membership and a non-membership degree whose squares together do not exceed one,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,no field is an assessed membership or non-membership degree,PASS
7.11,B2.11,Picture Fuzzy Sets,pictureFuzzyAssessment,"an assessment stated as positive, neutral and negative degrees that together do not exceed one",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,"no field is an assessed positive, neutral or negative degree",PASS
7.12,B2.12,Hesitant Fuzzy Sets,hesitantFuzzyAssessment,an assessment stated as the set of degrees the assessors actually gave,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,no field is a set of degrees given by several assessors,PASS
7.13,B2.13,Type-2 Fuzzy Sets,type2FuzzyAssessment,a membership with an explicit lower and upper bound at each point considered,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,no field is a membership with an upper and lower bound,PASS
7.14,B2.14,Maximum Entropy,maximumEntropyProblem,"a set of states the project may be in, and the constraints the evidence places on them",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),PROJECT_DATA_OBJECT,yes,"the corpus carries no designed state space and no moment constraint. The v14 module read min(cpi,spi) into a lookup table, which measured the lookup table",PASS
7.15,B2.15,Possibility Theory,possibilityAssessment,a possibility distribution over the states the project may be in,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,no field is a possibility degree over a state space,PASS
7.16,B2.16,Spherical Fuzzy Sets,sphericalFuzzyAssessment,"an assessment stated as membership, non-membership and hesitancy degrees whose squares together do not exceed one",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,"no field is an assessed membership, non-membership or hesitancy",PASS
7.17,B2.17,Fermatean Fuzzy Sets,fermateanFuzzyAssessment,an assessment stated as a membership and a non-membership degree whose cubes together do not exceed one,no,no,no,no,no,unqualified (Category-9 gate is Run 31's),EXPERT_ELICITATION,yes,"no field is an assessed membership pair. The v14 module was informationally a function of min(cpi,spi), which is a defect of the implementation",PASS
7.18,B2.18,MARCOS Ranking,decisionAlternatives,"an explicit decision problem: the alternatives being compared, the criteria they are compared on, and which way each criterion is better",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),DECISION_ALTERNATIVES_OBJECT,yes,"the corpus records one project's state, never a set of options being chosen between. Criteria are not alternatives and a project state is not a decision problem",PASS
7.19,B2.19,CRITIC-TOPSIS,decisionAlternatives,"an explicit decision problem: the alternatives being compared, the criteria they are compared on, and which way each criterion is better",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),DECISION_ALTERNATIVES_OBJECT,yes,the same: no alternatives x criteria matrix exists in the corpus,PASS
7.20,B2.20,Hypersoft Sets,hypersoftLabStructure,"a laboratory structure of attributes, the disjoint value sets of each, and a mapping for every combination of those values",no,no,no,no,no,unqualified (Category-9 gate is Run 31's),RESEARCH_ONLY_LAB_STRUCTURE,yes,research-only structure; not sought in the corpus and not inferable from it,PASS
