fault,blocker_class,mutated_file,applied,gate_verdict,gate_failed_lines,restored_verdict,outcome
1,frozen participant behavior changed,assets/js/decision-ui.js,APPLIED,RED,"FAILED: no file named by the governed freeze manifest differs from the ACCEPTED RELEASE, so Run 38 changed none of them   assets/js/decision-ui.js | FAILED: every manifest file that differs from the candidate differs only across the Run-37 candidate-to-release interval, not across Run 38   assets/js",GREEN,RED_FOR_INTENDED_REASON
2,controlled-stimulus mismatch,server/tools/run38_dryrun.py,APPLIED,RED,"FAILED: the six driven projects are the six projects the governed corpus names   driven=['PRJ-AIR', 'PRJ-DCT', 'PRJ-HSP', 'PRJ-HWY', 'PRJ-RAL', 'PRJ-XXX'] governed=['PRJ-AIR', 'PRJ-DCT', 'PRJ-HSP', 'PRJ-HWY', 'PRJ-RAL', 'PRJ-WTR']",GREEN,RED_FOR_INTENDED_REASON
3,participant sequence mismatch,server/tools/test_run38_readiness.py,APPLIED,RED,"FAILED: AI reveal succeeds only after the preliminary lock and returns the frozen package   {""ok"": true, ""reveal_at"": ""2026-08-19T16:22:48"", ""package"": {""package_id"": ""01M0DDA4ZK640Y13ESTNJWJHMR"", ""version"": ""r38-pkg-PRJ-AIR"", ""hash | FAILED: every recorded state-machine transition PASSes   ['awaiti",GREEN,RED_FOR_INTENDED_REASON
4,AI visible before preliminary lock,server/tools/test_run38_readiness.py,APPLIED,RED,"FAILED: AI is not visible before the preliminary lock, by any of the three read paths   reveal=preliminary judgment must be submitted and locked before the decision support package can be revealed | FAILED: every recorded state-machine transition PASSes   ['evidence_review']",GREEN,RED_FOR_INTENDED_REASON
5,preliminary lock bypass,server/tools/test_run38_readiness.py,APPLIED,RED,"FAILED: preliminary judgment is not editable after lock (API)   {'ok': False, 'error': 'preliminary judgment is already locked and cannot be resubmitted'} ('monitor', 60) | FAILED: every recorded state-machine transition PASSes   ['awaiting_reveal']",GREEN,RED_FOR_INTENDED_REASON
6,final lock bypass,server/tools/test_run38_readiness.py,APPLIED,RED,"FAILED: final judgment is not editable after the final lock (API)   {'ok': False, 'error': 'a final decision has already been recorded for this assignment'} ('escalate', 'accept', 80) | FAILED: every recorded state-machine transition PASSes   ['complete']",GREEN,RED_FOR_INTENDED_REASON
7,cross-participant leakage,server/tools/test_run38_readiness.py,APPLIED,RED,"FAILED: one participant cannot reveal another participant's assignment   {'ok': False, 'error': 'not authorized: only the current assignment may be acted on'}",GREEN,RED_FOR_INTENDED_REASON
8,future-period leakage,server/tools/test_run38_readiness.py,APPLIED,RED,"FAILED: no later period's evidence identity appears in the current-period response   {""ok"": true, ""period"": ""P1"", ""sequence_number"": 1, ""scenario_id"": ""01M0DDBR1AGKJTK3423VETT96W"", ""scenario_version"": ""r38-PRJ-AIR"", ""project_type"": ""construction"", ""period_count"": 6, ""evidence"": {""id"":",GREEN,RED_FOR_INTENDED_REASON
9,primary outcome not persisted,server/tools/run38_analysis_export.py,APPLIED,RED,FAILED: construct reconstructible: disposition toward AI   persisted=True exportable=False | FAILED: no primary study outcome is unreconstructible from persisted data    | FAILED: R consumes the frozen export with no manual cleanup   rc=1  | FAILED: every R ingestion check passes (RESULT: 34/35 chec,GREEN,RED_FOR_INTENDED_REASON
10,primary outcome not exportable,server/tools/run38_analysis_export.py,APPLIED,RED,FAILED: construct reconstructible: judgment revision   persisted=True exportable=False | FAILED: no primary study outcome is unreconstructible from persisted data    | FAILED: revision_direction re-derives from pre/final/AI action independently   39 | FAILED: R consumes the frozen export with no man,GREEN,RED_FOR_INTENDED_REASON
11,duplicate research-row ambiguity,server/tools/run38_analysis_export.py,APPLIED,RED,"FAILED: invariant: duplicate participant/project/period rows = 0   1 | FAILED: the row grain is one row per participant x project x period, proved from the key census   42 rows, 41 keys | FAILED: R consumes the frozen export with no manual cleanup   rc=1  | FAILED: every R ingestion check passes (RE",GREEN,RED_FOR_INTENDED_REASON
12,direct identifier in analysis export,server/tools/run38_analysis_export.py,APPLIED,RED,FAILED: no analysis column names a email column    | FAILED: direct identifiers in the analysis export = 0    | FAILED: invariant: direct identifiers = 0   1 | FAILED: R consumes the frozen export with no manual cleanup   rc=1  | FAILED: every R ingestion check passes (RESULT: 33/35 checks passed)  ,GREEN,RED_FOR_INTENDED_REASON
13,test/live record ambiguity,server/tools/run38_analysis_export.py,APPLIED,RED,FAILED: the study identifier is the pseudonymous code and nothing else    | FAILED: every dry-run row is labelled TEST_ONLY   {'STUDY'},GREEN,RED_FOR_INTENDED_REASON
14,export cannot reproduce provenance/version,server/tools/run38_analysis_export.py,APPLIED,RED,FAILED: invariant: missing frozen-instrument version identity = 0   41 | FAILED: R consumes the frozen export with no manual cleanup   rc=1  | FAILED: every R ingestion check passes (RESULT: 33/35 checks passed)   ,GREEN,RED_FOR_INTENDED_REASON
15,R cannot ingest the frozen export contract,research/study_execution/run38_ingest_qualification.R,APPLIED,RED,FAILED: R consumes the frozen export with no manual cleanup   rc=1  | FAILED: every R ingestion check passes (RESULT: 34/35 checks passed)   ,GREEN,RED_FOR_INTENDED_REASON
16,study session cannot resume according to documented behavior,server/tools/test_run38_readiness.py,APPLIED,RED,"FAILED: a resumed session lands exactly where the rows say   {""ok"": true, ""current_sequence_number"": 1, ""all_assignments_complete"": false, ""intake_completed"": true, ""vocabularies"": {""actions"": [""monitor"", ""investigate"", ""escalate"", ""re-baseline"", ""defer""], ""dis",GREEN,RED_FOR_INTENDED_REASON
17,browser execution failure,server/tools/test_run38_readiness.py,APPLIED,RED,FAILED: every project-period is reachable on the participant route   [],GREEN,RED_FOR_INTENDED_REASON
18,frozen version cannot be proven at session time,server/tools/run38_analysis_export.py,APPLIED,RED,FAILED: invariant: missing frozen-instrument version identity = 0   41,GREEN,RED_FOR_INTENDED_REASON
