module,parameter,current_value,current_source,parameter_class,calibration_dataset,holdout_dataset,effective_schema,effective_cohort,calibrated,field_validated,operationally_authorized,action,result
D1.1,n_trees,100,"Liu, Ting and Zhou, Isolation Forest, ICDM 2008: t = 100 is the default of the algorithm as published, not of any library and not of any fixture.",PUBLISHED_DEFAULT,"RUN34-CAL (OG-SYNTH-0.6, labelled, ground truth before detector)","RUN34-HOLDOUT (OG-SYNTH-0.6, independent draw, scored once after selection)",all schemas,the governed cohort under that schema,no,no,yes,"RUN 34 EVALUATED {100, 400, 1000} under a predeclared protocol and RETAINED 100. See code_audit/run34_ph1_tree_count_calibration.csv.",PASS
D1.1,subsample_psi,256,"Liu, Ting and Zhou: psi = 256 is the published default.",PUBLISHED_DEFAULT,none,none,all schemas,the governed cohort under that schema,no,no,yes,Not searched in Run 34.,PASS
D1.1,seed,20250815,"A fixed constant that makes a randomized ensemble reproducible. It is a reproducibility device, not a tuned value: no objective was optimised over it.",THEORETICAL_CONSTANT,none,none,all schemas,the governed cohort under that schema,no,no,yes,retained as declared,PASS
D1.1,height_limit,ceil(log2(psi)),"The published height limit, derived from psi rather than chosen.",THEORETICAL_CONSTANT,none,none,all schemas,the governed cohort under that schema,no,no,yes,retained as declared,PASS
D1.1,c(n) harmonic form,PAPER_ESTIMATE_LN_PLUS_EULER_GAMMA,"The paper's own stated estimate of the harmonic number. The deviation from the exact sum is measured and recorded, not assumed.",THEORETICAL_CONSTANT,none,none,all schemas,the governed cohort under that schema,no,no,yes,retained as declared,PASS
D1.1,frozen_synthetic_threshold,0.576,"Run 15, selected on a seeded SYNTHETIC calibration split under a predeclared objective and evaluated once on a synthetic holdout. NOT retuned by Run 34.",SYNTHETIC_LAB_CALIBRATION,"RUN34-CAL (OG-SYNTH-0.6, labelled, ground truth before detector)","RUN34-HOLDOUT (OG-SYNTH-0.6, independent draw, scored once after selection)",run15-synthetic-4feature-v1,the governed cohort under that schema,yes,no,no,"SCHEMA-BOUND AND COHORT-BOUND. It produces no flag under any other feature schema, and none below the canonical cohort size. No field calibration is claimed and it authorises nothing operationally.",PASS
D1.1,min_cohort_for_a_model,3,Run-34 contract section 6B: below three eligible projects there is no defensible cross-project anomaly model.,OWNER_POLICY,none,none,all schemas,the governed cohort under that schema,no,no,yes,"A structural minimum supplied by contract, not a cut point fitted to data.",PASS
D1.1,canonical_cohort_size,10,Run-34 contract section 6B: below ten a reading carries an explicit small-cohort limitation and no authoritative flag.,OWNER_POLICY,none,none,all schemas,the governed cohort under that schema,no,no,yes,"A structural minimum supplied by contract, not a cut point fitted to data.",PASS
D1.1,operational_anomaly_threshold,none,No operational anomaly threshold exists for any schema. None was created by Run 34.,UNSUPPORTED,none,none,all schemas,the governed cohort under that schema,no,no,no,UNSUPPORTED AND THEREFORE NOT APPLIED: PH.1 emits a continuous score and no operational flag. Calibration and validation are Run-34/35 remainder.,PASS
D1.2,feature_weights,none,"No governed feature weights exist. Equal weighting is an owner-policy choice, not a canonical fact, and Run 34 did not adopt it as a default.",UNSUPPORTED,none,none,all schemas,the governed cohort under that schema,no,no,no,NOT APPLIED: without governed weights the module returns the per-feature percentile profile and the composite is NONE.,PASS
D1.2,percentile_bands,none,No percentile-to-status mapping is calibrated or authorised.,UNSUPPORTED,none,none,all schemas,the governed cohort under that schema,no,no,no,NOT APPLIED: no status colour and no band is emitted.,PASS
D1.3,min_observations,3,"Run-34 contract section 8A, predeclared before any fixture was scored: fewer than three observations is NOT_ESTIMABLE for a trajectory.",OWNER_POLICY,none,none,all schemas,the governed cohort under that schema,no,no,yes,retained as declared,PASS
D1.3,numerical_zero_tolerance,1e-12,Floating-point zero handling for the sign of an exactly-zero slope.,THEORETICAL_CONSTANT,none,none,all schemas,the governed cohort under that schema,no,no,yes,"NUMERICAL TOLERANCE, NOT AN OPERATIONAL BAND. No magnitude of slope is graded.",PASS
D1.3,slope_magnitude_bands,none,No slope magnitude band is calibrated or authorised.,UNSUPPORTED,none,none,all schemas,the governed cohort under that schema,no,no,no,"NOT APPLIED: direction only, from the sign of the adverse slope.",PASS
D1.4,match_radius,none,The v20 fixed radius of 0.15 was never validated and was retired in Run 33. No replacement was invented in Run 34.,UNSUPPORTED,none,none,all schemas,the governed cohort under that schema,no,no,no,NOT APPLIED: PH.4 reports the continuous nearest-neighbour relationship only.,PASS
D1.4,tie_rule,ALL_TIED_NEIGHBOURS_IN_ASCENDING_PROJECT_ID_ORDER,"A declared deterministic tie rule, so that ordering cannot depend on input order.",OWNER_POLICY,none,none,all schemas,the governed cohort under that schema,no,no,yes,"A determinism device, not a tuned value.",PASS
D1.4,standardisation,COHORT_Z_SCORE_POPULATION_SD,"The declared cohort preprocessing, applied identically to every member.",OWNER_POLICY,none,none,all schemas,the governed cohort under that schema,no,no,yes,retained as declared,PASS
D1.5,constituent_weights,none,"No governed constituent weights exist. They may not be invented, may not be defaulted to equal, and may not be derived from the same synthetic fixture the composite would be evaluated on.",UNSUPPORTED,none,none,all schemas,the governed cohort under that schema,no,no,no,NOT APPLIED: composite score is NONE under PARAMETER_PROVENANCE_BLOCKED.,PASS
D1.5,missingness_policy,none,No governed missingness policy exists for an absent constituent.,UNSUPPORTED,none,none,all schemas,the governed cohort under that schema,no,no,no,NOT APPLIED: the composite abstains rather than reweighting the remainder.,PASS
-,UNCLASSIFIED PARAMETERS,0,-,-,-,-,-,-,-,-,-,every parameter carries exactly one of the seven declared classes,PASS
-,UNSUPPORTED PARAMETERS APPLIED,0,-,-,-,-,-,-,-,-,-,an UNSUPPORTED parameter is recorded but may never be applied to produce an operational reading,PASS
