category,module,authoritative_current_name,old_id,registry_category,activation,voting,current_runner,canonical_runner,evidence_source,qualification_use,gated,lineage_status,legacy_route_reachable,simulation_version,status
Category 8,A6.1,Quality Compliance Index,8.6,Delivery Quality Performance,ACTIVE,NO,app.simulation.models_cat89.run_A6_1,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,requirement_conformance,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,A6.2,Safety Performance Index,8.7,Delivery Quality Performance,ACTIVE,NO,app.simulation.models_cat89.run_A6_2,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,safety_measurement,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,A6.3,Environmental Compliance Rate,8.8,Delivery Quality Performance,ACTIVE,NO,app.simulation.models_cat89.run_A6_3,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,environmental_conformance,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,A6.4,Contractor Performance Assessment Signal,8.9,Delivery Quality Performance,ACTIVE,NO,app.simulation.models_cat89.run_A6_4,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,official_assessment_ingestion,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,B3.1,Agent-Based Governance Model,8.1,Regulatory & Authority Thresholds,ACTIVE,NO,app.simulation.models_cat89.run_B3_1,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,governance_authorization,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,B3.2,FAR/Agency EVMS Applicability Monitor,8.2,Regulatory & Authority Thresholds,ACTIVE,NO,app.simulation.models_cat89.run_B3_2,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,regulatory_applicability,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,B3.3,Versioned A-11 Capital Programming Conformance Check,8.3,Regulatory & Authority Thresholds,ACTIVE,NO,app.simulation.models_cat89.run_B3_3,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,regulatory_conformance,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,B3.4,EVMS Reporting Compliance Monitor,8.4,Regulatory & Authority Thresholds,ACTIVE,NO,app.simulation.models_cat89.run_B3_4,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,regulatory_conformance,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 8,B3.5,Contract Modification Governance Check,8.5,Regulatory & Authority Thresholds,ACTIVE,NO,app.simulation.models_cat89.run_B3_5,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,governance_authority_check,YES,LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 9,C1.1,Missing Data Index,9.1,Data Integrity,ACTIVE,NO,app.simulation.models_cat89.run_C1_1,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,quality_assessment,NO (Cat 9 performs the assessment),LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 9,C1.2,Data Timeliness Score,9.2,Data Integrity,ACTIVE,NO,app.simulation.models_cat89.run_C1_2,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,quality_assessment,NO (Cat 9 performs the assessment),LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 9,C1.3,Source Reliability Weighting,9.3,Data Integrity,ACTIVE,NO,app.simulation.models_cat89.run_C1_3,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,quality_assessment,NO (Cat 9 performs the assessment),LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 9,C1.4,Audit Trail Completeness,9.4,Data Integrity,ACTIVE,NO,app.simulation.models_cat89.run_C1_4,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,quality_assessment,NO (Cat 9 performs the assessment),LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 9,C1.5,Information Completeness Ratio,9.5,Data Integrity,ACTIVE,NO,app.simulation.models_cat89.run_C1_5,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,quality_assessment,NO (Cat 9 performs the assessment),LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 9,C1.6,Cross-document Consistency Score,9.6,Data Integrity,ACTIVE,NO,app.simulation.models_cat89.run_C1_6,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,quality_assessment,NO (Cat 9 performs the assessment),LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
Category 9,C1.7,Reporting Frequency Index,9.7,Data Integrity,ACTIVE,NO,app.simulation.models_cat89.run_C1_7,models_cat89.CAT89_CANONICAL -> canonical_v6,canonical_v6 governed structure via project-data intake / corpus assembly,quality_assessment,NO (Cat 9 performs the assessment),LINEAGE_UNRESOLVED,NO,sim-2026.08-v18,PASS
