module_id,module_name,state,spec_section_located,definition_matches,oracle_matches,disposition_allowed,production_used_as_own_oracle,prior_disposition,notes
1.1,Monte Carlo EAC,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_PASS_CALIBRATION_PENDING,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.2,CUSUM Anomaly Monitor,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_PASS_CALIBRATION_PENDING,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.3,Bayesian EAC,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_PASS_CALIBRATION_PENDING,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.4,Kalman Filter SPI Smoother,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_PASS_CALIBRATION_PENDING,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.5,ARIMA CPI Forecast,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,METHOD_LABEL_MISMATCH,"the prior suite's block for this module does not call the independent oracle, so oracle independence is not mechanically proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
1.6,Earned Schedule,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_LABEL_MISMATCH,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.7,TCPI,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,SCIENTIFIC_PASS,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.8,Variance at Completion,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,SCIENTIFIC_PASS,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.9,Budget Execution Rate,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,CORRECT_PROXY_ONLY,"the prior suite's block for this module does not call the independent oracle, so oracle independence is not mechanically proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
1.10,Regression to Mean CPI,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,MISSING_CANONICAL_DATA_STRUCTURE,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
1.11,ICE Ratio,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,METHOD_LABEL_MISMATCH,"the prior suite's block for this module does not call the independent oracle, so oracle independence is not mechanically proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
6.1,Conservative Dominance,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,IMPLEMENTATION_DEFECT,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
6.2,Weighted Voting,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_LABEL_MISMATCH,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
6.3,Majority Rules,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_PASS_CALIBRATION_PENDING,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
6.4,Worst-N-of-M,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,IMPLEMENTATION_DEFECT,"the prior suite's block for this module does not call the independent oracle, so oracle independence is not mechanically proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
7.1,Dempster-Shafer,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,no,METHOD_PASS_CALIBRATION_PENDING,the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all
PH.1,Isolation Forest,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,METHOD_PASS_CALIBRATION_PENDING,"the prior suite carries no `mid = ""PH.1""` block marker, so this module's oracle use cannot be located and is not proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
PH.2,Portfolio Outlier Detection,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,CORRECT_PROXY_ONLY,"the prior suite carries no `mid = ""PH.2""` block marker, so this module's oracle use cannot be located and is not proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
PH.3,Signal Trajectory Classifier,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,CORRECT_PROXY_ONLY,"the prior suite carries no `mid = ""PH.3""` block marker, so this module's oracle use cannot be located and is not proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
PH.4,Cross-project Pattern Detector,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,OWNER_DECISION_REQUIRED,"the prior suite carries no `mid = ""PH.4""` block marker, so this module's oracle use cannot be located and is not proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
PH.5,Anomaly Score,INCOMPLETE_EVIDENCE,yes,yes,yes,yes,UNPROVEN,IMPLEMENTATION_DEFECT,"the prior suite carries no `mid = ""PH.5""` block marker, so this module's oracle use cannot be located and is not proved; the prior suite does NOT re-execute green: ModuleNotFoundError: No module named 'app.simulation.portfolio' and it printed no verdict line at all"
