fault_id,module_system,protected_invariant,baseline_command,baseline_result,mutation_target,mutation_description,mutation_applied,evidence_mutation_applied,fault_command,process_exit_code,anchored_result_present,expected_red_reason,actual_red_reason,crash,unrelated_failure,restored,restored_green,final_status,notes
1,Category 6,raw unassessed signal is ineligible,test_run31_pass2_acceptance,69/69,server/app/simulation/qualification_contract.py,"    # FAULT
",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,Signal Synthesis leaves the required population; its four routes stop being gated,66/73,NO,NO,YES,YES,PASS,
2,Category 7,raw unassessed evidence is ineligible,test_run31_pass2_acceptance,69/69,server/app/simulation/qualification_contract.py,"    # FAULT
",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,Evidence Combination leaves the required population; its twenty routes stop being gated,66/86,NO,NO,YES,YES,PASS,
3,Category 8,raw unassessed evidence is ineligible,test_run31_pass2_acceptance,69/69,server/app/simulation/qualification_contract.py,"    # FAULT
",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,Category-8 B3 leaves the required population,59/74,NO,NO,YES,YES,PASS,
4,Category 10,raw unassessed state is ineligible,test_run31_pass2_acceptance,69/69,server/app/simulation/qualification_contract.py,"    # FAULT
",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,Decision Optimization leaves the required population,57/72,NO,NO,YES,YES,PASS,
5,Category 9,Cat-9 is never a project-risk vote,test_run31_pass2_acceptance,69/69,server/app/simulation/registry.py,"    ""A1.8"",   # Variance at Completion
    ""C1.1"",
})",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,a Category-9 module enters the voting set,67/69,NO,NO,YES,YES,PASS,
6,9.1,missing is not zero,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    missing = [f for f in applicable if f not in values],YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,"a null mandatory field stops counting as missing, i.e. is imputed",245/246,NO,NO,YES,YES,PASS,
7,lineage,UNRESOLVED is never independent,test_run31_pass2_acceptance,69/69,server/app/simulation/lineage.py,"    return True  # FAULT
    if status not in LINEAGE_STATES",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,"every lineage state answers independent, including UNRESOLVED",66/69,NO,NO,YES,YES,PASS,
8,abstention,abstention is never Green,test_run31_canonical_oracles,246/246,server/app/simulation/models.py,"        ""status_color"": ""Green"",
        ""insufficient_data""",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an abstention carries a favourable band,244/246,NO,NO,YES,YES,PASS,
9,9.1,not-applicable leaves the denominator,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    applicable = list(required),YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,not-applicable fields re-enter the denominator and count as missing,242/246,NO,NO,YES,YES,PASS,
10,9.1,zero is a value,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    missing = [f for f in applicable if not values.get(f)],YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a zero-valued required field counts as missing,243/246,NO,NO,YES,YES,PASS,
11,9.2,stale is not timely,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    fresh = True,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a 40-day record under a 30-day rule reports TIMELY,242/246,NO,NO,YES,YES,PASS,
12,9.2,future-dated is not timely,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"    if False:
        base[""timeliness_status""] = FUTURE_DAT",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a future-dated record is treated as timely,245/246,NO,NO,YES,YES,PASS,
13,9.2,no universal freshness window,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    allowed = 30,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,one universal window replaces the source/use-class rule,245/246,NO,NO,YES,YES,PASS,
14,9.3,BAC has no place in reliability,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        ""source_authority"": structure.get(""bac"") or structur",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,BAC enters the reliability component set,245/246,NO,NO,YES,YES,PASS,
15,9.3,no governed mapping means no weight,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"            ""reliability_weight"": 1.0,",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,missing numerical reliability silently becomes 1,244/246,NO,NO,YES,YES,PASS,
16,9.3,verification is monotone under the rubric,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,            total -= float(table[key]),YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,improving verification decreases the configured reliability,243/246,NO,NO,YES,YES,PASS,
17,9.4,critical audit fields are noncompensatory,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"    atc = min(1.0, (len(have) + len(present_set - set(requir",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,optional fields compensate for a missing mandatory element,245/246,NO,NO,YES,YES,PASS,
