canonical_id,registry_id,module,canonical_structure_implemented,canonical_mathematics_implemented,production_runner_canonical,legacy_production_path_reachable,production_supply_path,real_corpus_populated,oracle_through_production_pass,invalid_admissibility_pass,operational_result,abstains,parameter_provenance,disabled_or_archive,lineage,lineage_status,independence_established,run31_pending,run33_pending,activation,final_disposition
6.1,B1.1,Conservative Dominance,yes,yes,yes,no,yes (the assembled governed signals),yes,yes,yes,yes,yes,EXISTING_QUALIFIED_SIGNAL,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate that decides which signals are eligible,empirical validity of the synthesised state,ADVISORY_ONLY,SCIENTIFIC_PASS
6.2,B1.2,Weighted Voting,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the weights and their calibration,ADVISORY_ONLY,CORRECT_PROXY_ONLY
6.3,B1.3,Majority Rules,yes,yes,yes,no,yes (the assembled governed signals),yes,yes,yes,yes,yes,EXISTING_QUALIFIED_SIGNAL,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,empirical validity of the majority,ADVISORY_ONLY,CORRECT_ABSTENTION
6.4,B1.4,Worst-N-of-M,yes,yes,yes,no,yes (the assembled governed signals),yes,yes,yes,yes,yes,EXISTING_QUALIFIED_SIGNAL,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the boundaries and their calibration,ADVISORY_ONLY,PARAMETER_PROVENANCE_BLOCKED
7.1,B2.1,Dempster-Shafer,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,mass provenance and calibration,ADVISORY_ONLY,METHOD_PASS_CALIBRATION_PENDING
7.2,B2.2,Rough Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,HISTORICAL_DECISION_TABLE,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,attribute selection and validation,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.3,B2.3,Neutrosophic Logic,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the mapping and its validation,ADVISORY_ONLY,METHOD_PASS_CALIBRATION_PENDING
7.4,B2.4,Interval Fuzzy Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the bounds and their calibration,ADVISORY_ONLY,METHOD_PASS_CALIBRATION_PENDING
7.5,B2.5,Z-numbers,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,"the reduction operator, the terms and calibration",ADVISORY_ONLY,METHOD_PASS_CALIBRATION_PENDING
7.6,B2.6,PLTS,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the probabilities and their calibration,ADVISORY_ONLY,METHOD_PASS_CALIBRATION_PENDING
