aspect,statement
what this release IS,"A frozen, checksummed, reproducible research-instrument baseline: a specific commit of the server, the frontend, the analytical registry, the Category-9 and lineage layer, the participant workflow and the deployment configuration, with every production file discovered from the deployed tree and hashed, and with the controlling supervisory specification pinned by an executable guard for the first time."
what this release IS NOT,"It is NOT a claim of validated analytical performance. No module in this instrument has been validated against a labelled corpus of project outcomes or an expert reference standard, because neither exists yet; that is Study A in the praxis two-study architecture and it is a research programme, not an engineering task. Of the hundred scientific targets, three are SCIENTIFIC_PASS. The remaining ninety-seven carry truthful lesser dispositions and the freeze records them as they are."
what may be claimed,"That the instrument computes what its committed specification says it computes, in the ways Run 20 qualified; that the website presents that truthfully, as Run 21 qualified; that the participant protocol is enforced server-side; that exactly two modules vote; that eight concept-only modules and Material Cost Variance are disabled and cannot compute; and that this exact baseline is reproducible from a clean checkout of a named commit."
what may NOT be claimed,"That any module is empirically accurate. That any module output is a regulatory determination -- ninety-nine of a hundred targets are explicitly NOT_A_REGULATORY_DETERMINATION and the hundredth is REGULATORY_VERSION_BLOCKED. That module accuracy is a participant-facing property; the praxis constraints forbid it explicitly."
scientific population,"100 targets: 96 registered project modules (registry groups A, B and C) minus Material Cost Variance A3.4 which is excluded from the active scientific population, giving 95 project targets, plus 5 portfolio targets (group D). 100 unique canonical identifiers. Derived from the registry at release time, not copied from a report."
voting,"Exactly 2, derived from registry.CORE_VOTING_MODULES = {A1.7 TCPI, A1.8 Variance at Completion}. Proved red by a mutation adding a third."
disabled,"9 modules the server refuses to execute: 8 concept-only (A3.8, B2.7, B2.9, B2.20, B4.1, B4.2, B4.5, B4.6) plus Material Cost Variance A3.4, held separately because it is disabled pending an evidence-design decision and is NOT classified as algorithmically invalid. Concept-only ACTIVATION is 0."
Material Cost Variance identity,"CANONICAL ID A3.4. The owner's prompt calls it 'Material Cost Variance 3.4'; 3.4 is not its canonical identifier and its old_id is in fact 3.5. The standing programme rule that p0-baseline/module_renumbering_map.csv's old_id column is not canonical identity is applied here: the module is identified as A3.4 throughout."
participant protocol,"UNCHANGED. evidence -> preliminary response and confidence -> server lock -> AI reveal -> final response, confidence, disposition, evidence and rationale -> server final lock -> next valid period or assignment. No randomisation, stage order, condition or assignment rule was altered by Run 22."
periods per assignment,"2, from the committed provisioning record and the locked praxis design. Run 22 additionally proved the transition machinery generalises to 3 (P1 -> P2 -> P3) so that a later advisor decision to raise the period count does not meet untested code. That is generalisation evidence about the instrument and is NOT a protocol claim."
reproducibility,"Established by a clean isolated checkout of the release commit, rebuilt from committed configuration only, with the production and authority manifests verified and the complete suite re-run there."
known limitations carried,"Queue items 1 (participant-surface rename, owner), 2 (B1.4 Worst-N-of-M N has no source), 3 (PH.5 anomaly-score weights uncalibrated), 4 (empirical validation as a research programme); and the reload residual risk on a participant machine that falls back to software WebGL."
production Postgres,"NOT ACCESSED. Every database in this run was a throwaway SQLite file created by `alembic upgrade head` under a temporary directory. No production credential or secret was read or used."
external authority,"Tavily and live web were unavailable in this session. No item was closed by guessing an external fact; items 2 and 3 are recorded blocked with that reason."
