module_id,canonical_name,category,layer,implementation_path,registry_status,enabled,disabled,executable,voting,advisory,concept_only,synthetic_fixture_available,canonical_structure_required,reference_dataset_required,expected_runtime_behavior,simulation_version
A1.1,Monte Carlo EAC,A1,PROJECT,server/app/simulation/models.py::run_monte_carlo_module,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.2,CUSUM Anomaly Monitor,A1,PROJECT,server/app/simulation/models.py::run_cusum_module,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.3,Bayesian EAC,A1,PROJECT,server/app/simulation/models_evm.py::run_bayesian_eac,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.4,Kalman Filter SPI Smoother,A1,PROJECT,server/app/simulation/models_evm.py::run_kalman_filter,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.5,ARIMA CPI Forecast,A1,PROJECT,server/app/simulation/models_evm.py::run_arima_forecast,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.6,Earned Schedule,A1,PROJECT,server/app/simulation/models_evm.py::run_earned_schedule,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.7,TCPI,A1,PROJECT,server/app/simulation/models_evm.py::run_tcpi,ENABLED_QUALIFIED,YES,NO,YES,YES,NO,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.8,Variance at Completion,A1,PROJECT,server/app/simulation/models_evm.py::run_vac,ENABLED_QUALIFIED,YES,NO,YES,YES,NO,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.9,Budget Execution Rate,A1,PROJECT,server/app/simulation/models_evm.py::run_budget_execution,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.10,Regression to Mean CPI,A1,PROJECT,server/app/simulation/models_evm.py::run_regression_to_mean,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A1.11,ICE Ratio,A1,PROJECT,server/app/simulation/models_evm.py::run_ice_ratio,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.1,PERT Network Criticality,A2,PROJECT,server/app/simulation/models.py::run_pert,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.2,Line of Balance,A2,PROJECT,server/app/simulation/models.py::run_lob,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,lobStructure,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.3,CCPM Buffer Health,A2,PROJECT,server/app/simulation/models.py::run_ccpm,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,ccpmStructure,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.4,Schedule Compression Index,A2,PROJECT,server/app/simulation/models_ext.py::run_schedule_compression,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.5,Float Consumption Rate,A2,PROJECT,server/app/simulation/models_ext.py::run_float_consumption,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.6,S-Curve Deviation,A2,PROJECT,server/app/simulation/models_ext.py::run_scurve_deviation,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.7,Milestone Trend Analysis,A2,PROJECT,server/app/simulation/models_ext.py::run_milestone_trend,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
