structure,modules_served,producer_or_intake,production_reachable,reasonably_supplyable,real_corpus_populated,canonical_validation_point,behaviour_when_absent,why_corpus_is_empty
agentSupplyChainModel,A5.7,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.agent_supply_chain,A5.7 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
changeEventRegister,A4.6,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.change_frequency,A4.6 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
claimDisputeRegister,A4.7,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.dispute_escalation,A4.7 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
desProcessModel,A5.8,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.des_process_model,A5.8 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
documentRiskEvidence,A4.1,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store -> documents.py re-derives docRiskScore from it,yes,yes,no,"canonical_v4.document_risk_evidence, and the derivation recorded on docRiskScoreDerivation",the extraction pipeline's opaque per-document scalar is left exactly as it was and no provenance is fabricated for it,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
dsmDependencyModel,A5.1,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.dsm_rework_propagation,A5.1 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
ncrExposureRecord,A4.4,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.ncr_rate,A4.4 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
procurementItems,A4.9,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.procurement_slack,A4.9 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
queueModel,A5.6,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.queue_model,A5.6 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
rfiEventLog,A4.2,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.rfi_velocity,"A4.2 falls back to the extracted register totals, which compute the SAME canonical formula from a thinner record; with neither, it abstains",no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
scenarioSet,A5.4,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.scenario_modeling,A5.4 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
sensitivityModel,A5.2 A5.3,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.sensitivity_analysis and canonical_v4.tornado_ranking,"A5.2 and A5.3 both abstain, and A5.3 abstains because A5.2 produced nothing for it to rank",no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
specificationConflictRegister,A4.10,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.specification_conflict_density,A4.10 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
subcontractorAssessments,A4.8,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.subcontractor_performance,A4.8 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
submittalDecisionRegister,A4.3,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.submittal_rejection,"A4.3 falls back to the extracted register totals, which compute the SAME canonical formula; with neither, it abstains",no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
systemDynamicsModel,A5.5,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.rework_feedback_loop,A5.5 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
weatherImpactEvents,A4.5,server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,yes,yes,no,canonical_v4.weather_day_impact,A4.5 abstains,no project in this repository's corpus has supplied one through the governed intake yet; the path exists and is exercised end to end by server/tools/test_run29_supply_path_guard.py
