project,period,recommendation_id,content_digest,source,displayed_digest,note
PRJ-AIR,P01,pkg-<assignment PRJ-AIR>,<digest-PRJ-AIR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-AIR>,identical across all 6 periods of PRJ-AIR
PRJ-AIR,P02,pkg-<assignment PRJ-AIR>,<digest-PRJ-AIR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-AIR>,identical across all 6 periods of PRJ-AIR
PRJ-AIR,P03,pkg-<assignment PRJ-AIR>,<digest-PRJ-AIR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-AIR>,identical across all 6 periods of PRJ-AIR
PRJ-AIR,P04,pkg-<assignment PRJ-AIR>,<digest-PRJ-AIR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-AIR>,identical across all 6 periods of PRJ-AIR
PRJ-AIR,P05,pkg-<assignment PRJ-AIR>,<digest-PRJ-AIR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-AIR>,identical across all 6 periods of PRJ-AIR
PRJ-AIR,P06,pkg-<assignment PRJ-AIR>,<digest-PRJ-AIR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-AIR>,identical across all 6 periods of PRJ-AIR
PRJ-DCT,P01,pkg-<assignment PRJ-DCT>,<digest-PRJ-DCT>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-DCT>,identical across all 6 periods of PRJ-DCT
PRJ-DCT,P02,pkg-<assignment PRJ-DCT>,<digest-PRJ-DCT>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-DCT>,identical across all 6 periods of PRJ-DCT
PRJ-DCT,P03,pkg-<assignment PRJ-DCT>,<digest-PRJ-DCT>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-DCT>,identical across all 6 periods of PRJ-DCT
PRJ-DCT,P04,pkg-<assignment PRJ-DCT>,<digest-PRJ-DCT>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-DCT>,identical across all 6 periods of PRJ-DCT
PRJ-DCT,P05,pkg-<assignment PRJ-DCT>,<digest-PRJ-DCT>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-DCT>,identical across all 6 periods of PRJ-DCT
PRJ-DCT,P06,pkg-<assignment PRJ-DCT>,<digest-PRJ-DCT>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-DCT>,identical across all 6 periods of PRJ-DCT
PRJ-HSP,P01,pkg-<assignment PRJ-HSP>,<digest-PRJ-HSP>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HSP>,identical across all 6 periods of PRJ-HSP
PRJ-HSP,P02,pkg-<assignment PRJ-HSP>,<digest-PRJ-HSP>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HSP>,identical across all 6 periods of PRJ-HSP
