suite,test,module,old expectation,current canonical behavior,classification,required action,historical implementation used?,current-production invariant?,fixture purpose,fixture enrichment required?,post-fix result,PASS/FAIL
server/tools/test_run14_disabled_method_functional.py,"B4.1: the score is 0.48 and the band is Amber, derived by hand  (None, None)",B4.1 Multi-Objective Optimization,"v19 blended cpi, spi and 1-docRiskScore into a mean it called pareto_score, and named the lowest of three descriptive scores a binding constraint","canonical dominance over an explicit governed alternative set; abstains canonical_decision_structure_absent when decisionAlternatives is absent, and never names a single best alternative",HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,B4.1: and the lowest scoring objective is named  None,B4.1 Multi-Objective Optimization,"v19 blended cpi, spi and 1-docRiskScore into a mean it called pareto_score, and named the lowest of three descriptive scores a binding constraint","canonical dominance over an explicit governed alternative set; abstains canonical_decision_structure_absent when decisionAlternatives is absent, and never names a single best alternative",HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,"B4.1: three objectives are present, which is the one part of the definition it satisfies",B4.1 Multi-Objective Optimization,"v19 blended cpi, spi and 1-docRiskScore into a mean it called pareto_score, and named the lowest of three descriptive scores a binding constraint","canonical dominance over an explicit governed alternative set; abstains canonical_decision_structure_absent when decisionAlternatives is absent, and never names a single best alternative",HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,"B4.1: the score responds to each objective, so the scalarisation is real even though the search is not  [None]",B4.1 Multi-Objective Optimization,"v19 blended cpi, spi and 1-docRiskScore into a mean it called pareto_score, and named the lowest of three descriptive scores a binding constraint","canonical dominance over an explicit governed alternative set; abstains canonical_decision_structure_absent when decisionAlternatives is absent, and never names a single best alternative",HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,B4.1: a fault in an isolated copy changes its behaviour  UNPROVEN: no mutation changed behaviour,B4.1 Multi-Objective Optimization,"v19 blended cpi, spi and 1-docRiskScore into a mean it called pareto_score, and named the lowest of three descriptive scores a binding constraint","canonical dominance over an explicit governed alternative set; abstains canonical_decision_structure_absent when decisionAlternatives is absent, and never names a single best alternative",HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,"B4.2: the required index is 1.071 and the band is Amber, derived by hand  (None, None)",B4.2 Linear Programming,v19 divided remaining work by remaining budget into a required index and called it feasible at <=1.20 and optimal at <=1.00,exact vertex enumeration over rationals on a governed linearProgramModel; abstains canonical_decision_structure_absent when the program is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,B4.2: it reports feasible and not optimal on that input,B4.2 Linear Programming,v19 divided remaining work by remaining budget into a required index and called it feasible at <=1.20 and optimal at <=1.00,exact vertex enumeration over rationals on a governed linearProgramModel; abstains canonical_decision_structure_absent when the program is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,"B4.2: a budget already exhausted is reported infeasible, and that is a determinate outcome of the arithmetic rather than a band  Awaiting a governed linear program: decision variables, obje",B4.2 Linear Programming,v19 divided remaining work by remaining budget into a required index and called it feasible at <=1.20 and optimal at <=1.00,exact vertex enumeration over rationals on a governed linearProgramModel; abstains canonical_decision_structure_absent when the program is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,B4.2: and the ratio responds to the figures it is built from  None,B4.2 Linear Programming,v19 divided remaining work by remaining budget into a required index and called it feasible at <=1.20 and optimal at <=1.00,exact vertex enumeration over rationals on a governed linearProgramModel; abstains canonical_decision_structure_absent when the program is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,B4.2: a fault in an isolated copy changes its behaviour  UNPROVEN: no mutation changed behaviour,B4.2 Linear Programming,v19 divided remaining work by remaining budget into a required index and called it feasible at <=1.20 and optimal at <=1.00,exact vertex enumeration over rationals on a governed linearProgramModel; abstains canonical_decision_structure_absent when the program is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,"B4.5: the top driver is the document risk at 46 per cent of the total, derived by hand  (None, None)",B4.5 Decision Sensitivity Matrix,"v19 ranked today's absolute cpi and spi deviations and docRiskScore*50 by size, perturbing and recomputing nothing",weighted-additive model perturbed over a declared range with exact ranking-crossover solving; abstains canonical_decision_structure_absent when decisionSensitivityModel is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,B4.5: and 17.5 lands Red on the shipped ladder  None,B4.5 Decision Sensitivity Matrix,"v19 ranked today's absolute cpi and spi deviations and docRiskScore*50 by size, perturbing and recomputing nothing",weighted-additive model perturbed over a declared range with exact ranking-crossover solving; abstains canonical_decision_structure_absent when decisionSensitivityModel is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,"B4.5: a real perturbation of an input does change the reported shares, so the reported quantity is a function of the inputs",B4.5 Decision Sensitivity Matrix,"v19 ranked today's absolute cpi and spi deviations and docRiskScore*50 by size, perturbing and recomputing nothing",weighted-additive model perturbed over a declared range with exact ranking-crossover solving; abstains canonical_decision_structure_absent when decisionSensitivityModel is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
server/tools/test_run14_disabled_method_functional.py,"B4.5: with both indices exactly at their reference the whole share falls to the third driver, which shows the share is a distance from a reference and not an influence on any decision  None",B4.5 Decision Sensitivity Matrix,"v19 ranked today's absolute cpi and spi deviations and docRiskScore*50 by size, perturbing and recomputing nothing",weighted-additive model perturbed over a declared range with exact ranking-crossover solving; abstains canonical_decision_structure_absent when decisionSensitivityModel is absent,HISTORICAL_ONLY,"execute the preserved v19 runner in run32_historical_cat10.py, reproduce the original assertion unchanged against it, then assert_not_reachable proving v20 production reaches it on no route",YES - run32_historical_cat10.py preserved v19 runner,NO - the assertion describes v19 only; the standing v20 invariant asserted alongside it is that no production route reaches this behaviour,"Run 14 established that a DISABLED module's shipped arithmetic was still functional and still a proxy; the finding is about the v19 implementation, not about v20",NO,113/113 checks passed,PASS
