module_id,module_name,category_number,category_name,synthetic_package,primary_files,proposed_owner_action,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
2.1,PERT Network Criticality,2,Schedule Analytics,A,schedule_activities.csv|schedule_dependencies.csv|schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4a65bfd2196bc9c1737356c89516bb1b58b72f6f6eba2e98fe5e29dffab6dcd7
2.2,Line of Balance,2,Schedule Analytics,A,lob_work_packages.csv|lob_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fe2e9864a33f7d9f49d3ffa27bb8aa79f1c5c32da65b3c234c83b71f0dc75110
2.3,CCPM Buffer Health,2,Schedule Analytics,A,ccpm_buffers.csv|ccpm_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,73dbefd14e0b4650b854112abb6111e14a0fd53d855d5953f0c1f891b8ea587f
2.5,Float Consumption Rate,2,Schedule Analytics,A,schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,53023cfcbad570c8e86b8f7bf3863d02c766d8d06c70c615219e108a9579b92b
2.10,Schedule Risk Analysis P80,2,Schedule Analytics,A,schedule_activities.csv|schedule_dependencies.csv|schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ac28db3fb938aafff87ac06cff87283a33656d1b3dc47562a7e4fb75f210557b
2.11,Critical Path Index,2,Schedule Analytics,A,schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20e82d8262ae95da6747516e5cfb8f7121c822435e906a55e9f5789a44292c90
3.6,Cost Risk Analysis P80,3,Cost Risk,A,cost_elements.csv|cost_risk_events.csv|cost_correlations.csv|cost_risk_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,70b3b79de855c30a5a3b02389b7cda3669ed1a283c98a404f2134abae4944e31
4.5,Weather Day Impact,4,Document & Risk Signals,A,weather_events.csv|activity_weather_impacts.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fad8e059b7b83f5656cb64017bd6739572cb4544e55f68f8c6564a2d286ee334
4.7,Dispute Escalation Index,4,Document & Risk Signals,A,claims.csv|dispute_events.csv|dispute_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,37a583bfdb90f02d9bd9f71e6a59772eb3fa5f6d6fa1c98c44cb95465bb12177
4.10,Specification Conflict Density,4,Document & Risk Signals,A,specification_conflicts.csv|specification_exposure.csv|specification_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cdea0d099928e7fcc91d76f382ee33ddc5bd69fcb59bf76559c5a09f248a8f5f
