module_id,module_name,category_number,category_name,run6_coverage_state,run6_reason_not_covered,activation_state,implementation_status,voting_state,current_code_path,public_execution_path
A1.1,Monte Carlo EAC,A1,Cost and forecast,NOT_COVERED,"too involved to hand-compute (5,000 Beta-PERT draws)",ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models.py::run_monte_carlo_module,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A1.5,ARIMA CPI Forecast,A1,Cost and forecast,NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_evm.py::run_arima_forecast,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A1.6,Earned Schedule,A1,Cost and forecast,NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_evm.py::run_earned_schedule,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A1.11,ICE Ratio,A1,Cost and forecast,NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_evm.py::run_ice_ratio,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A2.1,PERT Network Criticality,A2,Schedule,NOT_COVERED,constant independent of the project (pre-Run 7); Run 7 made it require the index,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models.py::run_pert,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A2.2,Line of Balance,A2,Schedule,NOT_COVERED,constant-producing (pre-Run 7); Run 7 made it require the index,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models.py::run_lob,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A2.3,CCPM Buffer Health,A2,Schedule,NOT_COVERED,constant-producing (pre-Run 7); Run 7 made it require index and completion,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models.py::run_ccpm,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A2.5,Float Consumption Rate,A2,Schedule,NOT_COVERED,"covered by the fifteen-defects run, not re-derived",ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_ext.py::run_float_consumption,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A2.9,Resource Loading Index,A2,Schedule,NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_ext.py::run_resource_loading,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A2.10,Schedule Risk Analysis P80,A2,Schedule,NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_ext.py::run_schedule_risk,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A2.11,Critical Path Index,A2,Schedule,NOT_COVERED,substituted rather than refused (pre-Run 7); Run 7 required planned progress,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_ext.py::run_critical_path_index,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A3.1,Reference Class Forecasting,A3,Cost estimating and escalation,NOT_COVERED,constant independent of the project; reads no project input at all,ADVISORY_ONLY,abstains unconditionally since Run 7,non-voting,server/app/simulation/models.py::run_rcf,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A3.6,Cost Risk Analysis P80,A3,Cost estimating and escalation,NOT_COVERED,covered by the fifteen-defects run's guard case,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_ext.py::run_cost_risk,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A4.4,NCR Rate,A4,"Documents, claims and quality records",NOT_COVERED,"covered by the fifteen-defects run, not re-derived",ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_ncr_rate,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A4.10,Specification Conflict Density,A4,"Documents, claims and quality records",NOT_COVERED,substituted rather than refused (pre-Run 7); Run 7 required a request volume,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_spec_conflict_density,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A5.1,DSM Rework Propagation,A5,"Risk, simulation and flow",NOT_COVERED,constant independent of the project; reads no project input at all,ADVISORY_ONLY,abstains unconditionally since Run 7,non-voting,server/app/simulation/models.py::run_dsm,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A5.4,Scenario Modeling,A5,"Risk, simulation and flow",NOT_COVERED,"covered by the fifteen-defects run, not re-derived",ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_scenario_modeling,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A5.5,Rework Feedback Loop,A5,"Risk, simulation and flow",NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_rework_feedback,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A5.6,Queueing Theory Bottleneck,A5,"Risk, simulation and flow",NOT_COVERED,substituted rather than refused (pre-Run 7); Run 7 removed the invented denominator,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_queueing_bottleneck,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A5.7,Agent-Based Supply Chain,A5,"Risk, simulation and flow",NOT_COVERED,substituted rather than refused (pre-Run 7); Run 7 removed the invented denominator,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_agent_supply_chain,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A5.8,Discrete Event Simulation,A5,"Risk, simulation and flow",NOT_COVERED,substituted rather than refused (pre-Run 7); Run 7 required planned progress,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_discrete_event_sim,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A6.1,Quality Compliance Index,A6,"Quality, safety and compliance",NOT_COVERED,"covered by the fifteen-defects run, not re-derived",ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_quality_compliance,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A6.2,Safety Performance Index,A6,"Quality, safety and compliance",NOT_COVERED,substituted rather than refused (pre-Run 7); Run 7 corrected the index and refused a negative rate,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_safety_performance,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A6.3,Environmental Compliance Rate,A6,"Quality, safety and compliance",NOT_COVERED,"covered by the fifteen-defects run, not re-derived",ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_environmental_compliance,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
A6.4,Contractor Performance Score,A6,"Quality, safety and compliance",NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_doc.py::run_contractor_performance,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
B2.18,MARCOS Ranking,B2,Uncertainty representation,NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_fuzzy.py::run_marcos,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
B2.19,CRITIC-TOPSIS,B2,Uncertainty representation,NOT_COVERED,ran out of run,ADVISORY_ONLY,implemented and executing,non-voting,server/app/simulation/models_fuzzy.py::run_critic_topsis,documents.run_and_store -> registry.run_all -> compute_project -> module results export and Signal Ledger
