module_id,module_name,category,canonical_method,validation_class,empirical_result,calibration_provenance_state,lineage_state,current_routing,voting,run35_disposition,rationale,run36_action
A1.1,Monte Carlo EAC Forecast,Cost & EVM Performance,YES,CALIBRATION_GAP_BLOCKS_VALIDATION,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_DEPENDENT,COMPUTES,NO,KEEP_ADVISORY,"computes a bounded analytical reading on the governed corpus and is excluded from category rollup, project status fusion, recommendation text, courses of action and the decision card; it casts no status vote",re-audit the applied UNSUPPORTED band ladder and the declared-but-unimplemented governed structure
A1.2,CUSUM Anomaly Monitor,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_DEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A1.3,Bayesian EAC,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_INDEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A1.4,Kalman Filter SPI Smoother,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_INDEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A1.5,ARIMA CPI Forecast,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_DEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A1.6,Earned Schedule,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A1.7,TCPI,Cost & EVM Performance,YES,PARTIAL_REFERENCE_STANDARD,FAIL,PUBLISHED_METHOD_PARAMETER,LINEAGE_ESTABLISHED_DEPENDENT,COMPUTES,YES,KEEP_OPERATIONAL,"canonical published identity, band boundaries sourced to published literature, governed intake, abstention guards present; the one bounded operational use this instrument authorises",confirm the scalar identity still holds and re-test the unvalidated band
A1.8,Variance at Completion,Cost & EVM Performance,YES,PARTIAL_REFERENCE_STANDARD,FAIL,PUBLISHED_METHOD_PARAMETER,LINEAGE_ESTABLISHED_DEPENDENT,COMPUTES,YES,KEEP_OPERATIONAL,"canonical published identity, band boundaries sourced to published literature, governed intake, abstention guards present; the one bounded operational use this instrument authorises",confirm the scalar identity still holds and re-test the unvalidated band
A1.9,Budget Execution Rate,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A1.10,CPI Shrinkage Forecast,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A1.11,Independent EAC Reconciliation Index,Cost & EVM Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_INDEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.1,PERT Network Criticality,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.2,Line of Balance,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.3,CCPM Buffer Health,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.4,Schedule Compression Index,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.5,Float Consumption Rate,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.6,S-Curve Deviation,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.7,Milestone Trend Analysis,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.8,Look-Ahead Schedule Health,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.9,Resource Loading Index,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A2.10,Schedule Risk Analysis P80,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
