subject,expected,observed,v28_state,v29_state,v28_value,v29_value,result,why_this_subject
POPULATION,IDENTICAL,IDENTICAL,101,101,,,PASS,Run 44 changed four render surfaces; the registry is not one of them
ROSTER_SERVICE,IDENTICAL,IDENTICAL,63,63,"A1.10,A1.11,A1.2,A1.3,A1.4,A1.5,A1.6,A1.7,A1.8,A1.9,A2.1,A2.2,A2.3,A2.7,A2.8,A2.9,A3.1,A3.2,A3.3,A3.5,A3.6,A3.7,A3.9,A4.1,A4.10,A4.2,A4.3,A4.4,A4.5,A4.6,A4.7,A4.8,A4.9,A5.1,A5.2,A5.4,A5.5,A5.6,A5.7,A5.8,A6.1,A6.2,A6.3,A6.4,B1.1,B1.2,B1.3,B1.4,B2.18,B3.1,B3.2,B3.3,B3.4,B3.5,B4.3,B4.4,C1.1,C1.2,C1.3,C","A1.10,A1.11,A1.2,A1.3,A1.4,A1.5,A1.6,A1.7,A1.8,A1.9,A2.1,A2.2,A2.3,A2.7,A2.8,A2.9,A3.1,A3.2,A3.3,A3.5,A3.6,A3.7,A3.9,A4.1,A4.10,A4.2,A4.3,A4.4,A4.5,A4.6,A4.7,A4.8,A4.9,A5.1,A5.2,A5.4,A5.5,A5.6,A5.7,A5.8,A6.1,A6.2,A6.3,A6.4,B1.1,B1.2,B1.3,B1.4,B2.18,B3.1,B3.2,B3.3,B3.4,B3.5,B4.3,B4.4,C1.1,C1.2,C1.3,C",PASS,"every roster is derived from the registry CSV, which this run did not touch"
ROSTER_AVAILABLE,IDENTICAL,IDENTICAL,62,62,"A1.10,A1.11,A1.2,A1.3,A1.4,A1.5,A1.6,A1.7,A1.8,A1.9,A2.1,A2.2,A2.3,A2.7,A2.8,A2.9,A3.1,A3.2,A3.3,A3.5,A3.6,A3.7,A3.9,A4.10,A4.2,A4.3,A4.4,A4.5,A4.6,A4.7,A4.8,A4.9,A5.1,A5.2,A5.4,A5.5,A5.6,A5.7,A5.8,A6.1,A6.2,A6.3,A6.4,B1.1,B1.2,B1.3,B1.4,B2.18,B3.1,B3.2,B3.3,B3.4,B3.5,B4.3,B4.4,C1.1,C1.2,C1.3,C1.4,C","A1.10,A1.11,A1.2,A1.3,A1.4,A1.5,A1.6,A1.7,A1.8,A1.9,A2.1,A2.2,A2.3,A2.7,A2.8,A2.9,A3.1,A3.2,A3.3,A3.5,A3.6,A3.7,A3.9,A4.10,A4.2,A4.3,A4.4,A4.5,A4.6,A4.7,A4.8,A4.9,A5.1,A5.2,A5.4,A5.5,A5.6,A5.7,A5.8,A6.1,A6.2,A6.3,A6.4,B1.1,B1.2,B1.3,B1.4,B2.18,B3.1,B3.2,B3.3,B3.4,B3.5,B4.3,B4.4,C1.1,C1.2,C1.3,C1.4,C",PASS,"every roster is derived from the registry CSV, which this run did not touch"
ROSTER_VOTING,IDENTICAL,IDENTICAL,2,2,"A1.7,A1.8","A1.7,A1.8",PASS,"every roster is derived from the registry CSV, which this run did not touch"
ROSTER_RETIRED,IDENTICAL,IDENTICAL,38,38,"A1.1,A2.10,A2.11,A2.4,A2.5,A2.6,A3.4,A3.8,A5.3,B2.1,B2.10,B2.11,B2.12,B2.13,B2.14,B2.15,B2.16,B2.17,B2.19,B2.2,B2.20,B2.3,B2.4,B2.5,B2.6,B2.7,B2.8,B2.9,B4.1,B4.2,B4.5,B4.6,B4.7,D1.1,D1.2,D1.3,D1.4,D1.5","A1.1,A2.10,A2.11,A2.4,A2.5,A2.6,A3.4,A3.8,A5.3,B2.1,B2.10,B2.11,B2.12,B2.13,B2.14,B2.15,B2.16,B2.17,B2.19,B2.2,B2.20,B2.3,B2.4,B2.5,B2.6,B2.7,B2.8,B2.9,B4.1,B4.2,B4.5,B4.6,B4.7,D1.1,D1.2,D1.3,D1.4,D1.5",PASS,"every roster is derived from the registry CSV, which this run did not touch"
MODULE_ROW_COUNTER@FULL,0,0,-,-,modules whose emitted row moved across the v28->v29 boundary,(none),PASS,all 101 registered modules executed on BOTH lines against the FULL package; zero must move
STAMP_ADVANCED@FULL,every stamped row moves v28 -> v29,0 -> 0,0,0,,,PASS,"the stamp is normalised out of the row comparison above, so it is asserted here instead: a run that forgot to mint one would otherwise pass this proof by having nothing to normalise"
MODULE_ROW_COUNTER@STARVED_PRESENT_AND_NULL,0,0,-,-,modules whose emitted row moved across the v28->v29 boundary,(none),PASS,all 101 registered modules executed on BOTH lines against the STARVED_PRESENT_AND_NULL package; zero must move
STAMP_ADVANCED@STARVED_PRESENT_AND_NULL,every stamped row moves v28 -> v29,33 -> 33,33,33,,,PASS,"the stamp is normalised out of the row comparison above, so it is asserted here instead: a run that forgot to mint one would otherwise pass this proof by having nothing to normalise"
STAMP_PRESENT_SOMEWHERE,>0 rows carry the new stamp,33,33,33,"[('FULL', 0, 0), ('STARVED_PRESENT_AND_NULL', 33, 33)]",,PASS,the guard on the normalisation: a run that minted no stamp must not pass
