cycle,pattern_swept,scope_of_sweep,modules_examined,new_defect_found,finding,disposition
1,a quantity outside the domain it can occupy reaching a coloured band,"every module reading a numeric field the field registry does not list in SIGNED_SI_FIELDS, checked against the shared eligible() preflight",all 100 scientific targets by inspection of the preflight call sites,no,the shared eligible() preflight is the single place the domain is closed and 3.7 was the remaining module reading a budget without it. No further module bands on a budget it never gated.,closed
1,a discussion count converted into a measured rate,"A6.2 Safety Performance, A6.3 Environmental Compliance, A4.7 Dispute Escalation, every module reading a field whose source can be docType derived",3,no,A6.3 was already corrected by an earlier run and refuses to convert environmental mentions into a compliance percentage; A4.7 reports a count as a count and never as a rate. A6.2 was the last surviving instance and is corrected in this cycle.,closed
1,evidence that has stopped still producing a favourable reading,"every module deriving a band from the event log, located by searching the data-quality module file for millisecond interval arithmetic",1,no,9.7 is the only module measuring intervals between events. 9.2 measures a document age against the period cutoff and is corrected separately in this cycle.,closed
1,a suite asserting the defective output as its expected answer,"every suite exercising the four corrected modules, found by running the complete suite after the fix rather than by reading the suites",4,YES,"Four suites were found asserting the superseded behaviour, all of them located by running the complete suite after the fix rather than by reading the suites. test_run10_bucket2_corrections.py asserted 'A6.2 still bands a derived count above nought', which fixed the 8.7 defect in place as expected behaviour. test_run6_known_answer.py, test_run7_fix_now_defects.py and test_run8_retest_classify_27.py each asserted a safety index and an incident rate derived from the uncited multiplication by ten, and all three CRASHED with a KeyError rather than failing, which is the failure mode this programme has recorded before: the strict runner caught them only because it refuses a missing RESULT line. test_run8 had even documented the defect in a comment as 'THE FALLBACK IS STILL STANDING' while asserting its output. test_run6 additionally asserted the 9.7 mean interval band on a project that had not reported for 160 days. Every assertion was rewritten to the corrected contract with the superseded reading stated at the point it changed, none was deleted.","corrected in cycle 1; four suites, one more than Run 19's sampling found in this class"
2,a regulator's name attached to a threshold that regulator does not state,"every occurrence of FAR, OMB, A-11, OSHA and EPA in production simulation code and in every result field and evidence sentence, not a sample","8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9 and 10.3",yes,"10.3 carried the same fabricated FAR twenty-five per cent threshold inside one of its four rule NAMES, in a different category from the module the finding was raised against. It was already registered by Run 19 and is fixed in this cycle. 8.5, 8.6, 8.8 and 8.9 cite their authorities in method-card text only and attach no regulator's name to a numeric band in any output field, so no further occurrence exists",fixed in cycle 2 for 10.3; no new occurrence elsewhere
2,an obligation or a compliance conclusion asserted from a performance ratio,"every evidence sentence emitted by every Category 8 module and by 10.3, read in full",8.1 through 8.9 and 10.3,no,"only 8.2 and 8.3 asserted an obligation and only 8.4 used breach language. 8.1 recommends an action and names an authority to take it, which is a recommendation and not a determination; 8.5 says contracting officer review merits consideration, which is a prompt and not a finding of non-compliance",no new defect
2,suites asserting the superseded governance sentences as their expected answer,"the complete 97-suite run, executed through the strict runner rather than sampled",all 97 suites,yes,"two suites. test_run6_known_answer.py CRASHED with KeyError on far_reporting_required rather than failing, the same crash-not-fail pattern as three of cycle 1's four. test_run7_fix_now_defects.py failed cleanly on its authorised-changed-module list. Both were corrected to the post-remediation contract with the superseded reading recorded beside each assertion. This brings the programme count of suites found encoding a defect or a superseded reading as expected behaviour from nine to eleven",both corrected
2,unreachable band arms in the governance modules,"every band expression in Category 8 and 10.3, evaluated over the whole cost-index domain from 0.50 to 1.30 in hundredths rather than at sample points","8.2, 8.3, 8.4 and 10.3",yes,"8.3's Yellow arm requires a cost index simultaneously below 0.90 and at or above 0.92 and can never be taken, so a four-value band scheme bands on three values. Found only because the sweep evaluated the whole domain. NOT fixed in cycle 2: it is an implementation defect rather than a governance overclaim, it is carried in the register as P1, and it is asserted as a stated fact about current code rather than as expected behaviour","carried forward, P1"
2,the declared production-change manifest guard itself,"the mechanism cycle 1 built, tested by injection rather than read","the manifest, the eight category suites and the consolidator",yes,"THE GUARD COULD NOT FAIL. The category suites WRITE production_change_made by calling expected_flag(mid) and the consolidator READS that column and compares it to expected_flag(mid), so both sides came from one function and could never disagree whatever the manifest said. It is the same circularity the anti-fossilization register exists to catch, in the mechanism built to prevent it. A new suite compares the manifest to production BYTES against a frozen copy of production as it stood at the Run-20 starting commit, and two injections now turn it red",fixed in cycle 2
3,evidence combined by Dempster's rule without any lineage being carried,every call site of dst_fuse and dst_combine in production,"fusion.dst_fuse (the live voting path via compute.py), models_gov.run_dst (B2.1 DST Evidence Combination), models_decision, signal_package",YES,"B2.1 combines four arms: a cost-and-schedule-index arm, a Monte Carlo cost arm, a CUSUM arm over the schedule index history and a document arm. The first three are transforms or extrapolations of ONE earned-value body; only the document arm is independent. It therefore carries the same uncontrolled reinforcement the voting path carried.","OPEN, CARRIED FORWARD. B2.1 is non-voting and advisory, so it cannot reach a governed status, and correcting it changes an advisory band on a module the cycle has no authority to reband without its own reproduction, mutation proof and sweep. The framework to express it now exists. Recorded rather than done."
3,a suite whose measurement vehicle no longer reaches the thing it proved,"every suite the change touched, run before and after","test_run2_fifteen_defects.py defect 2, the rollup conflict measurement",YES,"The Run-2 proof that the corrected dst_combine moves the rollup conflict became unreachable, because the one voting category is now one body of evidence and no conflict is estimated for it in either the old rule or the new. The proposition would have silently become vacuous.","FIXED IN THIS CYCLE. The finding is measured where it lives, on dst_combine itself, against the audit's own two-Green worked example, 0.32 before and 0 after; and the rollup's new inertness is asserted as its own named proposition so it cannot drift back unnoticed."
3,a frozen-file guard that a new production file walks past,"the three pinned-baseline guards in test_run6, test_run8 and test_run20_declared_production_changes",all three,"YES, ONE STRUCTURAL GAP","The Run-20 byte-comparison guard compares production against a freeze, so a file that did not exist when the freeze was taken has no row to differ from and could be added with no declaration at all. The two older guards did flag the new file, which is how the gap was found.","FIXED IN THIS CYCLE. A declared new-production-file list was added, with a check that every simulation-package file is either in the freeze or on that list, so an undeclared new file is now a named red."
4,a module resting on the same governed evidence as another module without declaring it,"every module in the four models packages, grouped MECHANICALLY by the exact set of fields its own check_inputs preflight requires, rather than by inspection or sampling","all modules that declare a required-input set, 95 available modules","YES, AND THE PATTERN IS FAR WIDER THAN THE TWO PAIRS THIS CYCLE WAS SCOPED TO","Six clusters of modules share an identical required-input set. The two this cycle declares are one of them. The others, all undeclared: A1.11, A1.3, A3.6, B3.2 and B4.2 all require exactly the budget, earned value, actual cost and cost index, of which only A1.3 declares anything; B3.4 and B4.3 both require exactly the budget and the two indices; TEN modules, B2.10, B2.11, B2.14, B2.15, B2.16, B2.18, B2.20, B4.1, B4.5 and B4.6, all require exactly the cost index, the schedule index and the document risk score; B2.12, B2.13 and B2.17 all require exactly the two indices; and A3.4 with A3.9 both require exactly the two material cost figures. An identical required-input set is not by itself proof of one body of evidence, but it is the signature the two confirmed findings both carry.","OPEN, CARRIED FORWARD as a new register row. NOT remediated in cycle 4. Every one of these modules is non-voting and advisory and none can reach a governed status; several are disabled outright. The fusion does not assume independence for an undeclared signal, so the operational exposure is bounded. Declaring each requires its own derivation chain and its own execution oracle, which is a cycle of its own and not a rider on this one."
