boundary,component,source_file,function_or_route,trust_level,input,output,validation,authorization,persisted_state,failure_behavior,evidence
1,browser upload form,assets/js/workspace.js,ws-upload,untrusted,file bytes + filename + period,base64 JSON POST,client-side only (not authoritative),session token in sessionStorage,none,shows error text,workspace.js:774 uses /documents content route; upload via store.js /exec
2,facade transport,server/app/main.py,POST /exec (text/plain JSON),untrusted,raw JSON body,dispatched action,json.loads + dict check; exceptions -> {ok:false},gate_action server-side before dispatch,none,err() JSON never 500 body,main.py:280 exec_post
3,upload action,server/app/documents.py,a_projectupload,untrusted,documents[] entries,per-file status,resolve_caller/require_member/_refuse_unless_pm,PM of the project only,DocumentUpload + Document rows,err() JSON,documents.py:1759
4,period derivation,server/app/documents.py,_resolve_period,server-authoritative,payload period,period int,research chain -> derived server-side; client period ignored,assignment authority,period on DocumentUpload,err on period<1,documents.py:153
5,decode/size,server/app/documents.py,_decode,untrusted,dataBase64 string,raw bytes,base64 validate; MAX_BASE64_CHARS 5e6; MAX_FILE_BYTES 20MB; empty rejected,n/a,none,err() JSON,documents.py:187
6,filename handling,server/app/documents.py,a_projectupload,untrusted,filename string,metadata only,stored verbatim as label; reference_kind() from name,n/a,Document.filename (label only),n/a,documents.py:1820
7,MIME/content,server/app/documents.py,a_projectupload,untrusted,mimeType string,stored verbatim,NONE at upload (client value stored),n/a,Document.mime_type,n/a,documents.py:1821 (no validator)
8,storage,server/app/documents.py,Document(content=raw),server,raw bytes,DB BYTEA content-addressed by sha256,sha256 keyed; no filesystem write,n/a,Document.content in DB,n/a,documents.py:1916 (no fs path from filename)
9,parser/extraction,server/app/extraction_client.py,AnthropicExtractor/StubExtractor,untrusted content -> LLM,doc bytes,typed fields dict,per-doc-type field allowlist; output keys filtered to declared fields,n/a,Document.extraction JSON,ExtractionError not swallowed to null,extraction_client.py:497 field filter
10,evidence structure,server/app/documents.py,merge/signal inputs,server,extraction dict,signal_inputs,is_mapped gate; NULL type never reaches inputs,n/a,ComputedResult,abstain on missing,documents.py merge
11,project/period assoc,server/app/research_models.py,DocumentUpload,server,project_id+period,linkage,server-derived period; membership,PM membership,DocumentUpload row,n/a,research_models.py
12,module supply/qualification,server/app/simulation/qualification.py,compute,server,signal inputs,module results,canonical method gating; abstention where insufficient,n/a,ComputedResult,ABSTAIN,qualification.py
13,serve/presentation,server/app/main.py,GET /documents/{id}/content,untrusted client,document_id+project_id+token,bytes stream,membership + linkage recheck; RUN40 safe-serve allowlist+nosniff,member of linked project,none,403/404 controlled,main.py:411 (FIXED run40)
