check,result,detail
provenance:all_csv_records,PASS,[]
record_hash:present,PASS,[]
record_hash:unique_within_file,PASS,[]
pk:projects_unique,PASS,n=6
fk:reporting_periods_project,PASS,n=36
pk:reporting_periods_unique,PASS,
pk:schedule_activities_unique,PASS,n=72
fk:schedule_activities_project,PASS,
fk:schedule_dependencies_activities,PASS,n=78
schedule:acyclic_per_project,PASS,[]
pert:optimistic_le_mode_le_pessimistic,PASS,[]
pert:durations_positive,PASS,
ground_truth:schedule_p80_ge_p50,PASS,"['p50_finish_day'] vs ['p80_finish_day', 'p80_overrun_days']"
split:one_split_per_project,PASS,[]
split:partitions_disjoint,PASS,"{'VALIDATION': 72, 'DEVELOPMENT': 216, 'LOCKED_HOLDOUT': 72}"
split:manifest_agrees_with_reference_projects,PASS,[]
fk:reference_project_periods.csv_reference_project,PASS,[]
leakage:reference_project_periods.csv_split_agrees_with_manifest,PASS,[]
fk:parametric_cost_training.csv_reference_project,PASS,[]
leakage:parametric_cost_training.csv_split_agrees_with_manifest,PASS,[]
fk:anomaly_labels.csv_reference_project,PASS,[]
fk:rough_set_decision_table.csv_reference_project,PASS,[]
leakage:rough_set_decision_table.csv_split_agrees_with_manifest,PASS,[]
fk:reference_outcomes.csv_reference_project,PASS,[]
fk:reference_class_membership.csv_reference_project,PASS,[]
leakage:no_duplicate_feature_vector_across_splits,PASS,0 collisions
leakage:analogous_pairs_do_not_bridge_holdout,PASS,cols=[] bridges=0
packageC:benchmark_rows,PASS,n=1
fk:actions_problem,PASS,n=72
fk:scenarios_problem,PASS,n=60
fk:criteria_problem,PASS,n=60
fk:payoff_matrices_problem,PASS,n=360
fk:action_scenario_outcomes_problem,PASS,n=360
completeness:action_by_scenario_matrix_full,PASS,[]
completeness:scenario_probabilities_sum_to_one,PASS,[]
completeness:alternative_by_criteria_matrix_full,PASS,[]
completeness:criteria_columns_cover_criteria_table,PASS,criteria per problem=[5] value cols=5
completeness:no_blank_criterion_cells,PASS,[]
suitability:critic_needs_two_or_more_alternatives,PASS,12/12 problems have 2+ alternatives
completeness:payoff_matrix_full,PASS,[]
suitability:regret_non_negative,PASS,n_negative=0
suitability:regret_zero_present_per_scenario,PASS,[]
suitability:lp_models_have_variables_and_bounds,PASS,n=12
fk:lp_models_decision_problem,PASS,n=12 problems=12
suitability:lp_constraints_machine_readable,FAIL,12/12 models express constraints only as prose strings
suitability:lp_models_have_machine_readable_objective,FAIL,12/12 models carry only objective_description prose
suitability:brb_has_antecedent_states_and_beliefs,PASS,"antecedents=['cost_state', 'document_state', 'schedule_state'] beliefs=['belief_amber', 'belief_green', 'belief_red']"
suitability:brb_beliefs_sum_to_one,PASS,n=27
suitability:brb_has_rule_weights,PASS,
completeness:brb_rule_base_covers_antecedent_space,PASS,rules=27 antecedent_space=27
suitability:rough_set_has_decision_attribute,PASS,['decision_class']
suitability:rough_set_has_condition_attributes,PASS,"['complexity_band', 'early_cpi_band', 'early_spi_band', 'document_risk_band']"
dates:required_finish_not_before_baseline_start,PASS,[]
units:monetary_columns_named_with_unit,PASS,
suitability:lob_has_location_crew_quantity_rate,PASS,"['project_id', 'period_id', 'location_id', 'location_sequence', 'work_type_id', 'crew_id', 'quantity', 'unit', 'planned_production_rate_locations_per_day', 'actual_production_rate_locations_per_day', 'planned_start_day', 'actual_start_day', 'minimum_separation_days', 'data_origin', 'programme_version', 'package_version', 'generator_version', 'random_seed', 'not_for_empirical_validation', 'record_hash']"
