suite,modules,expected_old_behaviour,current_canonical_behaviour,exact_reason_for_failure,classification,root_cause,action,historical_implementation_needed,genuine_current_regression,action_complete,post_fix_result,historical_resolution,current_production_guard,status
test_run19_category_8.py,B3.1-B3.5,"8.2 bands monotonically as cpi falls (1.1, 1.0, 0.9, 0.7)",8.2 asserts no band; applicability is read from acquisition/agency/clause evidence only,TypeError: '<' not supported between instances of 'NoneType' and 'NoneType' -- the suite sorts four status_color values that are now all None because Run 33 owns calibration,HISTORICAL_ONLY,PROXY_SUPERSEDED,resolve 8.x through the preserved legacy GOV_BATCH map; assert current production does not reach it,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run19_category_9.py,C1.1-C1.7,C1.x compute from the eleven-field hard-coded core list and the event log,C1.x require their governed structure and abstain when it is absent,TypeError: unsupported operand type(s) for +: 'NoneType' and 'int' -- the suite sums completeness_pct values the canonical layer no longer emits,HISTORICAL_ONLY,PROXY_SUPERSEDED,resolve C1.x through the preserved legacy DQ_EXTENSIONS map; add non-reachability assertion,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run6_known_answer.py,B3.1,8.1 returns 'action' and 'authority' keys from a cpi/spi/docRiskScore threshold check,"8.1 runs an agent-based model and returns terminal_state, agents, state_history",KeyError: 'action' -- the known-answer table indexes an output key the ABM does not emit,HISTORICAL_ONLY,PROXY_SUPERSEDED,pin the known-answer row to the legacy implementation; assert production emits the ABM shape,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run20_advisory_lineage_disclosure.py,B3.x,the advisory disclosure reads a 'co_count' field off the governance result,the canonical governance result carries no change-order count (8.5 is not Category 4.6),KeyError: 'co_count' -- section 12 forbids a change count being this module's result,HISTORICAL_ONLY,PROXY_SUPERSEDED,resolve through legacy map; assert the canonical result deliberately has no count,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run20_cycle8_arch3_clusters.py,"B3.2, B3.4","B3.2/B3.4 results move when ac/ev/pv/cpi move, and the probe asserts that as non-vacuity",B3.2/B3.4 read no cost or schedule quantity at all,"FAIL 'B3.2 does move when the cost index moves'; declared facts ['ac','ev'] material [] -- the declared material-fact set is now empty because section 9 forbids inferring applicability from BAC/CPI/SPI/EV/AC",HISTORICAL_ONLY,PROXY_SUPERSEDED,keep the probe against the legacy implementation; update the shipped declaration for the canonical route to declare no cost facts,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run27_parsimony_proofs.py,B3.1,"Run 27's finding: 8.1 returns an action and an authority, i.e. it is an action-boundary mapping and not an agent-based model",8.1 is a genuine ABM; the action-boundary matrix is configuration consumed by it,"FAIL 'B3.1 returns an action and an authority, which is an action-boundary mapping' -- this is Run 27's DEFECT FINDING and it is now false of production, which is the point of Run 31",HISTORICAL_ONLY,PROXY_SUPERSEDED,"re-express as a historical finding about the legacy implementation, preserved as the evidence for Run 27's conclusion; assert production is no longer that mapping",YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run20_p0b_evidence_domain.py,"A6.2, C1.2, C1.7",8.7 bands a reported incidence rate on a ladder; 9.2 bands a 20-day age; 9.7 bands a 14/15-day gap,8.7 reports the OSHA identity with no band; 9.2 requires a governed freshness rule; 9.7 requires a schedule and history,"15 checks: '[8.7] canonical positive ... got None, None', '[9.2] ... got None, None', '[9.7] boundary: a gap of exactly fourteen days sits in the freshest band' -- every one is a band, and Run 33 owns calibration",HISTORICAL_ONLY,PROXY_SUPERSEDED,preserve the ladder assertions against the legacy implementations; assert the canonical route emits calibration_pending and no band,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run14_mismatch_remediation.py,C1.6,C1.6 produces a reading over three agreements from the flat signal inputs,C1.6 requires a governed cross-document fact set and abstains without one,FAIL 'C1.6: the full evidence produces a reading to compare against  None' and 'Awaiting a governed cross-document fact set' -- section 28 requires the SAME governed fact compared across actual source records,HISTORICAL_ONLY,PROXY_SUPERSEDED,resolve C1.6 through the legacy DQ map; assert the canonical route abstains without the fact set,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run10b_canonical_integration.py,A6.3,A6.3 returns compliance_rate 75.0 / 100.0 / 62.5 / 87.5 on four fixture projects,A6.3 requires jurisdiction and permitting authority before conformance is assessed,FAIL 'A6.3 PRJ-AIR/P01: compliance rate disagrees [None vs 75.0]' and three more -- section 15 forbids assuming EPA CGP applies and requires applicability first,HISTORICAL_ONLY,PROXY_SUPERSEDED,pin the four expected rates to the legacy implementation; assert the canonical route abstains on these fixtures for a stated reason,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run2_fifteen_defects.py,"A6.1, A6.4",Quality Compliance and Contractor Performance produce a finding on the real path from the inspection pair and the quality rating,both require their governed register/assessment record and abstain without it,FAIL 'Quality Compliance Index produces a finding on the real path [Awaiting a governed quality requirement register]' and three more,HISTORICAL_ONLY,PROXY_SUPERSEDED,preserve the fifteen-defects corrections against the legacy implementations; assert the canonical route abstains,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run8_retest_classify_27.py,"A6.1, A6.3, A6.4","the production path gives quality_score 92, compliance_rate 97, min_rating 3.2",all three require governed registers and abstain on these fixtures,FAIL 'A6.1: the production path gives 92 for quality_score [expected 92 got None]' and two more; plus 'no production file under server/app/ differs from the pinned baseline',HISTORICAL_ONLY,PROXY_SUPERSEDED,pin the three values to the legacy implementations; the pinned-baseline check is handled under the governed-inventory row below,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run3_adapter.py,B3.x,the two governance projections produce a finding at period four,the governance projections abstain without their governed structures,FAIL 'the two governance projections produce a finding at period four; the other twelve decline for stated reasons of their own',HISTORICAL_ONLY,PROXY_SUPERSEDED,resolve through legacy map; assert the canonical route declines for a stated reason,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run4_validate_seven.py,"A6.x, B3.x, C1.x",every computed module except the two voters is computed and stored as before (non-voting population count),"sixteen modules now abstain on fixtures that supply no governed v6 structure, so the computed population is smaller","FAIL 'and the ones that do not vote are the bulk of the platform ... [8 non...]' -- the count fell because abstention is correct, not because voting changed",HISTORICAL_ONLY,PROXY_SUPERSEDED,assert the non-voting population against the fixture's actual governed structures; voting remains exactly 2 and that check still passes,NO,NO,YES,GREEN,n/a,n/a,PASS
test_d1_module_inputs.py,"C1.4, C1.7",C1.4 counts the events it was given and C1.7 reads the extraction-event interval,C1.4 requires a governed audit chain record; C1.7 requires a cadence record and history,"FAIL 'PRECONDITION C1.4 computes on a complete signalInputs [None / Awaiting a governed audit chain record]' and three more -- D1 supplied si['events'], which is not an audit schema and not a reporting schedule",HISTORICAL_ONLY,PROXY_SUPERSEDED,preserve D1's event-log findings against the legacy implementations; assert the canonical route requires the governed structures,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_courses_of_action.py,A6.x/B3.x/C1.x (population),"other modules on the same project did compute, so a specific absence is meaningful",the fixture project now has zero other computed modules because Cat8/9 abstain,"FAIL 'while other modules on the same project did compute, so the absence is specific [0]' -- the check needs a non-degenerate computed population, which the fixture no longer has",TEST_INFRASTRUCTURE_DEFECT,FIXTURE_POPULATION,supply governed v6 structures to the fixture project so the computed population is non-degenerate; the predicate under test is unchanged,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run20_voting_lineage.py,voting population,"many other modules computed on this run, so the vote is a restriction of a real population",only 5 modules computed on the fixture after Cat8/9 abstain,FAIL 'many other modules computed on this run ... -- 5 computed'. VOTING ITSELF IS UNCHANGED AND STILL EXACTLY 2; this is a fixture-richness precondition,TEST_INFRASTRUCTURE_DEFECT,FIXTURE_POPULATION,enrich the fixture with governed structures; re-assert voting == 2 unchanged,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run19_category_4.py,A4.1 (docRiskScore consumers),"the document risk score enters the instrument as an INPUT to other modules, evidenced by its consumer list","Categories 6/7/8 no longer consume raw docRiskScore, so the consumer list shrank","FAIL '[4.1] the score nevertheless enters the instrument as an INPUT to other modules ... -- []' -- the consumer list is now empty for the Cat8 members, which is exactly what specification 18 requires",HISTORICAL_ONLY,PROXY_SUPERSEDED,re-express the consumer list against the surviving raw consumers; record the removal as a Run-31 intended change rather than a regression,NO,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run7_fix_now_defects.py,A6.3 + version stamp,the branch is stamped at Run 28's version; the moved-module list is the fix-now list,the branch is stamped v17; A6.3 moved because it is canonically remediated,"FAIL 'and this branch is stamped at Run 28's version' and 'every module whose result moved ... [['A6.3', 'B1.2'...]]'",HISTORICAL_ONLY,VERSION_STAMP,repin the stamp assertion to Run 28's own git object; add A6.3 to the Run-31 corrected list,YES,NO,YES,GREEN,run31_historical_cat89: registry.run_module shimmed to the preserved legacy runner,"run31_historical_cat89.assert_not_reachable: 0/16 resolve to legacy, 16/16 to canonical v6",PASS
test_run10_state_protection.py,version stamp,"the analytical layer is stamped at this run's version, Run 10's v4 kept as history",the layer is stamped v17,"FAILED 'the analytical layer is stamped at this run's version, and Run 10's sim-2026.08-v4 is kept as a historical audit baseline'",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,repin to Run 10's own stamp read from its git object rather than the live current value,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run10b_a1_7_domain.py,version stamp,this branch is stamped at this run's version,stamped v17,"FAIL 'and this branch is stamped at this run's version, so a result computed before the correction and one computed after are distinguishable'",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,repin to the run's own git object,NO,NO,YES,GREEN,n/a,n/a,PASS
