fault_id,module/system,invariant,baseline command,mutation target,mutation description,mutation applied?,fault command,process exit code,anchored RESULT present?,expected RED reason,actual RED reason,crash?,unrelated failure?,restored?,restored GREEN?,final status,notes
1,B4.1 Multi-Objective Optimization (canonical_v7.multi_objective),an alternative set is REQUIRED; with fewer than two feasible alternatives there is no trade-off and the method abstains rather than reporting an optimisation,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'words = V7_STRUCTURE_WORDS[""B4.1""]'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.1 abstains with no structure,10.1 abstains with no structure,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
2,B4.1 Multi-Objective Optimization (canonical_v7._dominates),"a dominated alternative may never appear in the nondominated set: D=(13,9) is dominated and A, B, C are not",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,replace 'if av > bv:',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.1 D is dominated,10.1 nondominated set is A B C; 10.1 D is dominated; 10.6 frontier is A B C; 10.6 D is off the frontier; 10.6 frontier is identical under all 24 input orderings; 10.6 duplicate objective vectors both remain on the frontier,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
3,B4.1 Multi-Objective Optimization (canonical_v7.multi_objective),"no single best alternative is ever named: choosing one from a nondominated set requires supplied preference information, and none is governed",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'selected_alternative=None,'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.1 names no single best alternative,10.1 names no single best alternative,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
4,B4.2 Linear Programming (canonical_v7.linear_program),"the Wyndor optimum is exactly x1=2, x2=6 with objective 36",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'if best is None or (value > best[0] if m[""sense""] == ""maximize"" else v'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.2 Wyndor objective = 36,10.2 Wyndor optimum x1 = 2; 10.2 Wyndor optimum x2 = 6; 10.2 Wyndor objective = 36; 10.2 plant2 and plant3 are binding at the optimum; 10.2 minimising the same model gives 0 at the origin,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
5,B4.2 Linear Programming (canonical_v7.linear_program),an infeasible vertex can never be returned: feasibility is tested at every candidate,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'ok, _viol = _lp_feasible(m, point)'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.2 infeasible model reports INFEASIBLE rather than a number,10.2 Wyndor optimum x1 = 2; 10.2 Wyndor optimum x2 = 6; 10.2 Wyndor objective = 36; 10.2 plant2 and plant3 are binding at the optimum; 10.2 infeasible model reports INFEASIBLE rather than a number,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
6,B4.2 Linear Programming (canonical_v7._lp_feasible),"the declared bounds, INCLUDING non-negativity, are part of the feasibility test rather than an afterthought",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'lo = v.get(""lower_bound"", 0)'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.2 minimising the same model gives 0 at the origin,10.2 minimising the same model gives 0 at the origin,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
7,B4.3 Constraint Satisfaction (canonical_v7.constraint_satisfaction),"a CSP without variables or domains is not a CSP: there is nothing to assign, so the method abstains rather than running",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'if not isinstance(dom, list) or not dom:'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.3 abstains when a variable has no domain,10.3 abstains when a variable has no domain,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
8,B4.3 Constraint Satisfaction (canonical_v7.constraint_satisfaction),"(A,1) is INFEASIBLE under the supplied constraint network and must never be reported feasible; (A,2), (B,1) and (B,2) are feasible",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'failed = [c.get(""constraint_id"") for c in constraints'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,"10.3 the single infeasible assignment is (A,1)","10.3 feasible assignments are (A,2) (B,1) (B,2); 10.3 the single infeasible assignment is (A,1); 10.3 an unrecognised rule form is refused, never treated as satisfied",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
9,B4.3 Constraint Satisfaction (canonical_v7.constraint_satisfaction),"every declared rule is evaluated against every complete assignment; no rule may be skipped, and the old fixed-threshold checklist is not preserved",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,replace 'raise StructureAbsent(',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,"10.3 an unrecognised rule form is refused, never treated as satisfied","10.3 an unrecognised rule form is refused, never treated as satisfied",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
10,B4.4 What-If Scenario Matrix (canonical_v7._matrix),an action without an identity is not an action: several EAC formulas carrying no action identity are not an action-by-scenario matrix,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,replace 'if not aid:',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.4 an action with no identity is refused,10.4 an action with no identity is refused,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
